"acteursID","acteur"
"1","Jack Nicholson"
"2","Robert De Niro"
"3","Gérard Philipe"
"4","Kay Francis"
"5","Katharine Hepburn"
"6","Vladimir Orlowski"
"7","Jamie Lee Curtis"
"8","Micha Bayard"
"9","Zoe Lister Jones"
"10","Liza Minnelli"
"11","Bekim Fehmiu"
"12","Broderick Crawford"
"13","Fredric March"
"14","Albert Finney"
"15","Dustin Hoffman"
"16","Peter Brocco"
"17","Macha Méril"
"18","Jean-François Stévenin"
"19","Roger Moore"
"20","Richard Bohringer"
"21","Peter Firth"
"22","Toshirô Mifune"
"23","Vincent Price"
"24","Jean Seberg"
"25","Paul Newman"
"26","Danielle Darrieux"
"27","Francine Bergé"
"28","Franco Citti"
"29","Dirk Bogarde"
"30","Nino Manfredi"
"31","Van Heflin"
"32","Halina Labornarska"
"33","Michel Piccoli"
"34","Jean-Claude Aimini"
"35","Marina Vlady"
"36","Nicolas Tseretelli"
"37","Julien Carette"
"38","Roger Ibanez"
"39","Philippe Noiret"
"40","Gaston Monot"
"41","Severin-Mars"
"42","Sophia Loren"
"43","Edwige Feuillère"
"44","Errol Flynn"
"45","Jean Gabin"
"46","Akira Kurosawa"
"47","Gaston Guez"
"48","Michael Douglas"
"49","Ingrid Thulin"
"50","Karen Maxwell"
"51","Rüdiger Vogler"
"52","Eva Mattes"
"53","Sigourney Weaver"
"54","Vincent Spano"
"55","Dean Stockwell"
"56","Farley Granger"
"57","Tom Hulce"
"58","Danièle Dubroux"
"59","Stathis Giallelis"
"60","Richard Gere"
"61","Hanna Schygulla"
"62","Marc Perrone"
"63","Robert Liensol"
"64","Pierre Arditi"
"65","Sophie Marceau"
"66","Maurice Baquet"
"67","Marlene Dietrich"
"68","Delphine Seyrig"
"69","Volker Spengler"
"70","Raymond Depardon"
"71","Aileen Quinn"
"72","Woody Allen"
"73","Stig Jarrel"
"74","Rupert Everett"
"75","0"
"76","Mauricio do Valle"
"77","Erland Josephson"
"78","Christophe Malavoy"
"79","Claude Bertrand"
"80","Huub Stapel"
"81","Jean-Paul Belmondo"
"82","Jean Sorel"
"83","Hermann Prey"
"84","Guru Dutt"
"85","Fred MacMurray"
"86","Roger Carel"
"87","Lee Marvin"
"88","Arnon Zadok"
"89","William Hurt"
"90","Michael York"
"91","George O'Brien"
"92","Pierre Mondy"
"93","James Stewart"
"94","Harrison Ford"
"95","Alexandre Arcady"
"96","Carroll Baker"
"97","Sara Scuderi"
"98","Christophe Allwright"
"99","Roman Polanski"
"100","Sumiko Sakamoto"
"101","Daniel Ceccaldi"
"102","Vladimir Ivachov"
"103","Georges Sellier"
"104","Robert Newton"
"105","Ryan O'Neal"
"106","Daniel Mesguich"
"107","Larry Roberts"
"108","Matthew Modine"
"109","Denis Lavant"
"110","Jonathan Pryce"
"111","Carl Reiner"
"112","Gary Cooper"
"113","Patrick de Barding"
"114","Julie Christie"
"115","Nigel Havers"
"116","Michael Lonsdale"
"117","Marília Pêra"
"118","Jane Asher"
"119","Ralph Brown (II)"
"120","Geraldine Chaplin"
"121","Alain Emery"
"122","Ava Gardner"
"123","Donald Pleasence"
"124","Sam Waterston"
"125","Soumitra Chatterjee"
"126","Vanity"
"127","Pierre Jolivet"
"128","Catherine Deneuve"
"129","Marlon Brando"
"130","Maksim Munzuk"
"131","Mathieu Carrière"
"132","Laurent Terzieff"
"133","Kyle MacLachlan"
"134","Dennis Hopper"
"135","Michael Elphick"
"136","Anthony Hopkins"
"137","Arletty"
"138","Jack Nance"
"139","Claudia Ohana"
"140","Freddie Jones"
"141","Bruce Campbell"
"142","Maurice Chevalier"
"143","Don Alvarado"
"144","Gudrun Landgrebe"
"145","Humphrey Bogart"
"146","Victor Lanoux"
"147","Natalie Wood"
"148","Charles Bronson"
"149","Joseph Kostlinger"
"150","Powers Boothe"
"151","David Bowie"
"152","Anicee Alvina"
"153","Christopher Lambert"
"154","Janet York"
"155","Merle Oberon"
"156","Ole Olsen"
"157","Robert Redford"
"158","Robert Powell"
"159","Jimi Hendrix"
"160","Sanjeev Kumar"
"161","Jeanne Moreau"
"162","Margarita Lozano"
"163","Margit Carstensen"
"164","John M. Jackson"
"165","James Mason"
"166","Jacques Thebault"
"167","Robert Mitchum"
"168","Anna Magnani"
"169","Patrick Bruel"
"170","Raven De La Croix"
"171","Julie Andrews"
"172","Brigitte Bardot"
"173","Brigitte Helm"
"174","Hugh Fraser"
"175","Ben Gazzara"
"176","Brad Davis"
"177","Ken Ogata"
"178","Clark Gable"
"179","Emile Chautard"
"180","Graham Chapman"
"181","Pablo Picasso"
"182","Kurt Russell"
"183","Oleg Yankovsky"
"184","Jezabel Carpi"
"185","Marcella Petrelli"
"186","Cary Grant"
"187","Malcolm McDowell"
"188","Breno Mello"
"189","Harry Dean Stanton"
"190","Renée Falconetti"
"191","Arielle Dombasle"
"192","Isabelle Huppert"
"193","Bruce Spence"
"194","Divine"
"195","Bob Geldof"
"196","Fernando Ramos da Silva"
"197","Isabelle Adjani"
"198","Jean Poiret"
"199","Jean-Marie Patte"
"200","Anthony Perkins"
"201","Michael Caine"
"202","Bette Davis"
"203","Terence Stamp"
"204","Juliette Binoche"
"205","Brian Bedford"
"206","Mia Farrow"
"207","Victor Banerjee"
"208","Garry Cadenat"
"209","Matt Dillon"
"210","Chhabi Biswas"
"211","Paolo Bonacelli"
"212","Richard Berry"
"213","Jennifer O'Neill"
"214","Paul Muni"
"215","Charlton Heston"
"216","Gérard Lanvin"
"217","Jeff Bridges"
"218","Vanessa Redgrave"
"219","Anthony Quinn"
"220","John Lurie"
"221","Charles Laughton"
"222","Arnold Schwarzenegger"
"223","Kader Boukhanef"
"224","John Belushi"
"225","Tim Curry"
"226","Bette Midler"
"227","Jacques Careuil"
"228","Philippe Ogouz"
"229","Carole Lombard"
"230","Brigitte Mira"
"231","Darlene Gloria"
"232","Joe Dallesandro"
"233","Jeremy Irons"
"234","Paul Courtois"
"235","Sabine Azéma"
"236","Eugenie Cisse Roland"
"237","Jose Antonio Valdelomar"
"238","Sam Parker"
"239","Juanita Brown"
"240","Nigel Davenport"
"241","Silvana Mangano"
"242","Gena Rowlands"
"243","Marcello Mastroianni"
"244","Zach Galligan"
"245","Wallace Ford"
"246","Ingrid Bergman"
"247","Frank Currier"
"248","Harpo Marx"
"249","Greta Garbo"
"250","Leota Lorraine"
"251","Basil Radford"
"252","Dennis Price"
"253","Alec Guinness"
"254","Clint Eastwood"
"255","Stephen Bradley (II)"
"256","Bill McKinney"
"257","Don Ameche"
"258","Gene Tierney"
"259","Richard Widmark"
"260","Robert Ryan"
"261","James Coburn"
"262","Pascal Librizzi"
"263","François Simon"
"264","François Marthouret"
"265","Jean-Luc Bideau"
"266","Bruno Ganz"
"267","Trevor Howard"
"268","Joseph Boudreaux"
"269","Grant Williams"
"270","Liu Zhongyuan"
"271","Jean-Pierre Léaud"
"272","Andrey Myagkov"
"273","Peter Lorre"
"274","Patrick Bauchau"
"275","Catherine See"
"276","Barbet Schroeder"
"277","André Dussollier"
"278","Phillip Glasser"
"279","Louise Carver"
"280","Dick Powell"
"281","Laura Antonelli"
"282","Bill Murray"
"283","Robert Benchley"
"284","Edward Everett Horton"
"285","Dolores del Río"
"286","Lucien Rozenberg"
"287","Léa Massari"
"288","Pierre Blaise"
"289","Michael J. Fox"
"290","Miaw Chian-Ren"
"291","Barry Stokes"
"292","Olivier Barret"
"293","Jean-Michel Dupuis"
"294","Kinuyo Tanaka"
"295","Christine Fersen"
"296","Peter Weller"
"297","Anouk Aimée"
"298","Claude Melki"
"299","John Marley"
"300","Sean Connery"
"301","Birgitte Federspeil"
"302","Boris Karloff"
"303","Valérie Stroh"
"304","Robert Sterling"
"305","Fred Astaire"
"306","Sterling Hayden"
"307","Gunnar Björnstrand"
"308","Marcel Dalio"
"309","Preben Lerdorff Rye"
"310","Lorand Lohinszky"
"311","Michael Sopkiw"
"312","Igor Ilinski"
"313","Betsy Palmer"
"314","Loredana Detto"
"315","Valérie Mréjen"
"316","Nicole Stephane"
"317","Fabrice Luchini"
"318","Maria Callas"
"319","Burt Lancaster"
"320","Rita Hayworth"
"321","Ray Milland"
"322","Totò"
"323","Donald Sutherland"
"324","Rock Hudson"
"325","Montgomery Clift"
"326","Teresa Stratas"
"327","Olimpia Carlisi"
"328","Cyd Charisse"
"329","Françoise Rosay"
"330","Bruce Lee"
"331","Roy Scheider"
"332","Louis Hayward"
"333","Dee Wallace"
"334","John Loder"
"335","Tom Cruise"
"336","Ian Holm"
"337","Myriam Mézières"
"338","Will Geer"
"339","Jean-Louis Barrault"
"340","Dyanne Thorne"
"341","Clara Bow"
"342","Cesar Romero"
"343","Anton Walbrook"
"344","Gene Wilder"
"345","Kenneth Branagh"
"346","Vittorio Mezzogiorno"
"347","Hedy Lamarr"
"348","Florence Lawrence"
"349","Subir Banerjee"
"350","Al Pacino"
"351","Louis Jouvet"
"352","John Travolta"
"353","José Ferrer"
"354","Gérard Depardieu"
"355","Sylvia Sidney"
"356","Antonio Pompeo"
"357","Orson Welles"
"358","Sami Frey"
"359","Matthew Broderick"
"360","Diego Risquez"
"361","Yves Montand"
"362","Jacques Nolot"
"363","Bulle Ogier"
"364","Sandrine Bonnaire"
"365","George Sanders"
"366","William Powell"
"367","Adam Tonsberg"
"368","Pierre Harel"
"369","Chan Sing"
"370","Elizabeth Patterson"
"371","Shelley Winters"
"372","Raout Paule"
"373","Amy Madigan"
"374","Albert Dieudonne"
"375","Francis Huster"
"376","Enrico Maria Salerno"
"377","Brigitte Fossey"
"378","Irene Dunne"
"379","Mireille Perrier"
"380","Yu Shizi"
"381","Denis Podalydès"
"382","Hélène Fillières"
"383","Lucienne Legrand"
"384","Benoît Giros"
"385","Isabel de Castro"
"386","Mel Gibson"
"387","Slavko Stimac"
"388","Alexei Petrenko"
"389","Alain Cuny"
"390","James Caan"
"391","Barbra Streisand"
"392","James Whitmore"
"393","Jean-Marie De Busscher"
"394","Al Cliver"
"395","Jane Fonda"
"396","Orson Bean"
"397","Luchino Visconti"
"398","Gabriele Ferzetti"
"399","Margaret Sullavan"
"400","Peter Sellers"
"401","Philippe Vuillemin"
"402","Lon Chaney Jr."
"403","Catherine Gleize"
"404","John Saxon"
"405","Guy Amram"
"406","Kirsty Lindsay"
"407","Steve McQueen"
"408","Ajita Wilson"
"409","Alexandre Kaidanovski"
"410","Catherine Demongeot"
"411","Jim Brown"
"412","Barbara Sukowa"
"413","David Brandon"
