"annee_prodID","annee_prod"
"1",NULL
"2","1896"
"3","1897"
"4","1898"
"5","1900"
"6","1902"
"7","1903"
"8","1904"
"9","1905"
"10","1906"
"11","1907"
"12","1908"
"13","1909"
"14","1910"
"15","1911"
"16","1912"
"17","1913"
"18","1914"
"19","1915"
"20","1916"
"21","1917"
"22","1918"
"23","1919"
"24","1920"
"25","1921"
"26","1922"
"27","1923"
"28","1924"
"29","1925"
"30","1926"
"31","1927"
"32","1928"
"33","1929"
"34","1930"
"35","1931"
"36","1932"
"37","1933"
"38","1934"
"39","1935"
"40","1936"
"41","1937"
"42","1938"
"43","1939"
"44","1940"
"45","1941"
"46","1942"
"47","1943"
"48","1944"
"49","1945"
"50","1946"
"51","1947"
"52","1948"
"53","1949"
"54","1950"
"55","1951"
"56","1952"
"57","1953"
"58","1954"
"59","1955"
"60","1956"
"61","1957"
"62","1958"
"63","1959"
"64","1960"
"65","1961"
"66","1962"
"67","1963"
"68","1964"
"69","1965"
"70","1966"
"71","1967"
"72","1968"
"73","1969"
"74","1970"
"75","1971"
"76","1972"
"77","1973"
"78","1974"
"79","1975"
"80","1976"
"81","1977"
"82","1978"
"83","1979"
"84","1980"
"85","1981"
"86","1982"
"87","1983"
"88","1984"
"89","1985"
"90","1986"
"91","1987"
"92","1988"
"93","1989"
"94","1990"
"95","1991"
"96","1992"
"97","1993"
"98","1994"
"99","1995"
"100","1996"
"101","1997"
"102","1998"
"103","1999"
"104","2000"
"105","2001"
"106","2002"
"107","2003"
"108","2005"
"109","2008"
"110","2009"
"111","2010"
"112","2011"
"113","2013"
"114","2014"
"115","2022"
