"date_sortieID","date_sortie"
"1",NULL
"2","0000-00-00"
"3","1915-11-13"
"4","1919-05-12"
"5","1921-03-04"
"6","1921-08-04"
"7","1921-09-24"
"8","1922-03-15"
"9","1922-09-08"
"10","1923-02-17"
"11","1924-04-18"
"12","1924-05-09"
"13","1925-02-06"
"14","1925-03-13"
"15","1925-10-09"
"16","1926-06-25"
"17","1927-02-06"
"18","1927-12-30"
"19","1928-07-18"
"20","1928-09-25"
"21","1928-10-05"
"22","1928-10-11"
"23","1930-05-28"
"24","1930-07-22"
"25","1930-11-28"
"26","1931-03-13"
"27","1931-04-07"
"28","1931-04-15"
"29","1931-10-10"
"30","1931-10-29"
"31","1931-11-19"
"32","1931-12-18"
"33","1932-04-08"
"34","1932-10-06"
"35","1932-11-02"
"36","1932-11-11"
"37","1933-01-13"
"38","1933-02-17"
"39","1933-02-18"
"40","1933-04-07"
"41","1933-05-03"
"42","1933-09-22"
"43","1934-01-12"
"44","1934-02-23"
"45","1934-04-09"
"46","1934-04-27"
"47","1934-09-12"
"48","1934-11-03"
"49","1935-02-22"
"50","1935-03-01"
"51","1935-04-05"
"52","1935-09-21"
"53","1935-10-30"
"54","1935-11-20"
"55","1936-01-01"
"56","1936-03-04"
"57","1936-06-18"
"58","1936-09-18"
"59","1936-09-24"
"60","1936-11-27"
"61","1937-01-28"
"62","1937-03-17"
"63","1937-05-12"
"64","1937-05-13"
"65","1937-06-09"
"66","1937-09-22"
"67","1937-10-20"
"68","1937-11-29"
"69","1937-12-03"
"70","1937-12-22"
"71","1938-01-12"
"72","1938-01-13"
"73","1938-02-10"
"74","1938-04-25"
"75","1938-04-26"
"76","1938-05-14"
"77","1938-05-18"
"78","1938-05-21"
"79","1938-09-07"
"80","1938-09-22"
"81","1938-10-10"
"82","1938-11-03"
"83","1938-11-18"
"84","1938-12-19"
"85","1938-12-21"
"86","1939-05-17"
"87","1939-05-24"
"88","1939-06-09"
"89","1939-06-21"
"90","1939-07-08"
"91","1939-07-20"
"92","1940-01-14"
"93","1940-01-19"
"94","1940-08-14"
"95","1941-02-13"
"96","1941-05-10"
"97","1941-06-25"
"98","1941-11-27"
"99","1941-12-02"
"100","1942-03-07"
"101","1942-05-16"
"102","1942-05-21"
"103","1942-11-16"
"104","1942-12-05"
"105","1942-12-11"
"106","1943-04-21"
"107","1943-05-26"
"108","1943-06-16"
"109","1943-07-20"
"110","1943-09-28"
"111","1943-10-13"
"112","1944-02-08"
"113","1944-02-16"
"114","1944-10-20"
"115","1944-11-08"
"116","1945-02-10"
"117","1945-03-15"
"118","1945-04-01"
"119","1945-06-13"
"120","1945-06-26"
"121","1945-08-10"
"122","1945-11-07"
"123","1946-01-02"
"124","1946-02-06"
"125","1946-04-11"
"126","1946-04-17"
"127","1946-05-05"
"128","1946-07-10"
"129","1946-07-31"
"130","1946-08-14"
"131","1946-08-26"
"132","1946-09-04"
"133","1946-09-25"
"134","1946-09-26"
"135","1946-10-18"
"136","1946-10-29"
"137","1946-11-06"
"138","1946-11-15"
"139","1946-11-20"
"140","1946-12-27"
"141","1946-12-31"
"142","1947-01-04"
"143","1947-01-12"
"144","1947-01-17"
"145","1947-03-19"
"146","1947-04-02"
"147","1947-04-03"
"148","1947-04-05"
"149","1947-04-09"
"150","1947-04-30"
"151","1947-05-07"
"152","1947-05-13"
"153","1947-05-21"
"154","1947-05-30"
"155","1947-06-04"
"156","1947-06-09"
"157","1947-06-20"
"158","1947-06-25"
"159","1947-07-01"
"160","1947-07-02"
"161","1947-07-11"
"162","1947-07-20"
"163","1947-08-06"
"164","1947-09-17"
"165","1947-09-24"
"166","1947-10-03"
"167","1947-10-28"
"168","1947-10-31"
"169","1947-11-05"
"170","1947-11-28"
"171","1947-12-24"
"172","1947-12-31"
"173","1948-03-17"
"174","1948-03-26"
"175","1948-04-14"
"176","1948-05-16"
"177","1948-07-07"
"178","1948-08-04"
"179","1948-08-11"
"180","1948-08-13"
"181","1948-09-29"
"182","1948-10-10"
"183","1948-10-15"
"184","1948-10-27"
"185","1948-11-24"
"186","1949-01-05"
"187","1949-03-04"
"188","1949-05-04"
"189","1949-06-10"
"190","1949-06-14"
"191","1949-06-29"
"192","1949-07-20"
"193","1949-08-26"
"194","1949-09-16"
"195","1949-10-07"
"196","1949-10-19"
"197","1949-11-30"
"198","1949-12-04"
"199","1949-12-21"
"200","1950-02-10"
"201","1950-02-22"
"202","1950-03-31"
"203","1950-05-17"
"204","1950-06-02"
"205","1950-08-18"
"206","1950-09-15"
"207","1950-09-20"
"208","1950-09-22"
"209","1950-09-27"
"210","1950-10-04"
"211","1950-10-11"
"212","1950-10-18"
"213","1950-11-03"
"214","1950-12-01"
"215","1950-12-13"
"216","1950-12-29"
"217","1951-01-17"
"218","1951-03-21"
"219","1951-04-18"
"220","1951-04-26"
"221","1951-05-18"
"222","1951-06-22"
"223","1951-07-04"
"224","1951-08-22"
"225","1951-09-01"
"226","1951-09-07"
"227","1951-09-26"
"228","1951-10-09"
"229","1951-11-21"
"230","1951-11-30"
"231","1951-12-19"
"232","1952-03-21"
"233","1952-03-26"
"234","1952-03-28"
"235","1952-04-18"
"236","1952-04-30"
"237","1952-06-13"
"238","1952-06-26"
