"paysID","pays"
"1",NULL
"2","Afrique du Sud"
"3","Algérie"
"4","Allemagne"
"5","Allemagne de l'Ouest"
"6","Arabie Saoudite"
"7","Argentine"
"8","Arménie"
"9","Australie"
"10","Autriche"
"11","Belgique"
"12","Bolivie"
"13","Bosnie-Herzégovine"
"14","Botswana"
"15","Brésil"
"16","Bulgarie"
"17","Burkina Faso"
"18","Cameroun"
"19","Canada"
"20","Centrafrique"
"21","Chili"
"22","Chine"
"23","Colombie"
"24","Corée"
"25","Corée du Sud"
"26","Côte-d'Ivoire"
"27","Cuba"
"28","Danemark"
"29","Egypte"
"30","Espagne"
"31","Estonie"
"32","Finlande"
"33","France"
"34","Gabon"
"35","Géorgie"
"36","Ghana"
"37","Grande-Bretagne"
"38","Grèce"
"39","Guinée"
"40","Haïti"
"41","Hong-Kong"
"42","Hongrie"
"43","Inde"
"44","Indonésie"
"45","Iran"
"46","Irlande"
"47","Islande"
"48","Israël"
"49","Italie"
"50","Japon"
"51","kazakhstan"
"52","Koweit"
"53","Lettonie"
"54","Liban"
"55","Liechtenstein"
"56","Lituanie"
"57","Luxembourg"
"58","Mali"
"59","Maroc"
"60","Mauritanie"
"61","Mexique"
"62","Monaco"
"63","Niger"
"64","Nigéria"
"65","Norvège"
"66","Nouvelle-Zélande"
"67","Palestine"
"68","Panama"
"69","Papouasie-Nouvelle Guinée"
"70","Pays-Bas"
"71","Pérou"
"72","Philippines"
"73","Pologne"
"74","Portugal"
"75","Roumanie"
"76","Russie"
"77","Sénégal"
"78","Slovaquie"
"79","Suède"
"80","Suisse"
"81","Syrie"
"82","Tadjikistan"
"83","Taïwan"
"84","Tchad"
"85","Tchécoslovaquie"
"86","Tunisie"
"87","Turquie"
"88","U.R.S.S."
"89","U.S.A."
"90","Ukraine"
"91","Vénézuela"
"92","Vietnam"
"93","Yougoslavie"
"94","Zaïre"
