"realisateurID","realisateur"
"1","0"
"2","?tefan Uher"
"3","A. Amiralay"
"4","A. Gomis"
"5","A. Heyman"
"6","A. Toukhi"
"7","Aaron Norris"
"8","Ababacar Samb Makharam"
"9","Abai Karpykov"
"10","Abbas Kiarostami"
"11","Abdallah al-Moheisen"
"12","Abdelaziz Tolbi"
"13","Abdelkrim Bahloul"
"14","Abdelkrim Derkaoui, Driss Kettani"
"15","Abdellatif Ben Ammar"
"16","Abderrahmane Sissako"
"17","Abderrahmane Sissako, Issa Traore, Dani Kouyaté"
"18","Abel Ferrara"
"19","Abel Gance"
"20","Abou Seifs"
"21","Abraham Polonsky"
"22","Abram Room"
"23","Adama Drabo"
"24","Ademir Kenovic"
"25","Ado Arrietta"
"26","Adolf Winkelmann"
"27","Adolfo Aristarain"
"28","Adrian Lyne"
"29","Agassi Babaian"
"30","Agnès Merlet"
"31","Agnès Obadia"
"32","Agnès Varda"
"33","Agnieszka Holland"
"34","Ahmad Ramezanzadeh"
"35","Ahmed Badrakhan"
"36","Ahmed El Maânouni"
"37","Ahmed Etef"
"38","Ahmed Rachedi"
"39","Aki Kaurismäki"
"40","Akira Kurosawa"
"41","Al Christie"
"42","Al Razutis"
"43","Alain Bergala"
"44","Alain Bloch"
"45","Alain Cavalier"
"46","Alain Corneau"
"47","Alain d'Aix, Nathalie Bartou"
"48","Alain de Sedouy"
"49","Alain Ferrari"
"50","Alain Fleischer"
"51","Alain Jaubert"
"52","Alain Jessua"
"53","Alain Le Breton"
"54","Alain Philippon"
"55","Alain Pol"
"56","Alain Ratie"
"57","Alain Resnais"
"58","Alain Resnais, Robert Hessens"
"59","Alain Robak"
"60","Alain Robbe-Grillet"
"61","Alain Scheider, Samuel Beckett"
"62","Alain Tanner"
"63","Alain Vollerin"
"64","Alain-Marie Thomas"
"65","Alan Berliner"
"66","Alan Bridges"
"67","Alan Crosland"
"68","Alan J. Pakula"
"69","Alan Parker"
"70","Alan Rickman"
"71","Alan Rudolph"
"72","Alan Taylor"
"73","Albert Capellani"
"74","Albert Capellani, Andre Antoine"
"75","Albert Lamorisse"
"76","Albert Lewin"
"77","Albert Magnoli"
"78","Alberto Cavalcanti"
"79","Alberto Lattuada"
"80","Alberto Seixas Santos"
"81","Aldo Lado"
"82","Alejandro Jodorowsky"
"83","Aleksandar Petrovic"
"84","Aleksander Ford"
"85","Aleksandr Andriyevsky"
"86","Alessandro Blasetti"
"87","Alex Benno"
"88","Alex Cox"
"89","Álex de la Iglesia"
"90","Alex Joffé"
"91","Alexander Alexeieff"
"92","Alexander Alexeieff, Claire Parker"
"93","Alexander Esway"
"94","Alexander Kluge"
"95","Alexander Korda"
"96","Alexander Korda, Marcel Pagnol"
"97","Alexander Mackendrick"
"98","Alexander Sokurov"
"99","Alexandre Arcady"
"100","Alexandre Askoldov"
"101","Alexandre Astruc"
"102","Alexandre Dovjenko"
"103","Alexandre Granovski"
"104","Alexandre Medvedkine"
"105","Alexandre Ploutchko"
"106","Alexandre Promio"
"107","Alexandre Ptouchko"
"108","Alexandre Rekhviachvili"
"109","Alexandre Rockwell"
"110","Alexandre Tarta"
"111","Alexandre Valenti"
"112","Alexandre Volkoff"
"113","Alexandre Zarkhi"
"114","Alexandru Tatos"
"115","Alexei Guerman"
"116","Alexis Miansarow"
"117","Alf Goulding"
"118","Alf Sjoberg"
"119","Alfred Clark"
"120","Alfred E. Green"
"121","Alfred Hitchcock"
"122","Alfred Machin"
"123","Alfred Sandy"
"124","Alfred Werker"
"125","Alfredo Zacarias"
"126","Algimantas Puipa"
"127","Ali al-Ghazouli"
"128","Ali Badrakhan"
"129","Ali Khamraev"
"130","Ali Özgentürk"
"131","Aline Issermann"
"132","Alison MacLean"
"133","Alissair Lawrence"
"134","Allan Desroches"
"135","Allan Dwan"
"136","Allan Holzman"
"137","Allan Wisniewski"
"138","Allen Hughes, Albert Hughes"
"139","Allison Anders"
"140","Amando de Ossorio"
"141","Amir Karakulov"
"142","Amir Naderi"
"143","Amleto Palermi"
"144","Amos Gitaï"
