"id","PublicationDateAnnee","livreID"
"1","2017","1"
"2","2017","2"
"3","2006","3"
"4","1992","4"
"5","2016","5"
"6","2000","6"
"7","2017","7"
"8","2001","8"
"9","1993","9"
"10","2002","10"
"11","0","11"
"12","2003","12"
"13","2011","13"
"14","1975","14"
"15","2015","15"
"16","1991","16"
"17","2013","17"
"18","1999","18"
"19","2015","19"
"20","1981","20"
"21","2010","21"
"22","2010","22"
"23","2014","23"
"24","2009","24"
"25","2001","25"
"26","1996","26"
"27","2016","27"
"28","1993","28"
"29","1985","29"
"30","2010","30"
"31","2002","31"
"32","1975","32"
"33","2013","33"
"34","2010","34"
"35","2003","35"
"36","2014","36"
"37","1990","37"
"38","2017","38"
"39","2013","39"
"40","2005","40"
"41","2002","41"
"42","2014","42"
"43","2017","43"
"44","2003","44"
"45","1984","45"
"46","1989","46"
"47","1967","47"
"48","1999","48"
"49","1998","49"
"50","2014","50"
"51","2015","51"
"52","2003","52"
"53","2002","53"
"54","1993","54"
"55","1995","55"
"56","2005","56"
"57","1984","57"
"58","2001","58"
"59","2012","59"
"60","2013","60"
"61","2012","61"
"62","1999","62"
"63","2017","63"
"64","2017","64"
"65","2002","65"
"66","1999","66"
"67","0","67"
"68","2005","68"
"69","2015","69"
"70","2015","70"
"71","2001","71"
"72","2002","72"
"73","2008","73"
"74","2012","74"
"75","1962","75"
"76","2016","76"
"77","1997","77"
"78","2001","78"
"79","2003","79"
"80","2000","80"
"81","2001","81"
"82","2014","82"
"83","2003","83"
"84","1999","84"
"85","2013","85"
"86","2000","86"
"87","2000","87"
"88","2002","88"
"89","2000","89"
"90","2004","90"
"91","2001","91"
"92","2001","92"
"93","2006","93"
"94","2000","94"
"95","2010","95"
"96","2003","96"
"97","2017","97"
"98","2010","98"
"99","2000","99"
"100","2006","100"
"101","1994","101"
"102","2005","102"
"103","2005","103"
"104","2009","104"
"105","2004","105"
"106","2000","106"
"107","2014","107"
"108","1998","108"
"109","2016","109"
"110","2013","110"
"111","2002","111"
"112","2004","112"
"113","2012","113"
"114","2009","114"
"115","2002","115"
"116","2000","116"
"117","2003","117"
"118","2014","118"
"119","2003","119"
"120","2010","120"
"121","0","121"
"122","2000","122"
"123","2000","123"
"124","2003","124"
"125","2002","125"
"126","2005","126"
"127","2010","127"
"128","2001","128"
"129","2006","129"
"130","1995","130"
"131","1991","131"
"132","2012","132"
"133","2000","133"
"134","2005","134"
"135","1993","135"
"136","2004","136"
"137","2000","137"
"138","2003","138"
"139","0","139"
"140","2009","140"
"141","2007","141"
"142","2000","142"
"143","2011","143"
"144","2012","144"
"145","2003","145"
"146","1993","146"
"147","2014","147"
"148","2001","148"
"149","2007","149"
"150","2012","150"
"151","2008","151"
"152","2008","152"
"153","2008","153"
"154","2003","154"
"155","2011","155"
"156","2011","156"
"157","2004","157"
"158","1997","158"
"159","2013","159"
"160","2013","160"
"161","1999","161"
"162","2007","162"
"163","2006","163"
"164","2010","164"
"165","2011","165"
"166","2008","166"
"167","2001","167"
"168","2000","168"
"169","0","169"
"170","2017","170"
"171","2006","171"
"172","2015","172"
"173","1996","173"
"174","2013","174"
"175","2017","175"
"176","2016","176"
"177","2014","177"
"178","1991","178"
"179","1973","179"
"180","0","180"
"181","2014","181"
"182","2002","182"
"183","2010","183"
"184","2010","184"
"185","1991","185"
"186","2015","186"
"187","2011","187"
"188","2016","188"
"189","1991","189"
"190","0","190"
"191","2004","191"
"192","2015","192"
"193","0","193"
"194","1993","194"
"195","1999","195"
"196","1983","196"
"197","2015","197"
"198","1979","198"
"199","2002","199"
"200","2017","200"
"201","0","201"
"202","2011","202"
"203","2008","203"
"204","2013","204"
"205","2008","205"
"206","2016","206"
"207","2017","207"
"208","2015","208"
"209","2012","209"
"210","2009","210"
"211","1975","211"
"212","2007","212"
"213","1976","213"
"214","2008","214"
"215","2016","215"
"216","2009","216"
"217","2012","217"
"218","1965","218"
"219","1987","219"
"220","2016","220"
"221","2013","221"
"222","2010","222"
"223","2002","223"
"224","2011","224"
"225","1979","225"
"226","2009","226"
"227","2008","227"
