"id","ReleaseDateAnnee","livreID"
"1","2017","1"
"2","2017","2"
"3","0","3"
"4","0","4"
"5","0","5"
"6","2000","6"
"7","0","7"
"8","0","8"
"9","1993","9"
"10","0","10"
"11","0","11"
"12","0","12"
"13","0","13"
"14","0","14"
"15","2015","15"
"16","1991","16"
"17","2013","17"
"18","0","18"
"19","2015","19"
"20","0","20"
"21","0","21"
"22","0","22"
"23","2014","23"
"24","0","24"
"25","0","25"
"26","1996","26"
"27","2016","27"
"28","1993","28"
"29","1985","29"
"30","0","30"
"31","0","31"
"32","0","32"
"33","2013","33"
"34","0","34"
"35","0","35"
"36","2014","36"
"37","1990","37"
"38","2017","38"
"39","2013","39"
"40","2005","40"
"41","0","41"
"42","2014","42"
"43","0","43"
"44","0","44"
"45","1984","45"
"46","1989","46"
"47","1967","47"
"48","1999","48"
"49","1998","49"
"50","2014","50"
"51","0","51"
"52","0","52"
"53","0","53"
"54","1993","54"
"55","1995","55"
"56","2005","56"
"57","0","57"
"58","2001","58"
"59","2012","59"
"60","0","60"
"61","0","61"
"62","1999","62"
"63","0","63"
"64","2017","64"
"65","0","65"
"66","0","66"
"67","0","67"
"68","0","68"
"69","2015","69"
"70","0","70"
"71","2001","71"
"72","2002","72"
"73","0","73"
"74","0","74"
"75","1962","75"
"76","2016","76"
"77","1997","77"
"78","2001","78"
"79","2003","79"
"80","2000","80"
"81","0","81"
"82","0","82"
"83","2003","83"
"84","1999","84"
"85","2013","85"
"86","0","86"
"87","2000","87"
"88","2002","88"
"89","2000","89"
"90","2004","90"
"91","2001","91"
"92","0","92"
"93","2006","93"
"94","0","94"
"95","0","95"
"96","0","96"
"97","0","97"
"98","0","98"
"99","0","99"
"100","2006","100"
"101","1994","101"
"102","0","102"
"103","2005","103"
"104","0","104"
"105","2004","105"
"106","0","106"
"107","0","107"
"108","1998","108"
"109","0","109"
"110","2013","110"
"111","0","111"
"112","0","112"
"113","2012","113"
"114","2009","114"
"115","0","115"
"116","2000","116"
"117","2003","117"
"118","2014","118"
"119","2003","119"
"120","2010","120"
"121","0","121"
"122","0","122"
"123","2000","123"
"124","2003","124"
"125","0","125"
"126","0","126"
"127","0","127"
"128","0","128"
"129","2006","129"
"130","1995","130"
"131","0","131"
"132","2012","132"
"133","0","133"
"134","0","134"
"135","0","135"
"136","0","136"
"137","0","137"
"138","2003","138"
"139","0","139"
"140","0","140"
"141","2007","141"
"142","0","142"
"143","2011","143"
"144","2012","144"
"145","0","145"
"146","1993","146"
"147","2014","147"
"148","2001","148"
"149","0","149"
"150","2012","150"
"151","2008","151"
"152","2008","152"
"153","2008","153"
"154","2003","154"
"155","2011","155"
"156","0","156"
"157","0","157"
"158","0","158"
"159","2013","159"
"160","2013","160"
"161","1999","161"
"162","2007","162"
"163","0","163"
"164","2010","164"
"165","0","165"
"166","2008","166"
"167","0","167"
"168","0","168"
"169","0","169"
"170","0","170"
"171","0","171"
"172","0","172"
"173","0","173"
"174","0","174"
"175","2017","175"
"176","0","176"
"177","2014","177"
"178","0","178"
"179","0","179"
"180","0","180"
"181","0","181"
"182","0","182"
"183","2010","183"
"184","2010","184"
"185","0","185"
"186","0","186"
"187","2011","187"
"188","0","188"
"189","0","189"
"190","0","190"
"191","2004","191"
"192","2015","192"
"193","0","193"
"194","0","194"
"195","1999","195"
"196","1983","196"
"197","2015","197"
"198","0","198"
"199","0","199"
"200","2017","200"
"201","0","201"
"202","2011","202"
"203","0","203"
"204","0","204"
"205","2008","205"
"206","2016","206"
"207","2017","207"
"208","2015","208"
"209","2012","209"
"210","0","210"
"211","1975","211"
"212","2007","212"
"213","1976","213"
"214","2008","214"
"215","2016","215"
"216","0","216"
"217","0","217"
"218","1965","218"
"219","1987","219"
"220","2016","220"
"221","2013","221"
"222","0","222"
"223","0","223"
"224","2011","224"
"225","1979","225"
"226","2009","226"
"227","0","227"
"228","2008","228"
"229","2012","229"
"230","0","230"
"231","2013","231"
"232","0","232"
"233","0","233"
"234","2012","234"
"235","1996","235"
"236","0","236"
"237","2001","237"
"238","2004","238"
