"id","annee_prod","filmID"
"1","1981","1"
"2","1984","2"
"3","1951","3"
"4","1932","4"
"5","1949","5"
"6","1975","6"
"7","1981","7"
"8","1969","8"
"9","1949","9"
"10","1972","10"
"11","1967","11"
"12","1955","12"
"13","1942","13"
"14","1983","14"
"15","1969","15"
"16","1948","16"
"17","1984","17"
"18","1981","18"
"19","1983","19"
"20","1984","20"
"21","1985","21"
"22","1982","22"
"23","1971","23"
"24","1960","24"
"25","1981","25"
"26","1936","26"
"27","1962","27"
"28","1961","28"
"29","1967","29"
"30","1961","30"
"31","1948","31"
"32","1979","32"
"33","1985","33"
"34","1963","34"
"35","1962","35"
"36","1924","36"
"37","1932","37"
"38","1976","38"
"39","1976","39"
"40","1983","40"
"41","1930","41"
"42","1922","42"
"43","1953","43"
"44","1947","44"
"45","1940","45"
"46","1954","46"
"47","1985","47"
"48","1969","48"
"49","1984","49"
"50","1962","50"
"51","1938","51"
"52","1974","52"
"53","1980","53"
"54","1979","54"
"55","1984","55"
"56","1982","56"
"57","1948","57"
"58","1984","58"
"59","1984","59"
"60","1963","60"
"61","1980","61"
"62","1982","62"
"63","2000","63"
"64","1982","64"
"65","1984","65"
"66","1985","66"
"67","1982","67"
"68","1930","68"
"69","1961","69"
"70","1978","70"
"71","1983","71"
"72","1981","72"
"73","1982","73"
"74","1977","74"
"75","1960","75"
"76","1983","76"
"77","1983","77"
"78","1969","78"
"79","1984","79"
"80","1985","80"
"81","1970","81"
"82","1983","82"
"83","1982","83"
"84","1984","84"
"85","1976","85"
"86","1957","86"
"87","1944","87"
"88","1968","88"
"89","1980","89"
"90","1984","90"
"91","1977","91"
"92","1980","92"
"93","1984","93"
"94","1976","94"
"95","1983","95"
"96","1927","96"
"97","1960","97"
"98","1959","98"
"99","1981","99"
"100","1981","100"
"101","1972","101"
"102","1956","102"
"103","1985","103"
"104","1984","104"
"105","1983","105"
"106","1967","106"
"107","1983","107"
"108","1978","108"
"109","1959","109"
"110","1956","110"
"111","1952","111"
"112","1975","112"
"113","1957","113"
"114","1984","114"
"115","1983","115"
"116","1955","116"
"117","1984","117"
"118","1983","118"
"119","1985","119"
"120","1984","120"
"121","1982","121"
"122","1946","122"
"123","1958","123"
"124","1982","124"
"125","1981","125"
"126","1971","126"
"127","1949","127"
"128","1977","128"
"129","1984","129"
"130","1970","130"
"131","1983","131"
"132","1984","132"
"133","1976","133"
"134","1953","134"
"135","1955","135"
"136","1966","136"
"137","1984","137"
"138","1960","138"
"139","1985","139"
"140","1983","140"
"141","1980","141"
"142","1972","142"
"143","1975","143"
"144","1966","144"
"145","1984","145"
"146","1984","146"
"147","1984","147"
"148","1969","148"
"149","1984","149"
"150","1980","150"
"151","1984","151"
"152","1945","152"
"153","1977","153"
"154","1983","154"
"155","1983","155"
"156","1981","156"
"157","1923","157"
"158","1935","158"
"159","1983","159"
"160","1951","160"
"161","1977","161"
"162","1961","162"
"163","1972","163"
"164","1974","164"
