"id","note_allocine_presseID","filmID"
"1","31","4"
"2","20","15"
"3","36","24"
"4","36","34"
"5","36","39"
"6","26","48"
"7","26","53"
"8","30","54"
"9","31","58"
"10","18","63"
"11","32","74"
"12","36","78"
"13","32","87"
"14","36","96"
"15","26","98"
"16","32","100"
"17","32","101"
"18","26","105"
"19","26","106"
"20","34","110"
"21","36","112"
"22","36","116"
"23","16","117"
"24","36","119"
"25","34","127"
"26","35","130"
"27","34","133"
"28","33","134"
"29","26","136"
"30","19","141"
"31","36","142"
"32","23","148"
"33","34","150"
"34","36","152"
"35","29","156"
"36","36","162"
"37","26","170"
"38","36","174"
"39","26","178"
"40","7","191"
"41","34","193"
"42","36","195"
"43","7","196"
"44","29","201"
"45","23","202"
"46","34","209"
"47","21","210"
"48","34","212"
"49","36","218"
"50","36","223"
"51","31","224"
"52","31","231"
"53","32","234"
"54","36","237"
"55","32","238"
"56","34","240"
"57","36","245"
"58","34","249"
"59","26","250"
"60","33","258"
"61","36","262"
"62","36","272"
"63","18","273"
"64","36","274"
"65","36","284"
"66","26","286"
"67","26","293"
"68","31","310"
"69","36","311"
"70","29","315"
"71","36","332"
"72","26","339"
"73","18","346"
"74","22","353"
"75","36","362"
"76","32","363"
"77","32","364"
"78","36","371"
"79","36","383"
"80","36","385"
"81","36","387"
"82","26","393"
"83","34","402"
"84","26","403"
"85","36","404"
"86","36","408"
"87","33","414"
"88","32","419"
"89","32","433"
"90","36","438"
"91","36","440"
"92","29","442"
"93","24","443"
"94","36","452"
"95","10","456"
"96","7","476"
"97","36","486"
"98","36","487"
"99","34","496"
"100","26","529"
"101","36","534"
"102","26","536"
"103","32","537"
"104","30","553"
"105","34","554"
"106","26","560"
"107","29","561"
"108","28","569"
"109","33","577"
"110","36","587"
"111","16","594"
"112","26","595"
"113","17","599"
"114","36","618"
"115","34","619"
"116","36","620"
"117","31","631"
"118","36","638"
"119","36","643"
"120","19","646"
"121","36","653"
"122","30","664"
"123","36","665"
"124","26","668"
"125","26","680"
"126","34","681"
"127","36","683"
"128","26","685"
"129","26","686"
"130","34","692"
"131","31","697"
"132","28","701"
"133","36","706"
"134","36","707"
"135","36","714"
"136","25","719"
"137","16","727"
"138","36","742"
"139","31","752"
"140","36","755"
"141","36","757"
"142","36","763"
"143","36","768"
"144","36","782"
"145","24","786"
"146","24","787"
"147","26","788"
"148","25","789"
"149","34","791"
"150","36","805"
"151","36","810"
"152","36","819"
"153","21","832"
"154","13","833"
"155","24","845"
"156","22","848"
"157","16","852"
"158","31","867"
"159","36","916"
"160","34","917"
"161","26","924"
"162","31","925"
"163","36","931"
"164","30","933"
"165","2","937"
"166","21","940"
"167","18","943"
"168","18","947"
"169","7","953"
"170","36","971"
"171","36","973"
"172","34","988"
"173","20","1014"
"174","36","1018"
"175","34","1039"
"176","26","1040"
"177","36","1045"
"178","30","1046"
"179","5","1048"
"180","6","1082"
"181","11","1087"
"182","17","1089"
"183","20","1090"
"184","32","1100"
"185","33","1109"
"186","26","1113"
"187","16","1114"
"188","24","1117"
"189","34","1127"
"190","36","1136"
"191","18","1148"
"192","36","1163"
"193","36","1165"
"194","24","1176"
"195","26","1178"
"196","36","1179"
"197","33","1181"
"198","36","1187"
"199","19","1193"
"200","27","1203"
"201","26","1210"
"202","29","1213"
"203","20","1230"
"204","36","1236"
"205","26","1238"
"206","36","1269"
"207","19","1275"
"208","36","1281"
"209","33","1298"
"210","31","1313"
"211","16","1316"
"212","16","1317"
"213","19","1334"
"214","16","1336"
"215","24","1342"
"216","31","1343"
"217","29","1352"
"218","36","1353"
"219","32","1355"
"220","36","1356"
"221","27","1359"
"222","36","1364"
"223","27","1365"
"224","32","1366"
"225","31","1383"
"226","14","1400"
"227","26","1403"
"228","36","1415"
"229","36","1433"
"230","36","1445"
"231","36","1446"
"232","36","1449"
"233","14","1460"
"234","16","1461"
"235","36","1491"
"236","36","1497"
"237","36","1498"
"238","18","1515"
"239","36","1516"
"240","36","1518"
"241","36","1523"
"242","19","1524"
"243","28","1532"
"244","26","1538"
"245","28","1539"
"246","32","1548"
"247","32","1554"
"248","26","1556"
"249","35","1601"
"250","9","1619"
"251","9","1622"
"252","31","1646"
"253","26","1648"
"254","26","1650"
"255","20","1652"
"256","35","1656"
"257","32","1658"
"258","31","1659"
"259","34","1660"
"260","21","1683"
"261","24","1684"
"262","26","1700"
"263","32","1710"
"264","36","1711"
"265","30","1725"
"266","33","1734"
"267","9","1740"
"268","26","1742"
"269","28","1743"
"270","31","1751"
"271","18","1761"
"272","36","1770"
"273","14","1821"
"274","36","1830"
"275","33","1840"
"276","24","1841"
"277","36","1847"
"278","36","1848"
"279","29","1850"
"280","23","1857"
"281","36","1866"
"282","31","1868"
"283","36","1869"
"284","36","1871"
"285","33","1879"
"286","26","1894"
"287","18","1895"
"288","31","1902"
"289","33","1909"
"290","26","1914"
"291","26","1922"
"292","36","1923"
"293","25","1924"
"294","36","1925"
"295","26","1926"
"296","26","1927"
"297","31","1928"
"298","31","1929"
"299","26","1931"
"300","36","1932"
"301","24","1956"
"302","31","1962"
"303","26","1970"
"304","36","1984"
"305","26","1995"
"306","29","2003"
"307","36","2015"
"308","36","2026"
"309","34","2046"
"310","26","2049"
"311","34","2094"
"312","36","2097"
"313","16","2100"
"314","24","2123"
"315","26","2125"
"316","36","2134"
"317","14","2144"
"318","36","2149"
"319","26","2159"
"320","24","2160"
"321","34","2176"
"322","34","2185"
"323","26","2190"
"324","28","2194"
"325","31","2196"
"326","7","2206"
"327","20","2208"
"328","20","2211"
"329","36","2213"
"330","31","2216"
"331","34","2217"
"332","26","2225"
"333","36","2226"
"334","32","2227"
"335","31","2231"
"336","36","2233"
"337","24","2235"
"338","26","2248"
"339","11","2252"
"340","30","2253"
"341","16","2265"
"342","36","2266"
"343","26","2284"
"344","30","2294"
"345","36","2327"
"346","36","2328"
"347","31","2332"
"348","31","2337"
"349","26","2342"
"350","34","2343"
"351","31","2353"
"352","23","2354"
"353","22","2355"
"354","23","2361"
"355","19","2363"
"356","31","2364"
"357","36","2393"
"358","36","2397"
"359","26","2402"
"360","36","2421"
"361","24","2431"
"362","26","2449"
"363","36","2500"
"364","27","2526"
"365","36","2543"
"366","31","2546"
"367","33","2564"
"368","26","2566"
"369","22","2568"
"370","32","2578"
"371","26","2591"
"372","36","2606"
"373","36","2619"
"374","21","2622"
"375","29","2624"
"376","34","2652"
"377","34","2664"
"378","26","2666"
"379","16","2668"
"380","16","2683"
"381","36","2698"
"382","36","2743"
"383","34","2753"
"384","31","2765"
"385","31","2787"
"386","28","2792"
"387","36","2813"
"388","36","2818"
"389","24","2820"
"390","26","2821"
"391","26","2822"
"392","19","2825"
"393","33","2827"
"394","26","2837"
"395","24","2839"
"396","19","2843"
"397","24","2845"
"398","36","2878"
"399","27","2892"
"400","29","2894"
"401","36","2901"
"402","16","2922"
"403","26","2923"
"404","26","2925"
"405","21","2926"
"406","27","2945"
"407","30","2954"
"408","31","2970"
"409","26","2971"
"410","36","2974"
"411","32","2985"
"412","26","3016"
"413","36","3032"
"414","36","3035"
"415","28","3046"
"416","22","3049"
"417","36","3070"
"418","14","3084"
"419","14","3115"
"420","16","3143"
"421","26","3149"
"422","14","3155"
"423","29","3156"
"424","26","3163"
"425","26","3166"
"426","28","3176"
"427","16","3179"
"428","26","3183"
"429","36","3191"
"430","30","3197"
"431","31","3267"
"432","16","3272"
"433","31","3282"
"434","22","3311"
"435","26","3334"
"436","26","3339"
"437","28","3340"
"438","36","3347"
"439","26","3350"
"440","36","3356"
"441","36","3358"
"442","31","3359"
"443","36","3371"
"444","33","3373"
"445","36","3378"
"446","26","3381"
"447","36","3385"
"448","18","3398"
"449","18","3400"
"450","12","3405"
"451","30","3438"
"452","16","3440"
"453","20","3443"
"454","36","3455"
"455","21","3459"
"456","36","3490"
"457","30","3492"
"458","26","3512"
"459","34","3515"
"460","36","3524"
"461","35","3529"
"462","36","3538"
"463","32","3552"
"464","26","3558"
"465","36","3588"
"466","36","3598"
"467","18","3601"
"468","4","3603"
"469","16","3611"
