"acteursID","acteur"
"15458","'Rim'K' Brahmi-Benalla Abdelkrim"
"31","0"
"5485","0"
"11056","0"
"16527","0"
"21684","0"
"25310","2 Chainz"
"19606","??tar Gökseven"
"3631","?afak Sezer"
"8638","?afak Sezer"
"8792","?ahap Say?lgan"
"19463","?ahika Koldemir"
"14636","?ahin Çelik"
"3596","?ahin Irmak"
"24616","?amil Kafkas"
"14134","?brahim Çelikkol"
"14097","?brahim Gündo?an"
"8639","?brahim Kendirci"
"19673","?clal Ayd?n"
"14438","?dil F?rat"
"19385","?dil F?rat"
"8994","?ebnem Bozoklu"
"9044","?ebnem Dönmez"
"3840","?ebnem Özinal"
"3495","?ebnem Sönmez"
"14643","?ebnem Sönmez"
"24611","?ekip Ta?p?nar"
"24317","?emsi ?nkaya"
"24152","?enay Gürler"
"19736","?erif Sezer"
"24653","?erif Sezer"
"8799","?ermin Hürmeriç"
"24528","?ermin Hürmeriç"
"3752","?evket Altu?"
"3606","?evval Sam"
"14732","?evval Sam"
"19934","?evval Sam"
"14346","?lhan ?e?en"
"24555","?lhan ?e?en"
"14132","?lker ?nano?lu"
"3550","?lker Aksum"
"14472","?lker Aksum"
"19927","?lker Aksum"
"24146","?lker Ayr?k"
"8253","?lknur Boyraz"
"3233","?lyas Salman"
"3368","?nci Türkay"
"8912","?nci Türkay"
"19970","?pek De?er"
"14420","?pek Erdem"
"14538","?pek Karap?nar"
"19734","?pek Karap?nar"
"14216","?pek Özkök"
"3271","?pek Tuzcuo?lu"
"9126","?pek Tuzcuo?lu"
"8902","?rem Altu?"
"14521","?rem Sak"
"8687","?smail Hac?o?lu"
"14651","?smail Hac?o?lu"
"14277","?smet Numano?lu"
"19461","?srafil Köse"
"24362","?ükrü Özy?ld?z"
"14424","?ule Gezgöç"
"11044","A. Martinez"
"20912","A. Martinez"
"2878","A.D. Miles"
"8113","A.J. Buckley"
"14509","A.J. Buckley"
"11409","A.J. Cook"
"13602","A.J. Langer"
"16750","A.J. Langer"
"5388","A.J. Trauth"
"25417","Aalyrah Caldwell"
"6877","Aaron Abrams"
"9890","Aaron Ashmore"
"10829","Aaron Carpenter"
"10813","Aaron Casey"
"24709","Aaron D. Spears"
"4717","Aarón Díaz"
"10738","Aarón Díaz"
"26165","Aarón Díaz"
"1907","Aaron Douglas"
"9248","Aaron Fa'aoso"
"15083","Aaron Fa'aoso"
"10674","Aaron Glenane"
"21833","Aaron Grady"
"18001","Aaron Greenberg"
"13087","Aarón Guerrero"
"5580","Aaron Himelstein"
"10806","Aaron Jakubenko"
"5437","Aaron Jeffery"
"7821","Aaron Jeffery"
"24812","Aaron Landon"
"8109","Aaron Linker"
"1700","Aaron Mathias"
"17561","Aaron McCusker"
"21765","Aaron Meeks"
"21360","Aaron Moten"
"5333","Aaron Paul"
"6608","Aaron Paul"
"7775","Aaron Pedersen"
"17932","Aaron Pedersen"
"20726","Aaron Poole"
"8547","Aaron Ruell"
"4106","Aaron Sauter"
"11874","Aaron Stanford"
"16279","Aaron Staton"
"1303","Aaron Taylor-Johnson"
"9154","Aaron Tveit"
"15794","Aaron Tveit"
"20292","Aaron Yoo"
"5149","Aasif Mandvi"
"20497","Aasif Mandvi"
"24372","Abbey Hoes"
"9164","Abbi Jacobson"
"10140","Abbie Cobb"
"9497","Abbie Cornish"
"10438","Abby Donnelly"
"9872","Abby Elliott"
"22845","Abby Elliott"
"21434","Abby Miller"
"20072","Abby Pivaronas"
"25005","Abby Ryder Fortson"
"3529","Abdelatif Hwidar"
"14310","Abdelatif Hwidar"
"4194","Abdelhafid Metalsi"
"24895","Abdullah Afzal"
"10152","Abel Folk"
"22812","Abigail Cruttenden"
"20327","Abigail Hardingham"
"24619","Abigail Mavity"
"712","Abigail Spencer"
"8739","Abigail Spencer"
"25954","Abigail Thaw"
"6420","Abraham Benrubi"
"22253","Abraham Benrubi"
"5236","Ace Bhatti"
"3781","Açelya Akkoyun"
"24015","Achille Ridolfi"
"19062","Achim Schelhas"
"8304","Adalbero Ntsele"
"7812","Adam Arkin"
"11326","Adam Arkin"
"24271","Adam Arkin"
"20044","Adam Astill"
"5805","Adam Baldwin"
"13004","Adam Baldwin"
"16723","Adam Baldwin"
"3701","Adam Beach"
"6334","Adam Biesk"
"4256","Adam Brody"
"5588","Adam Brody"
"16692","Adam Busch"
"1790","Adam Campbell"
"10328","Adam Campbell"
"22843","Adam Campbell"
"4195","Adam Cayton-Holland"
"1539","Adam Countee"
"18550","Adam Deacon"
"8168","Adam Devine"
"16500","Adam DiMarco"
"8499","Adam Driver"
"15856","Adam Fergus"
"18249","Adam Fergus"
"20505","Adam Frost"
"12475","Adam Garcia"
"23787","Adam Godley"
"385","Adam Goldberg"
"15059","Adam Goldberg"
"18634","Adam Goldberg"
"21829","Adam Goldberg"
"3943","Adam Green"
"1418","Adam Grimes"
"21815","Adam Harrington"
"7886","Adam Hicks"
"26092","Adam Hicks"
"8858","Adam Jeffries"
"2995","Adam Jezierski"
"24421","Adam Jezierski"
"16418","Adam Jonas Segaller"
"5147","Adam Kaufman"
"3859","Adam Korson"
"25795","Adam Korson"
"5814","Adam Lamberg"
"24816","Adam LeFevre"
"15262","Adam Levy"
"20751","Adam Long"
"4135","Adam Lundgren"
"16487","Adam Lundgren"
"21131","Adam Lustick"
"18031","Adam Morris"
"25903","Adam Nagaitis"
"14012","Adam Novák"
"4936","Adam Pally"
"18908","Adam Pally"
"9620","Adam Pålsson"
"6673","Adam Paul"
"5353","Adam Ray (III)"
"4033","Adam Rayner"
"9155","Adam Rayner"
"4925","Adam Rodriguez"
"9810","Adam Rodriguez"
"11063","Adam Rodriguez"
"21990","Adam Rodriguez"
"5259","Adam Rose"
"14836","Adam Rothenberg"
"22842","Adam Rothenberg"
"1510","Adam Scott"
"18264","Adam Scott"
"25469","Adam Scott"
"22441","Adam Talbot"
"357","Adam West"
"24805","Adam Wilson"
"1153","Adam Woodyatt"
"10398","Adam Woronowicz"
"4181","Adam Zwar"
"10751","Adama Niane"
"23141","Adama Niane"
"12496","Adama Yatinga"
"15863","Adamo Dionisi"
"4428","Adan Canto"
"15927","Adan Canto"
"14525","Adda Abdelli"
"4404","Addison Holley"
"20330","Addison Riecke"
"14693","Addison Timlin"
"5328","Ade Oyefeso"
"9605","Ade Oyefeso"
"15338","Adeel Akhtar"
"20107","Adeel Akhtar"
"25787","Adeel Akhtar"
"6262","Adel Bencherif"
"907","Adel Kachermi"
"14266","Adelaide Clemens"
"20021","Adelaide Clemens"
"4087","Adelaide Kane"
"10002","Adelaide Kane"
"3707","Adelayo Adedayo"
"16209","Adelayo Adedayo"
"1652","Adele Neuhauser"
"21392","Adele Perovic"
"25321","Adele Perovic"
"26003","Adèle Wismes"
"3920","Adeline Blondieau"
"11427","Adeline Blondieau"
"18099","Adeline Bodo"
"7145","Adeline Chetail"
"3107","Adeline Giroudon"
"11536","Adeline Ishiomin"
"3833","Aden Young"
"15693","Aden Young"
"20619","Aden Young"
"14610","Adewale Akinnuoye-Agbaje"
"16068","Adham Bachus"
"942","Adhir Kalyan"
"10907","Adhir Kalyan"
"15492","Adhir Kalyan"
"10635","Adib Alkhalidey"
"6903","Adie Allen"
"3960","Adil Ray"
"21058","Adina Porter"
"6953","Adnan Maral"
"12571","Adolfo Celi"
"4288","Adria Arjona"
"8332","Adrian Conquet"
"10696","Adrian Dunbar"
"14799","Adrian Dunbar"
"1372","Adrian Edmondson"
"10346","Adrian Edmondson"
"16901","Adrian Edmondson"
"228","Adrian Grenier"
"4324","Adrian Holmes"
"15218","Adrian Holmes"
"25540","Adrian Hough"
"23211","Adrian Irvine"
"10540","Adrian Lester"
"11616","Adrian Lester"
"17865","Adrian Lester"
"1160","Adrian Lewis Morgan"
"25919","Adrian Martinez"
"16319","Adrian Pang"
"472","Adrian Pasdar"
"8838","Adrian Pasdar"
"11278","Adrian Pasdar"
"17154","Adrian Pasdar"
"294","Adrian Paul"
"2092","Adrian Petriw"
"7806","Adrian Scarborough"
"14891","Adrian Scarborough"
"25057","Adrian Scarborough"
"24070","Adrián Viador"
"9929","Adrian Wenner"
"20475","Adrian Wright"
"2594","Adriana Esteves"
"9767","Adriana Esteves"
"4683","Adriana Fonseca"
"2769","Adriana Ozores"
"19625","Adriana Ozores"
"23846","Adriana Torrebejano"
"14323","Adriana Ugarte"
"9934","Adrianna Di Liello"
"15786","Adrianna Gradziel"
"3124","Adrianne Palicki"
"10638","Adriano Garib"
"9239","Adriano Giannini"
"12445","Adriano Giannini"
"19499","Adriano Giannini"
"2433","Adriano Luz"
"1856","Adrien Antoine"
"7377","Adrien Antoine"
"18301","Adrien Antoine"
"4155","Adrien Brody"
"23977","Adrien Brody"
"14300","Adrien Saint-Joré"
"19222","Adrienne Koutouan"
"14190","Adrienne Pickering"
"20483","Adrienne Pickering"
"25463","Adrienne Pickering"
"21453","Adrienne Warren"
"2357","Adrienne-Joi Johnson"
"18946","Ady An"
"24125","Aedin Mincks"
"20859","Affion Crockett"
"13796","Afrika Manqele"
"25924","Afton Williamson"
"20302","Agam Darshi"
"24977","Agam Darshi"
"959","Agatha Mrowiec-Thomas"
"12418","Agathe Bouissières"
"6246","Agathe Cury"
"404","Agathe de La Boulaye"
"24538","Agathe Dronne"
"3121","Aglaia Szyszkowitz"
"14811","Agnès Blanchot"
"22858","Agnès Boury"
"9884","Agnes Bruckner"
"14899","Agnes Bruckner"
"17605","Agnès Château"
"14843","Agnès Delachair"
"22637","Agnès Delachair"
"995","Agnès Dhaussy"
"22493","Agnès Dhaussy"
"18283","Agnès Gribe"
"22651","Agnès Gribe"
"11345","Agnes Moorehead"
