"acteursID","acteur"
"1","Marlon Brando"
"2","Christian Bale"
"3","Liam Neeson"
"4","John Travolta"
"5","Elijah Wood"
"6","Clint Eastwood"
"7","Brad Pitt"
"8","Tom Hanks"
"9","Mark Hamill"
"10","Leonardo DiCaprio"
"11","Michael Berryman"
"12","Ray Liotta"
"13","Keanu Reeves"
"14","Rosamund Pike"
"15","Anthony Hopkins"
"16","James Stewart"
"17","Chazz Palminteri"
"18","Albert Finney"
"19","Rumi Hiiragi"
"20","Edward Norton"
"21","Matthew McConaughey"
"22","Anthony Perkins"
"23","Humphrey Bogart"
"24","François Cluzet"
"25","Charles Chaplin"
"26","Harrison Ford"
"27","Adrien Brody"
"28","Arnold Schwarzenegger"
"29","Michael J. Fox"
"30","Miles Teller"
"31","Russell Crowe"
"32","Hugh Jackman"
"33","Emmanuel Curtil"
"34","Guy Pearce"
"35","Martin Sheen"
"36","Peter Sellers"
"37","JoeyStarr"
"38","J. Robert Spencer"
"39","Kirk Douglas"
"40","Jamie Foxx"
"41","Jack Nicholson"
"42","Ben Burtt"
"43","Ryan Gosling"
"44","Kevin Spacey"
"45","Min-sik Choi"
"46","Sigourney Weaver"
"47","Aamir Khan"
"48","Jürgen Prochnow"
"49","Joseph Cotten"
"50","Cary Grant"
"51","Mel Gibson"
"52","Harvey Keitel"
"53","Peter Lorre"
"54","Armie Hammer"
"55","Peter O'Toole"
"56","Fred MacMurray"
"57","Tom Hulce"
"58","Jim Carrey"
"59","Robert De Niro"
"60","Gregory Peck"
"61","Matthew Modine"
"62","Jean Hagen"
"63","Richard Darbois"
"64","Paul Newman"
"65","Jean-Philippe Puymartin"
"66","Fionn Whitehead"
"67","Lamberto Maggiorani"
"68","Chris Britton"
"69","Ismael Merlo"
"70","Diego Luna"
"71","Brigitte Helm"
"72","..."
"73","Gérard Jugnot"
"74","Léa Seydoux"
"75","Marilyn Monroe"
"76","Rolf Kanies"
"77","Al Pacino"
"78","Bahare Seddiqi"
"79","Bob Askloff"
"80","Ivana Baquero"
"81","Chika Sakamoto"
"82","Tatsuya Nakadai"
"83","Spencer Tracy"
"84","Ricardo Darín"
"85","Charlotte Le Bon"
"86","James Franco"
"87","Jason Statham"
"88","Natalie Portman"
"89","Victor Sjöstrom"
"90","Joel Edgerton"
"91","Ewan McGregor"
"92","Vivien Leigh"
"93","George O'Brien"
"94","William H. Macy"
"95","Kurt Russell"
"96","Tommy Lee Jones"
"97","Jeff Bridges"
"98","?ener ?en"
"99","Franck Dubosc"
"100","Chishu Ryu"
"101","Daniel Day-Lewis"
"102","Aleksei Kravchenko"
"103","Joan Fontaine"
"104","Roland Møller"
"105","Om Puri"
"106","Max von Sydow"
"107","Renée Falconetti"
"108","Toni Collette"
"109","Ben Affleck"
"110","Emile Hirsch"
"111","Ward Bond"
"112","Graham Chapman"
"113","Chris Hemsworth"
"114","Charlie Sheen"
"115","Yves Montand"
"116","Faye Dunaway"
"117","Charlton Heston"
"118","Ralph Fiennes"
"119","Jean-Pierre Léaud"
"120","Song Kang-Ho"
"121","Chiwetel Ejiofor"
"122","Tom Hardy"
"123","Michael Keaton"
"124","Alexandre Kaidanovski"
"125","Goya Toledo"
"126","Richard Gere"
"127","Cary Elwes"
"128","Ethan Hawke"
"129","Giulietta Masina"
"130","Ryan O'Neal"
"131","Will Dunn"
"132","Sylvester Stallone"
"133","Noël Roquevert"
"134","Ben Kingsley"
"135","Jake Gyllenhaal"
"136","Jacques Frantz"
"137","Woody Allen"
"138","Matt Damon"
"139","Judy Garland"
"140","Marcello Mastroianni"
"141","Roy Scheider"
"142","Tony Leung Chiu Wai"
"143","Emma Stone"
"144","Harry Dean Stanton"
"145","Maria-Victoria Dragus"
"146","Jared Leto"
"147","Rémy Girard"
"148","Gunnar Björnstrand"
"149","Bill Murray"
"150","Chris Pratt"
"151","Laure Azan"
"152","Tim Robbins"
"153","Henry Fonda"
"154","Toshirô Mifune"
"155","Alexandre Rodrigues"
"156","Jorge Román"
"157","Larry J. Blake"
"158","Philippe Noiret"
"159","Gillian Anderson"
"160","Tyrone Power"
"161","Chuck Low"
"162","Audrey Tautou"
"163","Malcolm McDowell"
"164","Keir Dullea"
"165","Jack Lemmon"
"166","Katherine Waterston"
"167","Bette Davis"
"168","Fikret Ku?kan"
"169","Charles Aznavour"
"170","Bruce Willis"
"171","Steve McQueen"
"172","Alec Guinness"
"173","Claude Rains"
"174","Buster Keaton"
"175","Ray Milland"
"176","Anatoli Solonitsyne"
"177","Gorô Naya"
"178","Daisy Ridley"
"179","Myrna Loy"
"180","Robin Williams"
"181","Johnny Depp"
"182","Sam Neill"
"183","Uma Thurman"
"184","Jean Martin"
"185","Josette Day"
"186","Vincent Cassel"
"187","Ulrich Mühe"
"188","Chieko Baisho"
"189","Jean Reno"
"190","Brie Larson"
"191","River Phoenix"
"192","Simon Pegg"
"193","Stephen Chow"
"194","Daniel Brühl"
"195","Henry Thomas"
"196","Pierce Brosnan"
"197","Alexandre Antonov"
"256","Heath Ledger"
"257","Samuel L. Jackson"
"258","Sean Astin"
"259","Eli Wallach"
"260","Gary Sinise"
"261","Marion Cotillard"
"262","Dean R. Brooks"
"263","Laurence Fishburne"
"264","Jodie Foster"
"265","Donna Reed"
"266","Lauren Bacall"
"267","Tom Sizemore"
"268","Miyu Irino"
"269","Edward Furlong"
"270","Anne Hathaway"
"271","Michael Clarke Duncan"
"272","Janet Leigh"
"273","Ingrid Bergman"
"274","Omar Sy"
"275","Paulette Goddard"
"276","Karen Allen"
"277","Thomas Kretschmann"
"278","Linda Hamilton"
"279","Christopher Lloyd"
"280","J.K. Simmons"
"281","Joaquin Phoenix"
"282","Dimitri Rougeul"
"283","Carrie-Anne Moss"
"284","Frederic Forrest"
"285","Jack Oakie"
"286","George C. Scott"
"287","Virginie Ledoyen"
"288","Ayano Shiraishi"
"289","Ralph Meeker"
"290","Christoph Waltz"
"291","Shelley Duvall"
"292","Elissa Knight"
"293","Annette Bening"
"294","Gary Oldman"
"295","Yoo Ji-tae"
"296","Michael Biehn"
"297","Zaira Wasim"
"298","Erwin Leder"
"299","Dorothy Comingore"
"300","Kim Novak"
"301","Eva Marie Saint"
"302","Sophie Marceau"
"303","Tim Roth"
"304","Otto Wernicke"
"305","Darsheel Safary"
"306","Timothée Chalamet"
"307","Barbara Stanwyck"
"308","F. Murray Abraham"
"309","Kate Winslet"
"310","Mary Badham"
"311","Arliss Howard"
"312","Gene Kelly"
"313","Jacques Ferrière"
"314","Sharman Joshi"
"315","Robert Redford"
"316","Mélanie Laurent"
"317","Mark Rylance"
"318","Enzo Staiola"
"319","Jackie Coogan"
"320","José María Prada"
"321","Lee Van Cleef"
"322","James Cromwell"
"323","Alfred Abel"
"324","Jane Birkin"
"325","Kacey Mottet Klein"
"326","Katie Holmes"
"327","Tony Curtis"
"328","Gene Hackman"
"329","Bruno Ganz"
"330","Cathy Moriarty"
"331","Amir Farrokh Hashemian"
"332","Anna Karina"
"333","Sergi López"
"334","Noriko Hidaka"
"335","Nezu Jinpachi"
"336","Marlene Dietrich"
"337","Soledad Villamil"
"338","Pierre Niney"
"339","Karl Malden"
"340","Dave Franco"
"341","Nick Moran"
"342","Sharon Stone"
"343","Rutger Hauer"
"344","John Hurt"
"345","Hugo Weaving"
"346","Bibi Andersson"
"347","Jonah Hill"
"348","Ewen Bremner"
"349","Bee Vang"
"350","Clark Gable"
"351","Janet Gaynor"
"352","Christopher Walken"
"353","Frances McDormand"
"354","T.K. Carter"
"355","Javier Bardem"
"356","Julianne Moore"
"357","U?ur Yücel"
"358","Ellen DeGeneres"
"359","Chieko Higashiyama"
"360","Paul Dano"
"361","George Kennedy"
"362","Olga Mironova"
"363","Dame Judith Anderson"
"364","Lola Le Lann"
"365","Anupam Kher"
"366","Laurence Leboeuf"
"367","Eugene Silvain"
"368","Philip Seymour Hoffman"
"369","Mark Ruffalo"
"370","Marcia Gay Harden"
"371","Blanche Friderici"
"372","Terry Gilliam"
"373","Patrick Stewart"
"374","Oscar Martinez"
"375","Tom Hiddleston"
"376","Tom Berenger"
"377","Charles Vanel"
"378","William Holden"
"379","Stephen Boyd"
"380","Tony Revolori"
"381","Claire Maurier"
"382","Kim Sang-kyung"
"383","Michael Fassbender"
"384","Charlize Theron"
"385","Morgan Freeman"
"386","Alvaro Guerrero"
"387","Joan Allen"
"388","Mary Astor"
"389","Robin Wright"
"390","Julie Delpy"
"391","François Périer"
"392","Tatum O'Neal"
"393","Rohan Gotobed"
"394","Talia Shire"
"395","Simone Signoret"
"396","Edward Fox"
"397","Maggie Gyllenhaal"
"398","Eric Métayer"
"399","Marisa Berenson"
"400","Diane Keaton"
"401","Julia Stiles"
"402","Frank Morgan"
"403","Anouk Aimée"
"404","Robert Shaw"
"405","Andy Lau"
"406","Jessica Chastain"
"407","Nastassja Kinski"
"408","Devid Striesow"
"409","Maggie Cheung"
"410","Anushka Sharma"
"411","Ellen Burstyn"
"412","Lubna Azabal"
"413","Laura Linney"
"414","Andie MacDowell"
"415","Ed Harris"
"416","Bryce Dallas Howard"
"417","Patrick J. Exenat"
"418","Martin Balsam"
"419","Takashi Shimura"
"420","Leandro Firmino da Hora"
"421","Daniel Valenzuela"
"422","Charles Bronson"
"423","Harry Myers"
"424","Tom Skerritt"
"425","Charles Dayton"
"426","Jacques Perrin"
"427","Claire Danes"
"428","Philippe Beautier"
"429","Patrick Magee"
"430","Gary Lockwood"
"431","John Cleese"
"432","Shirley MacLaine"
"433","Sean Connery"
"434","Anne Baxter"
"435","Hümeyra"
"436","Tom Trouffier"
"437","Walter Huston"
"438","Bonnie Bedelia"
"439","Alida Valli"
"440","Mack Swain"
"441","Bengt Ekerot"
"442","Marion Mack"
"443","Grace Kelly"
"444","Haley Joel Osment"
"445","Tamara Ogorodnikova"
"446","Pete Postlethwaite"
"447","Ichirô Nagai"
"448","Zeffie Tilbury"
"449","John Boyega"
"450","Fredric March"
"451","Madeleine Stowe"
"452","John Cazale"
"453","Geoffrey Rush"
"454","Laura Dern"
"455","Sonny Chiba"
"456","Yacef Saadi"
"457","Jean Marais"
"458","Hubert Koundé"
"459","Sebastian Koch"
"460","Takuya Kimura"
"461","Masayuki Mori"
"462","Jacob Tremblay"
"463","Richard Dreyfuss"
"464","Martin Freeman"
"465","Wei Zhao"
"466","David Niven"
"467","Katrin Sass"
"468","Drew Barrymore"
"469","Matthew Broderick"
"470","Sean Bean"
"471","Vladimir Barsky"
"511","James Caan"
"512","Aaron Eckhart"
"513","Viggo Mortensen"
"514","Helena Bonham Carter"
"515","Carrie Fisher"
"516","Ellen Page"
"517","Joe Pesci"
"518","Eddie Marsan"
"519","Scott Glenn"
"520","Lionel Barrymore"
"521","Gabriel Byrne"
"522","Jacqueline Bisset"
"523","Edward Burns"
"524","Mari Natsuki"
"525","Elliott Gould"
"526","Michael Caine"
"527","David Morse"
"528","John Gavin"
"529","Paul Henreid"
"530","Anne Le Ny"
"531","Chester Conklin"
"532","Paul Freeman"
"533","Emilia Fox"
"534","Lea Thompson"
"535","Paul Reiser"
"536","Connie Nielsen"
"537","Joe Pantoliano"
"538","Robert Duvall"
"539","Sterling Hayden"
"540","Jasmine Trinca"
"541","Veronica Taylor"
"542","Adolphe Menjou"
"543","Danny Lloyd"
"544","Jeff Garlin"
"545","Thora Birch"
"546","Kang Hye-Jeong"
"547","Lance Henriksen"
"548","Girish Kulkarni"
"549","Herbert Grönemeyer"
"550","Agnes Moorehead"
"551","Barbara Bel Geddes"
"552","James Mason"
"553","Catherine McCormack"
"554","Michael Madsen"
"555","Gustaf Gründgens"
"556","Tisca Chopra"
"557","Michael Stuhlbarg"
"558","Omar Sharif"
"559","Edward G. Robinson"
"560","Elizabeth Berridge"
"561","Kirsten Dunst"
"562","Phillip Alford"
"563","Vincent D'Onofrio"
"564","Debbie Reynolds"
"565","Jacques Balutin"
"566","Madhavan"
"567","Benoît Magimel"
"568","Lianella Carell"
"569","Edna Purviance"
"570","Alfredo Mayo"
"571","Gian Maria Volonte"
"572","Rudolf Klein-Rogge"
"573","Sami Frey"
"574","Martin Compston"
"575","Juliane Köhler"
"576","Val Kilmer"
"577","Mir Farrokh"
"578","Monique Morelli"
"579","John Huston"
"580","Doug Jones"
"581","Shigesato Itoi"
"582","Masayuki Yui"
"583","Richard Widmark"
"584","Pablo Rago"
"585","Seth Rogen"
"586","Dexter Fletcher"
"587","Sean Young"
"588","Anne Bancroft"
"589","Stephen Rea"
