"annee_prodID","annee_prod"
"1","1921"
"2","1925"
"3","1926"
"4","1927"
"5","1928"
"6","1931"
"7","1934"
"8","1936"
"9","1939"
"10","1940"
"11","1941"
"12","1942"
"13","1944"
"14","1946"
"15","1948"
"16","1949"
"17","1950"
"18","1952"
"19","1953"
"20","1954"
"21","1957"
"22","1958"
"23","1959"
"24","1960"
"25","1961"
"26","1962"
"27","1963"
"28","1964"
"29","1965"
"30","1966"
"31","1967"
"32","1968"
"33","1969"
"34","1971"
"35","1972"
"36","1973"
"37","1974"
"38","1975"
"39","1976"
"40","1977"
"41","1978"
"42","1979"
"43","1980"
"44","1981"
"45","1982"
"46","1983"
"47","1984"
"48","1985"
"49","1986"
"50","1987"
"51","1988"
"52","1989"
"53","1990"
"54","1991"
"55","1992"
"56","1993"
"57","1994"
"58","1995"
"59","1996"
"60","1997"
"61","1998"
"62","1999"
"63","2000"
"64","2001"
"65","2002"
"66","2003"
"67","2004"
"68","2005"
"69","2006"
"70","2007"
"71","2008"
"72","2009"
"73","2010"
"74","2011"
"75","2012"
"76","2013"
"77","2014"
"78","2015"
"79","2016"
"80","2017"
"81","2018"
"82","2020"
