"annee_sortieID","annee_sortie"
"1",NULL
"2","0"
"3","1925"
"4","1926"
"5","1927"
"6","1928"
"7","1931"
"8","1932"
"9","1934"
"10","1936"
"11","1940"
"12","1945"
"13","1946"
"14","1947"
"15","1949"
"16","1950"
"17","1951"
"18","1952"
"19","1953"
"20","1955"
"21","1957"
"22","1958"
"23","1959"
"24","1960"
"25","1961"
"26","1963"
"27","1964"
"28","1967"
"29","1968"
"30","1969"
"31","1970"
"32","1972"
"33","1973"
"34","1974"
"35","1975"
"36","1976"
"37","1977"
"38","1979"
"39","1980"
"40","1981"
"41","1982"
"42","1983"
"43","1984"
"44","1985"
"45","1986"
"46","1987"
"47","1988"
"48","1989"
"49","1990"
"50","1991"
"51","1992"
"52","1993"
"53","1994"
"54","1995"
"55","1996"
"56","1997"
"57","1998"
"58","1999"
"59","2000"
"60","2001"
"61","2002"
"62","2003"
"63","2004"
"64","2005"
"65","2006"
"66","2007"
"67","2008"
"68","2009"
"69","2010"
"70","2011"
"71","2012"
"72","2013"
"73","2014"
"74","2015"
"75","2016"
"76","2017"
"77","2018"
