"date_sortieID","date_sortie"
"1",NULL
"2","0000-00-00"
"3","1925-10-09"
"4","1926-11-12"
"5","1927-02-06"
"6","1928-09-25"
"7","1928-10-11"
"8","1931-04-07"
"9","1932-04-08"
"10","1934-09-12"
"11","1936-09-24"
"12","1940-01-19"
"13","1945-04-01"
"14","1946-06-26"
"15","1946-07-31"
"16","1946-10-29"
"17","1947-05-13"
"18","1947-05-22"
"19","1947-12-10"
"20","1947-12-31"
"21","1949-08-26"
"22","1950-05-20"
"23","1951-04-18"
"24","1952-04-18"
"25","1953-04-22"
"26","1955-01-14"
"27","1955-01-29"
"28","1955-02-02"
"29","1955-04-25"
"30","1957-02-16"
"31","1957-09-04"
"32","1957-12-25"
"33","1957-12-26"
"34","1958-06-08"
"35","1959-01-30"
"36","1959-06-03"
"37","1959-09-09"
"38","1959-10-21"
"39","1960-11-02"
"40","1961-12-20"
"41","1963-03-15"
"42","1963-05-29"
"43","1963-09-11"
"44","1964-04-24"
"45","1967-04-19"
"46","1967-12-01"
"47","1968-03-08"
"48","1968-09-27"
"49","1969-08-27"
"50","1970-02-06"
"51","1972-03-15"
"52","1972-04-21"
"53","1973-12-12"
"54","1974-04-19"
"55","1974-12-18"
"56","1975-03-26"
"57","1975-06-18"
"58","1975-08-27"
"59","1975-12-03"
"60","1976-01-30"
"61","1976-03-01"
"62","1976-06-02"
"63","1976-09-24"
"64","1977-03-16"
"65","1977-03-23"
"66","1977-10-19"
"67","1979-03-07"
"68","1979-09-12"
"69","1979-09-26"
"70","1980-04-08"
"71","1980-08-20"
"72","1980-10-09"
"73","1980-10-16"
"74","1981-03-25"
"75","1981-09-16"
"76","1982-02-17"
"77","1982-09-15"
"78","1982-10-27"
"79","1982-12-01"
"80","1983-03-23"
"81","1983-10-19"
"82","1984-02-15"
"83","1984-05-23"
"84","1984-09-19"
"85","1984-10-31"
"86","1985-04-24"
"87","1985-10-30"
"88","1986-10-08"
"89","1987-02-25"
"90","1987-03-25"
"91","1987-10-21"
"92","1988-03-09"
"93","1988-09-21"
"94","1989-09-20"
"95","1989-10-18"
"96","1990-01-17"
"97","1990-09-12"
"98","1991-04-10"
"99","1991-10-16"
"100","1992-09-02"
"101","1992-09-12"
"102","1993-07-28"
"103","1993-10-20"
"104","1994-03-02"
"105","1994-03-09"
"106","1994-09-14"
"107","1994-10-05"
"108","1994-10-26"
"109","1994-11-23"
"110","1995-03-01"
"111","1995-03-29"
"112","1995-05-31"
"113","1995-07-19"
"114","1995-10-04"
"115","1995-12-20"
"116","1996-01-31"
"117","1996-02-21"
"118","1996-02-28"
"119","1996-03-13"
"120","1996-03-27"
"121","1996-06-19"
"122","1996-09-04"
"123","1996-11-13"
"124","1997-10-08"
"125","1998-03-04"
"126","1998-04-22"
"127","1998-05-27"
"128","1998-09-30"
"129","1998-10-28"
"130","1999-03-03"
"131","1999-06-23"
"132","1999-11-10"
"133","2000-01-05"
"134","2000-01-12"
"135","2000-02-02"
"136","2000-03-01"
"137","2000-04-05"
"138","2000-06-20"
"139","2000-10-11"
"140","2000-11-01"
"141","2000-11-08"
"142","2000-11-15"
"143","2001-03-21"
"144","2001-04-25"
"145","2001-12-19"
"146","2002-01-30"
"147","2002-02-13"
"148","2002-03-20"
"149","2002-04-10"
"150","2002-08-21"
"151","2002-08-28"
"152","2002-09-25"
"153","2002-11-20"
"154","2002-12-18"
"155","2003-02-12"
"156","2003-03-12"
"157","2003-08-06"
"158","2003-08-13"
"159","2003-09-10"
"160","2003-11-26"
"161","2003-12-17"
"162","2004-06-23"
"163","2004-09-01"
"164","2004-09-29"
"165","2004-10-06"
"166","2005-01-05"
"167","2005-01-12"
"168","2005-03-23"
"169","2005-06-15"
"170","2006-04-19"
"171","2006-05-03"
"172","2006-08-23"
"173","2006-11-01"
"174","2006-11-15"
"175","2006-11-29"
"176","2007-01-31"
"177","2007-07-11"
"178","2007-07-18"
"179","2007-09-12"
"180","2008-01-09"
"181","2008-01-23"
"182","2008-02-27"
"183","2008-07-30"
"184","2008-08-13"
"185","2009-02-25"
"186","2009-07-29"
"187","2009-08-19"
"188","2009-09-30"
"189","2009-12-24"
"190","2010-02-24"
"191","2010-05-05"
"192","2010-06-09"
"193","2010-07-14"
"194","2010-07-21"
"195","2011-01-12"
"196","2011-07-13"
"197","2011-09-14"
"198","2011-10-26"
"199","2011-11-02"
"200","2012-04-18"
"201","2012-07-25"
"202","2013-01-16"
"203","2013-07-03"
"204","2013-07-10"
"205","2013-09-25"
"206","2013-10-09"
"207","2013-10-16"
"208","2013-12-25"
"209","2014-01-22"
"210","2014-02-26"
"211","2014-10-08"
"212","2014-11-05"
"213","2014-12-24"
"214","2015-01-14"
"215","2015-03-11"
"216","2015-05-14"
"217","2015-06-17"
"218","2015-12-16"
"219","2016-01-27"
"220","2016-03-09"
"221","2016-04-06"
"222","2017-01-25"
"223","2017-02-08"
"224","2017-03-01"
"225","2017-07-05"
"226","2017-07-19"
"227","2017-08-09"
"228","2017-10-04"
"229","2017-10-25"
"230","2018-01-24"
"231","2018-01-31"
"232","2018-02-14"
"233","2018-02-28"
"234","2018-03-07"
"235","2018-03-21"
"236","2018-04-04"
"237","2018-04-11"
"238","2018-04-25"
"239","2018-06-06"
"240","2018-08-08"
