"filmID","id_allocine","titre_fr","titre_VO","synopsis","poster"
"1","1628","Le Parrain","The Godfather","En 1945, à New York, les Corleone sont une des cinq familles de la mafia. Don Vito Corleone marie sa fille à un bookmaker. Sollozzo, parrain de la famille Tattaglia, propose à Don Vito une association dans le trafic de drogue...","http://fr.web.img4.acsta.net/medias/nmedia/18/35/57/73/18660716.jpg"
"2","115362","The Dark Knight, Le Chevalier Noir","The Dark Knight","Batman entreprend de démanteler les dernières organisations criminelles de Gotham. Mais il se heurte bientôt à un nouveau génie du crime qui répand la terreur et le chaos dans la ville : le Joker...","http://fr.web.img2.acsta.net/medias/nmedia/18/63/97/89/18949761.jpg"
"3","9393","La Liste de Schindler","Schindler's List","Evocation des années de guerre d'Oskar Schindler, industriel autrichien rentré à Cracovie en 1939 avec les troupes allemandes. Il va, tout au long de la guerre, protéger des juifs en les faisant travailler dans sa fabrique.","http://images.allocine.fr/medias/nmedia/18/66/03/76/18979736.jpg"
"4","10126","Pulp Fiction","Pulp Fiction","L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.","http://fr.web.img4.acsta.net/medias/nmedia/18/36/02/52/18846059.jpg"
"5","39187","Le Seigneur des anneaux : le retour du roi","The Lord of the Rings: The Return of the King","Tandis que les ténèbres se répandent sur la Terre du Milieu, Aragorn se révèle être l'héritier caché des rois antiques. Quant à Frodon, toujours tenté par l'Anneau, il voyage à travers les contrées ennemies, se reposant sur Sam et Gollum...","http://fr.web.img3.acsta.net/medias/nmedia/18/35/14/33/18366630.jpg"
"6","19395","Le Bon, la brute et le truand","Il Buono, il brutto, il cattivo","Pendant la Guerre de Sécession, Tuco, Joe et Setenza, trois hommes préférant s'intéresser à leur profit personnel, se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Chacun a besoin de l'autre...","http://fr.web.img2.acsta.net/pictures/14/09/23/10/28/237103.jpg"
"7","21189","Fight Club","Fight Club","Le narrateur, vit seul, travaille seul, dort seul, comme beaucoup d'autres personnes seules qui connaissent la misère morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin dirigé par Tyler Durden, anarchiste entre gourou et philosophe.","http://fr.web.img6.acsta.net/pictures/17/04/27/09/53/033024.jpg"
"8","10568","Forrest Gump","Forrest Gump","Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump.","http://images.allocine.fr/pictures/15/10/13/15/12/514297.jpg"
"9","25802","Star Wars : Episode V - L'Empire contre-attaque","Star Wars: Episode V - The Empire Strikes Back","Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales...","http://images.allocine.fr/medias/nmedia/00/02/44/28/empire.jpg"
"10","143692","Inception","Inception","Au lieu de subtiliser un rêve, un voleur expérimenté et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait ...","http://fr.web.img2.acsta.net/medias/nmedia/18/72/34/14/19476654.jpg"
"11","39186","Le Seigneur des anneaux : les deux tours","The Lord of the Rings: The Two Towers","Frodon Sacquet, le Hobbit, doit braver de terribles dangers pour tenter de détruire l'Anneau Unique, convoité par Sauron, le Seigneur des ténèbres. De leur côté, Gimli, Legolas et Aragorn doivent sauver Pippin et Merry, capturés par les Orques...","http://fr.web.img1.acsta.net/medias/nmedia/00/02/54/95/affiche2.jpg"
