"realisateurID","realisateur"
"1",NULL
"2","Aamir Khan"
"3","Adam Elliot"
"4","Akira Kurosawa"
"5","Alan Mak, Wai Keung Lau"
"6","Alejandro González Iñárritu"
"7","Alfred Hitchcock"
"8","Andreï Tarkovski"
"9","Andrew Stanton"
"10","Andrew Stanton, Lee Unkrich"
"11","Anna Karina"
"12","Barbara Albert"
"13","Ben Stiller"
"14","Billy Wilder"
"15","Bryan Singer"
"16","Ça?an Irmak"
"17","Carl Theodor Dreyer"
"18","Carlos Saura"
"19","Carol Reed"
"20","Charles Chaplin"
"21","Christopher Nolan"
"22","Clint Eastwood"
"23","Clyde Bruckman, Buster Keaton"
"24","Curtis Hanson"
"25","Damián Szifron"
"26","Damien Chazelle"
"27","Danny Boyle"
"28","Darren Aronofsky"
"29","David Fincher"
"30","David Lean"
"31","David Lynch"
"32","David Yates"
"33","Denis Villeneuve"
"34","Edgar Wright"
"35","Elem Klimov"
"36","Elia Kazan"
"37","Emmanuel Mouret"
"38","Eric Toledano, Olivier Nakache"
"39","Federico Fellini"
"40","Fernando Meirelles"
"41","Florian Henckel von Donnersmarck"
"42","Francis Ford Coppola"
"43","François Leterrier"
"44","François Truffaut"
"45","Frank Capra"
"46","Frank Darabont"
"47","Friedrich Wilhelm Murnau, William Fox (II)"
"48","Fritz Lang"
"49","Gavin O'Connor"
"50","George Lucas"
"51","George Miller"
"52","George Roy Hill"
"53","Gillo Pontecorvo"
"54","Giuseppe Tornatore"
"55","Gore Verbinski"
"56","Guillermo del Toro"
"57","Gus Van Sant"
"58","Guy Ritchie"
"59","Harold Ramis"
"60","Hayao Miyazaki"
"61","Hayao Miyazaki, Tomoko Kida"
"62","Henri-Georges Clouzot"
"63","Ingmar Bergman"
"64","Irvin Kershner"
"65","Isao Takahata"
"66","J.J. Abrams"
"67","Jack Lee Thompson"
"68","James Cameron"
"69","James Franco"
"70","James Mangold"
"71","James McTeigue"
"72","Jean Cocteau"
"73","Jean-Pierre Jeunet"
"74","Jérémie Guez"
"75","Jim Sheridan"
"76","Joel Coen, Ethan Coen"
"77","John Carpenter"
"78","John Ford"
"79","John G. Avildsen"
"80","John Huston"
"81","John Lasseter"
"82","John McTiernan"
"83","John Sturges"
"84","Jonathan Demme"
"85","Joon-Ho Bong"
"86","José Padilha"
"87","Joseph L. Mankiewicz"
"88","Juan Antonio Bayona"
"89","Juan Carlos Fresnadillo"
"90","Juan José Campanella"
"91","Lana Wachowski, Lilly Wachowski"
"92","Lasse Hallström"
"93","Lee Unkrich"
"94","Lenny Abrahamson"
"95","Luc Besson"
"96","Luca Guadagnino"
"97","M. Night Shyamalan"
"98","Majid Majidi"
"99","Marc Fafard"
"100","Martin Campbell"
"101","Martin Scorsese"
"102","Mathieu Kassovitz"
"103","Mel Gibson"
"104","Michael Cimino"
"105","Michael Curtiz"
"106","Michael Mann"
"107","Michel Gondry"
"108","Milos Forman"
"109","Müret Isitmez"
"110","Nitesh Tiwari"
"111","Oliver Hirschbiegel"
"112","Oliver Stone"
"113","Orson Welles"
"114","Park Chan-Wook"
"115","Patrick J. Exenat, Daouidar Saidali"
"116","Paul Greengrass"
"117","Paul Thomas Anderson"
"118","Pete Docter"
"119","Pete Docter, Bob Peterson"
"120","Pete Docter, David Silverman, Lee Unkrich"
"121","Peter Bogdanovich"
"122","Peter Jackson"
"123","Peter Weir"
"124","Quentin Tarantino"
"125","Rajkumar Hirani"
"126","Rakeysh Omprakash Mehra, Rakesh Mehra"
"127","Richard Attenborough"
"128","Richard Kelly"
"129","Richard Linklater"
"130","Richard Marquand"
"131","Ridley Scott"
"132","Rob Reiner"
"133","Robert Mulligan"
"134","Robert Zemeckis"
"135","Roger Allers, Rob Minkoff"
"136","Roman Polanski"
"137","Ron Howard"
"138","Sam Mendes"
"139","Santiago Otheguy"
"140","Sean Penn"
"141","Sergio Leone"
"142","Sergueï Mikhailovich Eisenstein, Grigori Aleksandrov"
"143","Sidney Lumet"
"144","Stanley Donen, Gene Kelly"
"145","Stanley Kramer"
"146","Stanley Kubrick"
"147","Stephen Chow"
"148","Steve McQueen (II)"
"149","Steven Spielberg"
"150","Stuart Rosenberg"
"151","Taika Waititi"
"152","Tate Taylor"
"153","Terry Gilliam"
"154","Terry Jones"
"155","Terry Jones, Terry Gilliam"
"156","Tom McCarthy"
"157","Tony Kaye"
"158","Ursula Meier"
"159","Victor Fleming"
"160","Vittorio De Sica"
"161","Wes Anderson"
"162","William Wyler"
"163","Wim Wenders"
"164","Wolfgang Becker (II)"
"165","Wolfgang Petersen"
"166","Wong Kar-Wai"
"167","Woody Allen"
"168","Yasujirô Ozu"
"169","Yavuz Turgul"
"170","Yves Boisset"
