"id","acteur","filmID"
"1","Marlon Brando","1"
"2","Marlon Brando","103"
"3","Christian Bale","2"
"4","Christian Bale","49"
"5","Christian Bale","88"
"6","Liam Neeson","3"
"7","John Travolta","4"
"8","Elijah Wood","5"
"9","Elijah Wood","11"
"10","Elijah Wood","197"
"11","Clint Eastwood","6"
"12","Clint Eastwood","81"
"13","Clint Eastwood","90"
"14","Clint Eastwood","114"
"15","Clint Eastwood","154"
"16","Brad Pitt","7"
"17","Brad Pitt","75"
"18","Brad Pitt","255"
"19","Tom Hanks","8"
"20","Tom Hanks","20"
"21","Tom Hanks","24"
"22","Mark Hamill","9"
"23","Mark Hamill","57"
"24","Mark Hamill","199"
"25","Leonardo DiCaprio","10"
"26","Leonardo DiCaprio","111"
"27","Leonardo DiCaprio","136"
"28","Leonardo DiCaprio","204"
"29","Leonardo DiCaprio","242"
"30","Michael Berryman","12"
"31","Ray Liotta","13"
"32","Keanu Reeves","14"
"33","Rosamund Pike","15"
"34","Anthony Hopkins","16"
"35","Anthony Hopkins","108"
"36","James Stewart","17"
"37","James Stewart","55"
"38","James Stewart","243"
"39","Chazz Palminteri","18"
"40","Albert Finney","19"
"41","Rumi Hiiragi","21"
"42","Edward Norton","22"
"43","Matthew McConaughey","23"
"44","Anthony Perkins","25"
"45","Humphrey Bogart","26"
"46","Humphrey Bogart","160"
"47","Humphrey Bogart","221"
"48","François Cluzet","27"
"49","Charles Chaplin","28"
"50","Charles Chaplin","39"
"51","Charles Chaplin","78"
"52","Charles Chaplin","203"
"53","Charles Chaplin","225"
"54","Harrison Ford","29"
"55","Harrison Ford","107"
"56","Harrison Ford","217"
"57","Adrien Brody","30"
"58","Arnold Schwarzenegger","31"
"59","Arnold Schwarzenegger","174"
"60","Michael J. Fox","32"
"61","Miles Teller","33"
"62","Russell Crowe","34"
"63","Russell Crowe","192"
"64","Hugh Jackman","35"
"65","Hugh Jackman","140"
"66","Hugh Jackman","165"
"67","Emmanuel Curtil","36"
"68","Guy Pearce","37"
"69","Martin Sheen","38"
"70","Peter Sellers","40"
"71","JoeyStarr","41"
"72","J. Robert Spencer","42"
"73","Kirk Douglas","43"
"74","Jamie Foxx","44"
"75","Jack Nicholson","45"
"76","Jack Nicholson","96"
"77","Ben Burtt","46"
