"id","annee","id_allocine"
"1","1972","1628"
"2","2008","115362"
"3","1993","9393"
"4","1994","10126"
"5","2003","39187"
"6","1966","19395"
"7","1999","21189"
"8","1994","10568"
"9","1980","25802"
"10","2010","143692"
"11","2002","39186"
"12","1975","2072"
"13","1990","5969"
"14","1999","19776"
"15","2018","245046"
"16","1991","6641"
"17","1946","5762"
"18","1995","12837"
"19","1974","1453"
"20","1998","18598"
"21","2001","37485"
"22","1998","12475"
"23","2014","114782"
"24","1999","22779"
"25","1960","1603"
"26","1942","2645"
"27","2011","182745"
"28","1936","1832"
"29","1981","121"
"30","2002","28359"
"31","1991","7124"
"32","1985","448"
"33","2014","225953"
"34","2000","24944"
"35","2006","108998"
"36","1994","10862"
"37","2000","25744"
"38","1979","27061"
"39","1940","2253"
"40","1964","680"
"41","2013","213698"
"42","1988","10251"
"43","1957","4499"
"44","2012","190918"
"45","1980","863"
"46","2008","123734"
"47","2017","197686"
"48","1999","21946"
"49","2012","132874"
"50","2003","54137"
"51","1986","2167"
"52","2016","251273"
"53","1981","4616"
"54","1941","857"
"55","1958","980"
"56","1959","531"
"57","1983","25803"
"58","1995","10080"
"59","1992","7524"
"60","1931","418"
"61","2007","147116"
"62","2017","252439"
"63","1962","4749"
"64","1944","105"
"65","1984","67"
"66","2004","40191"
"67","1976","308"
"68","1962","42792"
"69","1987","2749"
"70","1952","5120"
"71","1995","14264"
"72","2009","176535"
"73","1973","33353"
"74","2010","126123"
"75","2009","60208"
"76","2017","240850"
"77","1948","2570"
"78","1921","2255"
"79","1997","363"
"80","1965","3243"
"81","1965","929"
"82","1997","12032"
"83","2018","227932"
"84","1927","240"
"85","2015","231088"
"86","1984","33286"
"87","2012","190774"
"88","2005","51013"
"89","1959","26186"
"90","1992","7663"
"91","2004","58349"
"92","1980","950"
"93","1995","14046"
"94","1999","14824"
"95","1973","41569"
"96","1974","2604"
"97","2006","57689"
"98","1988","14790"
"99","1985","45970"
"100","1961","7545"
"101","2009","171223"
"102","2015","196960"
"103","1954","1627"
"104","2017","227079"
"105","1998","19298"
"106","1995","14178"
"107","1982","1975"
"108","1980","180"
"109","2006","58911"
"110","1957","4032"
"111","2013","127524"
"112","2011","138673"
"113","1996","14788"
"114","2008","135063"
"115","1939","27782"
"116","1927","115"
"117","1978","29714"
"118","1996","14928"
"119","1982","1048"
"120","2007","110096"
"121","1998","16463"
"122","1996","17646"
"123","2003","29057"
"124","1953","986"
"125","2007","109788"
"126","1967","40646"
"127","1985","2688"
"128","1940","3984"
"129","2017","259498"
"130","2005","109576"
"131","2013","222528"
"132","2016","229490"
"133","1928","264"
"134","2009","139621"
"135","2014","217882"
"136","2010","132039"
"137","2007","110101"
"138","1934","1557"
"139","1979","249"
"140","2017","225116"
"141","2014","221270"
"142","2017","223252"
"143","1986","29700"
"144","1952","2513"
"145","1976","46077"
"146","2020","181037"
"147","2013","195370"
"148","1959","1532"
"149","2013","207825"
"150","1959","62178"
"151","2003","55483"
"152","2013","196885"
"153","2015","125054"
"154","2004","56714"
"155","2015","222271"
"156","1979","702"
"157","1969","559"
"158","2000","26066"
"159","2009","128959"
"160","1941","1809"
"161","1987","3326"
"162","1995","38493"
"163","1957","4479"
"164","1973","71577"
"165","2013","180887"
"166","2011","134925"
"167","1976","28251"
"168","1954","3732"
"169","1982","2596"
"170","2001","34193"
"171","2001","26862"
"172","1975","135"
"173","1977","88"
"174","1984","309"
"175","2007","59809"
"176","1939","29738"
"177","1963","337"
"178","1975","12789"
"179","2002","51123"
"180","2011","176673"
"181","1984","263"
"182","2017","243823"
"183","2000","26389"
"184","2006","126071"
"185","2014","234256"
"186","2000","26602"
"187","2010","179349"
"188","1966","4397"
"189","1998","18671"
"190","1958","299"
"191","1993","8066"
"192","2001","28384"
"193","2018","228558"
"194","2017","261469"
"195","1994","11736"
"196","1957","4063"
"197","2001","27070"
"198","1954","297"
"199","1977","25801"
"200","2002","45264"
"201","2007","127650"
"202","1968","2021"
"203","1931","2256"
"204","2006","55983"
"205","1979","62"
"206","1950","836"
"207","1988","4989"
"208","1997","73176"
"209","1957","4884"
"210","1984","1941"
"211","2001","27063"
"212","1971","260"
"213","1968","27442"
"214","1975","248"
"215","1960","2252"
"216","2018","253743"
"217","1989","5032"
"218","1950","1596"
"219","2005","111471"
"220","2009","130368"
"221","1948","7158"
"222","1988","4019"
"223","1949","1826"
"224","1963","38827"
"225","1925","2260"
"226","1957","1602"
"227","1957","548"
"228","1939","2640"
"229","1926","108016"
"230","1954","700"
"231","1999","22092"
"232","1966","88396"
"233","1993","9430"
"234","1984","40132"
"235","1940","1268"
"236","2015","215097"
"237","1946","25308"
"238","1995","29757"
"239","1989","5280"
"240","1975","1621"
"241","2003","46117"
"242","2002","35973"
"243","1954","983"
"244","1993","8488"
"245","2003","28541"
"246","1966","89957"
"247","1946","772"
"248","1995","12551"
"249","2006","111643"
"250","2004","50409"
"251","1974","28201"
"252","1994","9684"
"253","1950","773"
"254","2015","228263"
"255","1995","13892"
"256","2000","26251"
"257","1986","2495"
"258","2007","108917"
"259","2001","43986"
"260","1961","37412"
"261","2003","52715"
"262","1982","29718"
"263","1996","15829"
"264","1995","13665"
"265","1925","89979"
