"id","date_sortieID","id_allocine"
"1","51","1628"
"2","184","115362"
"3","104","9393"
"4","108","10126"
"5","161","39187"
"6","47","19395"
"7","132","21189"
"8","107","10568"
"9","71","25802"
"10","194","143692"
"11","154","39186"
"12","61","2072"
"13","97","5969"
"14","131","19776"
"15","238","245046"
"16","98","6641"
"17","19","5762"
"18","113","12837"
"19","235","1453"
"20","128","18598"
"21","149","37485"
"22","130","12475"
"23","212","114782"
"24","136","22779"
"25","39","1603"
"26","17","2645"
"27","199","182745"
"28","11","1832"
"29","75","121"
"30","152","28359"
"31","99","7124"
"32","87","448"
"33","213","225953"
"34","138","24944"
"35","174","108998"
"36","109","10862"
"37","139","25744"
"38","69","27061"
"39","13","2253"
"40","44","680"
"41","209","213698"
"42","121","10251"
"43","56","4499"
"44","202","190918"
"45","73","863"
"46","183","123734"
"47","228","197686"
"48","135","21946"
"49","201","132874"
"50","164","54137"
"51","88","2167"
"52","76","4616"
"53","148","857"
"54","35","980"
"55","38","531"
"56","81","25803"
"57","114","10080"
"58","100","7524"
"59","9","418"
"60","233","252439"
"61","41","4749"
"62","231","105"
"63","85","67"
"64","165","40191"
"65","62","308"
"66","223","42792"
"67","91","2749"
"68","2","5120"
"69","120","14264"
"70","189","176535"
"71","54","33353"
"72","193","126123"
"73","187","60208"
"74","226","240850"
"75","21","2570"
"76","2","2255"
"77","125","363"
"78","206","3243"
"79","2","929"
"80","124","12032"
"81","240","227932"
"82","5","240"
"83","215","231088"
"84","82","33286"
"85","200","190774"
"86","169","51013"
"87","37","26186"
"88","101","7663"
"89","166","58349"
"90","74","950"
"91","117","14046"
"92","137","14824"
"93","232","41569"
"94","55","2604"
"95","173","57689"
"96","151","14790"
"97","221","45970"
"98","40","7545"
"99","191","171223"
"100","217","196960"
"101","26","1627"
"102","234","227079"
"103","129","19298"
"104","119","14178"
"105","77","1975"
"106","72","180"
"107","170","58911"
"108","33","4032"
"109","208","127524"
"110","197","138673"
"111","121","14788"
"112","185","135063"
"113","22","27782"
"114","7","115"
"115","67","29714"
"116","122","14928"
"117","78","1048"
"118","181","110096"
"119","126","16463"
"120","127","17646"
"121","160","29057"
"122","203","986"
"123","182","109788"
"124","46","40646"
"125","18","3984"
"126","236","259498"
"127","207","222528"
"128","222","229490"
"129","6","264"
"130","188","139621"
"131","211","217882"
"132","190","132039"
"133","180","110101"
"134","10","1557"
"135","70","249"
"136","224","225116"
"137","214","221270"
"138","229","223252"
"139","90","29700"
"140","25","2513"
"141","64","46077"
"142","205","195370"
"143","2","1532"
"144","210","207825"
"145","36","62178"
"146","162","55483"
"147","209","196885"
"148","216","125054"
"149","168","56714"
"150","219","222271"
"151","225","702"
"152","50","559"
"153","140","26066"
"154","192","128959"
"155","15","1809"
"156","92","3326"
"157","111","38493"
"158","2","4479"
"159","53","71577"
"160","206","180887"
"161","196","134925"
"162","65","28251"
"163","27","3732"
"164","80","2596"
"165","146","34193"
"166","148","26862"
"167","63","135"
"168","230","88"
"169","86","309"
"170","179","59809"
"171","14","29738"
"172","42","337"
"173","57","12789"
"174","163","51123"
"175","198","176673"
"176","84","263"
"177","237","243823"
"178","141","26389"
"179","143","26602"
"180","195","179349"
"181","45","4397"
"182","129","18671"
"183","34","299"
"184","102","8066"
"185","147","28384"
"186","239","228558"
"187","234","261469"
"188","110","11736"
"189","31","4063"
"190","145","27070"
"191","204","297"
"192","66","25801"
"193","156","45264"
"194","177","127650"
"195","49","2021"
"196","8","2256"
"197","175","55983"
"198","68","62"
"199","23","836"
"200","94","4989"
"201","134","73176"
"202","157","4884"
"203","83","1941"
"204","144","27063"
"205","52","260"
"206","48","27442"
"207","59","248"
"208","2","2252"
"209","95","5032"
"210","2","1596"
"211","171","111471"
"212","186","130368"
"213","93","4019"
"214","2","1826"
"215","43","38827"
"216","3","2260"
"217","32","1602"
"218","30","548"
"219","12","2640"
"220","227","108016"
"221","28","700"
"222","133","22092"
"223","225","88396"
"224","105","9430"
"225","172","40132"
"226","20","1268"
"227","218","215097"
"228","153","25308"
"229","118","29757"
"230","96","5280"
"231","60","1621"
"232","158","46117"
"233","155","35973"
"234","29","983"
"235","103","8488"
"236","160","28541"
"237","16","772"
"238","112","12551"
"239","176","111643"
"240","167","50409"
"241","58","28201"
"242","106","9684"
"243","24","773"
"244","220","228263"
"245","116","13892"
"246","142","26251"
"247","89","2495"
"248","178","108917"
"249","150","43986"
"250","2","37412"
"251","159","52715"
"252","79","29718"
"253","123","15829"
"254","115","13665"
"255","4","89979"
