"id","date_sortie","id_allocine"
"1","1972-03-15","1628"
"2","2008-08-13","115362"
"3","1994-03-02","9393"
"4","1994-10-26","10126"
"5","2003-12-17","39187"
"6","1968-03-08","19395"
"7","1999-11-10","21189"
"8","1994-10-05","10568"
"9","1980-08-20","25802"
"10","2010-07-21","143692"
"11","2002-12-18","39186"
"12","1976-03-01","2072"
"13","1990-09-12","5969"
"14","1999-06-23","19776"
"15","2018-04-25","245046"
"16","1991-04-10","6641"
"17","1947-12-10","5762"
"18","1995-07-19","12837"
"19","2018-03-21","1453"
"20","1998-09-30","18598"
"21","2002-04-10","37485"
"22","1999-03-03","12475"
"23","2014-11-05","114782"
"24","2000-03-01","22779"
"25","1960-11-02","1603"
"26","1947-05-13","2645"
"27","2011-11-02","182745"
"28","1936-09-24","1832"
"29","1981-09-16","121"
"30","2002-09-25","28359"
"31","1991-10-16","7124"
"32","1985-10-30","448"
"33","2014-12-24","225953"
"34","2000-06-20","24944"
"35","2006-11-15","108998"
"36","1994-11-23","10862"
"37","2000-10-11","25744"
"38","1979-09-26","27061"
"39","1945-04-01","2253"
"40","1964-04-24","680"
"41","2014-01-22","213698"
"42","1996-06-19","10251"
"43","1975-03-26","4499"
"44","2013-01-16","190918"
"45","1980-10-16","863"
"46","2008-07-30","123734"
"47","2017-10-04","197686"
"48","2000-02-02","21946"
"49","2012-07-25","132874"
"50","2004-09-29","54137"
"51","1986-10-08","2167"
"52","1982-02-17","4616"
"53","2002-03-20","857"
"54","1959-01-30","980"
"55","1959-10-21","531"
"56","1983-10-19","25803"
"57","1995-10-04","10080"
"58","1992-09-02","7524"
"59","1932-04-08","418"
"60","2018-02-28","252439"
"61","1963-03-15","4749"
"62","2018-01-31","105"
"63","1984-10-31","67"
"64","2004-10-06","40191"
"65","1976-06-02","308"
"66","2017-02-08","42792"
"67","1987-10-21","2749"
"68","0000-00-00","5120"
"69","1996-03-27","14264"
"70","2009-12-24","176535"
"71","1974-04-19","33353"
"72","2010-07-14","126123"
"73","2009-08-19","60208"
"74","2017-07-19","240850"
"75","1949-08-26","2570"
"76","0000-00-00","2255"
"77","1998-03-04","363"
"78","2013-10-09","3243"
"79","0000-00-00","929"
"80","1997-10-08","12032"
"81","2018-08-08","227932"
"82","1927-02-06","240"
"83","2015-03-11","231088"
"84","1984-02-15","33286"
"85","2012-04-18","190774"
"86","2005-06-15","51013"
"87","1959-09-09","26186"
"88","1992-09-12","7663"
"89","2005-01-05","58349"
"90","1981-03-25","950"
"91","1996-02-21","14046"
"92","2000-04-05","14824"
"93","2018-02-14","41569"
"94","1974-12-18","2604"
"95","2006-11-01","57689"
"96","2002-08-28","14790"
"97","2016-04-06","45970"
"98","1961-12-20","7545"
"99","2010-05-05","171223"
"100","2015-06-17","196960"
"101","1955-01-14","1627"
"102","2018-03-07","227079"
"103","1998-10-28","19298"
"104","1996-03-13","14178"
"105","1982-09-15","1975"
"106","1980-10-09","180"
"107","2006-04-19","58911"
"108","1957-12-26","4032"
"109","2013-12-25","127524"
"110","2011-09-14","138673"
"111","1996-06-19","14788"
"112","2009-02-25","135063"
"113","1950-05-20","27782"
"114","1928-10-11","115"
"115","1979-03-07","29714"
"116","1996-09-04","14928"
"117","1982-10-27","1048"
"118","2008-01-23","110096"
"119","1998-04-22","16463"
"120","1998-05-27","17646"
"121","2003-11-26","29057"
"122","2013-07-03","986"
"123","2008-02-27","109788"
"124","1967-12-01","40646"
"125","1947-05-22","3984"
"126","2018-04-04","259498"
"127","2013-10-16","222528"
"128","2017-01-25","229490"
"129","1928-09-25","264"
"130","2009-09-30","139621"
"131","2014-10-08","217882"
"132","2010-02-24","132039"
"133","2008-01-09","110101"
"134","1934-09-12","1557"
"135","1980-04-08","249"
"136","2017-03-01","225116"
"137","2015-01-14","221270"
"138","2017-10-25","223252"
"139","1987-03-25","29700"
"140","1953-04-22","2513"
"141","1977-03-16","46077"
"142","2013-09-25","195370"
"143","0000-00-00","1532"
"144","2014-02-26","207825"
"145","1959-06-03","62178"
"146","2004-06-23","55483"
"147","2014-01-22","196885"
"148","2015-05-14","125054"
"149","2005-03-23","56714"
"150","2016-01-27","222271"
"151","2017-07-05","702"
"152","1970-02-06","559"
"153","2000-11-01","26066"
"154","2010-06-09","128959"
"155","1946-07-31","1809"
"156","1988-03-09","3326"
"157","1995-03-29","38493"
"158","0000-00-00","4479"
"159","1973-12-12","71577"
"160","2013-10-09","180887"
"161","2011-07-13","134925"
"162","1977-03-23","28251"
"163","1955-01-29","3732"
"164","1983-03-23","2596"
"165","2002-01-30","34193"
"166","2002-03-20","26862"
"167","1976-09-24","135"
"168","2018-01-24","88"
"169","1985-04-24","309"
"170","2007-09-12","59809"
"171","1946-06-26","29738"
"172","1963-05-29","337"
"173","1975-06-18","12789"
"174","2004-09-01","51123"
"175","2011-10-26","176673"
"176","1984-09-19","263"
"177","2018-04-11","243823"
"178","2000-11-08","26389"
"179","2001-03-21","26602"
"180","2011-01-12","179349"
"181","1967-04-19","4397"
"182","1998-10-28","18671"
"183","1958-06-08","299"
"184","1993-07-28","8066"
"185","2002-02-13","28384"
"186","2018-06-06","228558"
"187","2018-03-07","261469"
"188","1995-03-01","11736"
"189","1957-09-04","4063"
"190","2001-12-19","27070"
"191","2013-07-10","297"
"192","1977-10-19","25801"
"193","2003-03-12","45264"
"194","2007-07-11","127650"
"195","1969-08-27","2021"
"196","1931-04-07","2256"
"197","2006-11-29","55983"
"198","1979-09-12","62"
"199","1951-04-18","836"
"200","1989-09-20","4989"
"201","2000-01-12","73176"
"202","2003-08-06","4884"
"203","1984-05-23","1941"
"204","2001-04-25","27063"
"205","1972-04-21","260"
"206","1968-09-27","27442"
"207","1975-12-03","248"
"208","0000-00-00","2252"
"209","1989-10-18","5032"
"210","0000-00-00","1596"
"211","2006-05-03","111471"
"212","2009-07-29","130368"
"213","1988-09-21","4019"
"214","0000-00-00","1826"
"215","1963-09-11","38827"
"216","1925-10-09","2260"
"217","1957-12-25","1602"
"218","1957-02-16","548"
"219","1940-01-19","2640"
"220","2017-08-09","108016"
"221","1955-02-02","700"
"222","2000-01-05","22092"
"223","2017-07-05","88396"
"224","1994-03-09","9430"
"225","2006-08-23","40132"
"226","1947-12-31","1268"
"227","2015-12-16","215097"
"228","2002-11-20","25308"
"229","1996-02-28","29757"
"230","1990-01-17","5280"
"231","1976-01-30","1621"
"232","2003-08-13","46117"
"233","2003-02-12","35973"
"234","1955-04-25","983"
"235","1993-10-20","8488"
"236","2003-11-26","28541"
"237","1946-10-29","772"
"238","1995-05-31","12551"
"239","2007-01-31","111643"
"240","2005-01-12","50409"
"241","1975-08-27","28201"
"242","1994-09-14","9684"
"243","1952-04-18","773"
"244","2016-03-09","228263"
"245","1996-01-31","13892"
"246","2000-11-15","26251"
"247","1987-02-25","2495"
"248","2007-07-18","108917"
"249","2002-08-21","43986"
"250","0000-00-00","37412"
"251","2003-09-10","52715"
"252","1982-12-01","29718"
"253","1996-11-13","15829"
"254","1995-12-20","13665"
"255","1926-11-12","89979"
