"id","genre","id_allocine"
"1","Policier","1628"
"2","Action","115362"
"3","Historique","9393"
"4","Policier","10126"
"5","Fantastique","39187"
"6","Western","19395"
"7","Thriller","21189"
"8","Comédie dramatique","10568"
"9","Science fiction","25802"
"10","Science fiction","143692"
"11","Fantastique","39186"
"12","Drame","2072"
"13","Policier","5969"
"14","Action","19776"
"15","Thriller","245046"
"16","Thriller","6641"
"17","Comédie dramatique","5762"
"18","Policier","12837"
"19","Policier","1453"
"20","Guerre","18598"
"21","Animation","37485"
"22","Drame","12475"
"23","Science fiction","114782"
"24","Fantastique","22779"
"25","Thriller","1603"
"26","Romance","2645"
"27","Comédie","182745"
"28","Comédie","1832"
"29","Aventure","121"
"30","Drame","28359"
"31","Science fiction","7124"
"32","Science fiction","448"
"33","Drame","225953"
"34","Péplum","24944"
"35","Thriller","108998"
"36","Animation","10862"
"37","Thriller","25744"
"38","Guerre","27061"
"39","Comédie","2253"
"40","Comédie","680"
"41","Romance","213698"
"42","Animation","10251"
"43","Guerre","4499"
"44","Western","190918"
"45","Epouvante-horreur","863"
"46","Animation","123734"
"47","Science fiction","197686"
"48","Drame","21946"
"49","Action","132874"
"50","Thriller","54137"
"51","Action","2167"
"52","Drame","251273"
"53","Drame","4616"
"54","Drame","857"
"55","Thriller","980"
"56","Policier","531"
"57","Science fiction","25803"
"58","Historique","10080"
"59","Policier","7524"
"60","Policier","418"
"61","Drame","147116"
"62","Drame","252439"
"63","Aventure","4749"
"64","Thriller","105"
"65","Comédie dramatique","67"
"66","Comédie dramatique","40191"
"67","Drame","308"
"68","Drame","42792"
"69","Guerre","2749"
"70","Comédie musicale","5120"
"71","Animation","14264"
"72","Comédie","176535"
"73","Comédie","33353"
"74","Animation","126123"
"75","Guerre","60208"
"76","Guerre","240850"
"77","Drame","2570"
"78","Comédie","2255"
"79","Drame","363"
"80","Drame","3243"
"81","Western","929"
"82","Policier","12032"
"83","Action","227932"
"84","Science fiction","240"
"85","Documentaire","231088"
"86","Comédie","33286"
"87","Drame","190774"
"88","Action","51013"
"89","Comédie","26186"
"90","Western","7663"
"91","Drame","58349"
"92","Drame","950"
"93","Policier","14046"
"94","Comédie dramatique","14824"
"95","Drame","41569"
"96","Policier","2604"
"97","Fantastique","57689"
"98","Animation","14790"
"99","Drame","45970"
"100","Drame","7545"
"101","Drame","171223"
"102","Animation","196960"
"103","Drame","1627"
"104","Drame","227079"
"105","Policier","19298"
"106","Drame","14178"
"107","Science fiction","1975"
"108","Drame","180"
"109","Science fiction","58911"
"110","Drame","4032"
"111","Biopic","127524"
"112","Action","138673"
"113","Drame","14788"
"114","Drame","135063"
"115","Drame","27782"
"116","Drame","115"
"117","Drame","29714"
"118","Policier","14928"
"119","Epouvante-horreur","1048"
"120","Thriller","110096"
"121","Comédie","16463"
"122","Drame","17646"
"123","Animation","29057"
"124","Drame","986"
"125","Drame","109788"
"126","Drame","40646"
"127","Guerre","2688"
"128","Drame","3984"
"129","Drame","259498"
"130","Aventure","109576"
"131","Fantastique","222528"
"132","Comédie musicale","229490"
"133","Drame","264"
"134","Animation","139621"
"135","Thriller","217882"
"136","Thriller","132039"
"137","Aventure","110101"
"138","Comédie","1557"
"139","Comédie","249"
"140","Action","225116"
"141","Thriller","221270"
"142","Action","223252"
"143","Guerre","29700"
"144","Aventure","2513"
"145","Drame","46077"
"146","Drame","181037"
"147","Drame","195370"
"148","Péplum","1532"
"149","Comédie","207825"
"150","Drame","62178"
"151","Policier","55483"
"152","Drame","196885"
"153","Action","125054"
"154","Drame","56714"
"155","Drame","222271"
"156","Fantastique","702"
"157","Western","559"
"158","Drame","26066"
"159","Drame","128959"
"160","Drame","1809"
"161","Aventure","3326"
"162","Romance","38493"
"163","Drame","4479"
"164","Comédie dramatique","71577"
"165","Thriller","180887"
"166","Fantastique","134925"
"167","Action","28251"
"168","Drame","3732"
"169","Historique","2596"
"170","Drame","34193"
"171","Animation","26862"
"172","Historique","135"
"173","Comédie dramatique","88"
"174","Science fiction","309"
"175","Action","59809"
"176","Aventure","29738"
"177","Drame","337"
"178","Epouvante-horreur","12789"
"179","Policier","51123"
"180","Drame","176673"
"181","Drame","263"
"182","Drame","243823"
"183","Romance","26389"
"184","Documentaire","126071"
"185","Comédie","234256"
"186","Drame","26602"
"187","Drame","179349"
"188","Drame","4397"
"189","Drame","18671"
"190","Policier","299"
"191","Comédie","8066"
"192","Drame","28384"
"193","Aventure","228558"
"194","Drame","261469"
"195","Drame","11736"
"196","Drame","4063"
"197","Fantastique","27070"
"198","Aventure","297"
"199","Science fiction","25801"
"200","Drame","45264"
"201","Drame","127650"
"202","Western","2021"
"203","Comédie dramatique","2256"
"204","Policier","55983"
"205","Science fiction","62"
"206","Drame","836"
"207","Comédie dramatique","4989"
"208","Drame","73176"
"209","Policier","4884"
"210","Drame","1941"
"211","Comédie","27063"
"212","Science fiction","260"
"213","Science fiction","27442"
"214","Comédie","248"
"215","Comédie dramatique","2252"
"216","Drame","253743"
"217","Aventure","5032"
"218","Drame","1596"
"219","Comédie dramatique","111471"
"220","Animation","130368"
"221","Drame","7158"
"222","Action","4019"
"223","Thriller","1826"
"224","Guerre","38827"
"225","Comédie","2260"
"226","Aventure","1602"
"227","Drame","548"
"228","Comédie","2640"
"229","Action","108016"
"230","Thriller","700"
"231","Thriller","22092"
"232","Drame","88396"
"233","Drame","9430"
"234","Animation","40132"
"235","Drame","1268"
"236","Aventure","215097"
"237","Romance","25308"
"238","Drame","29757"
"239","Comédie dramatique","5280"
"240","Policier","1621"
"241","Action","46117"
"242","Comédie","35973"
"243","Policier","983"
"244","Aventure","8488"
"245","Action","28541"
"246","Guerre","89957"
"247","Fantastique","772"
"248","Drame","12551"
"249","Drame","111643"
"250","Animation","50409"
"251","Policier","28201"
"252","Policier","9684"
"253","Drame","773"
"254","Drame","228263"
"255","Policier","13892"
"256","Policier","26251"
"257","Aventure","2495"
"258","Comédie","108917"
"259","Action","43986"
"260","Action","37412"
"261","Comédie dramatique","52715"
"262","Science fiction","29718"
"263","Comédie","15829"
"264","Espionnage","13665"
"265","Drame","89979"
