"id","note_allocine_presseID","id_allocine"
"1","26","1628"
"2","20","115362"
"3","22","9393"
"4","22","10126"
"5","18","39187"
"6","21","19395"
"7","8","21189"
"8","7","10568"
"9","30","25802"
"10","21","143692"
"11","20","39186"
"12","30","2072"
"13","30","5969"
"14","14","19776"
"15","28","6641"
"16","30","5762"
"17","26","12837"
"18","10","18598"
"19","28","37485"
"20","9","12475"
"21","18","114782"
"22","9","22779"
"23","25","1603"
"24","24","2645"
"25","17","182745"
"26","26","1832"
"27","26","121"
"28","21","28359"
"29","18","7124"
"30","16","448"
"31","21","225953"
"32","23","24944"
"33","12","108998"
"34","14","10862"
"35","17","25744"
"36","28","27061"
"37","30","2253"
"38","26","680"
"39","5","213698"
"40","20","10251"
"41","26","4499"
"42","25","190918"
"43","20","863"
"44","26","123734"
"45","16","197686"
"46","19","21946"
"47","16","132874"
"48","20","54137"
"49","9","4616"
"50","28","857"
"51","18","980"
"52","26","531"
"53","10","25803"
"54","7","10080"
"55","25","7524"
"56","30","418"
"57","24","4749"
"58","26","105"
"59","25","67"
"60","20","40191"
"61","28","308"
"62","16","42792"
"63","28","2749"
"64","28","5120"
"65","20","14264"
"66","16","33353"
"67","27","126123"
"68","17","60208"
"69","21","240850"
"70","28","2570"
"71","20","2255"
"72","12","363"
"73","17","929"
"74","28","12032"
"75","28","240"
"76","8","231088"
"77","16","190774"
"78","17","51013"
"79","12","26186"
"80","28","7663"
"81","15","58349"
"82","30","950"
"83","12","14046"
"84","18","14824"
"85","25","2604"
"86","19","57689"
"87","24","14790"
"88","30","45970"
"89","15","171223"
"90","27","196960"
"91","21","1627"
"92","2","19298"
"93","24","14178"
"94","18","1975"
"95","28","180"
"96","11","58911"
"97","26","4032"
"98","20","127524"
"99","16","138673"
"100","14","14788"
"101","27","135063"
"102","24","27782"
"103","30","115"
"104","27","29714"
"105","28","14928"
"106","18","1048"
"107","26","110096"
"108","18","16463"
"109","25","29057"
"110","28","986"
"111","26","109788"
"112","9","40646"
"113","23","3984"
"114","24","229490"
"115","28","264"
"116","23","139621"
"117","20","217882"
"118","18","132039"
"119","19","110101"
"120","27","1557"
"121","17","249"
"122","19","225116"
"123","15","221270"
"124","13","223252"
"125","26","29700"
"126","16","46077"
"127","20","195370"
"128","13","1532"
"129","25","207825"
"130","25","62178"
"131","23","55483"
"132","22","196885"
"133","24","125054"
"134","29","56714"
"135","20","222271"
"136","28","702"
"137","23","559"
"138","20","26066"
"139","4","128959"
"140","22","1809"
"141","22","3326"
"142","25","4479"
"143","30","71577"
"144","18","180887"
"145","18","134925"
"146","9","28251"
"147","14","2596"
"148","19","34193"
"149","25","26862"
"150","30","135"
"151","26","88"
"152","20","309"
"153","16","59809"
"154","16","29738"
"155","12","337"
"156","12","12789"
"157","24","51123"
"158","6","176673"
"159","26","26389"
"160","20","26602"
"161","18","179349"
"162","30","4397"
"163","16","18671"
"164","28","299"
"165","18","8066"
"166","9","28384"
"167","12","11736"
"168","30","4063"
"169","16","27070"
"170","26","297"
"171","25","25801"
"172","19","45264"
"173","19","127650"
"174","24","2021"
"175","25","2256"
"176","20","55983"
"177","24","62"
"178","24","836"
"179","12","4989"
"180","28","73176"
"181","16","4884"
"182","29","1941"
"183","23","27063"
"184","28","260"
"185","26","27442"
"186","23","248"
"187","19","2252"
"188","24","5032"
"189","26","130368"
"190","25","7158"
"191","16","4019"
"192","26","1826"
"193","18","38827"
"194","30","2260"
"195","18","1602"
"196","26","548"
"197","20","2640"
"198","30","108016"
"199","24","700"
"200","20","22092"
"201","16","9430"
"202","25","40132"
"203","28","1268"
"204","20","215097"
"205","30","25308"
"206","24","29757"
"207","20","5280"
"208","21","1621"
"209","15","46117"
"210","22","35973"
"211","19","983"
"212","14","8488"
"213","19","28541"
"214","27","89957"
"215","30","772"
"216","26","12551"
"217","24","111643"
"218","23","50409"
"219","27","28201"
"220","3","9684"
"221","28","773"
"222","16","228263"
"223","16","13892"
"224","17","26251"
"225","18","2495"
"226","16","108917"
"227","18","43986"
"228","16","52715"
"229","28","29718"
"230","9","13665"
