"id","pays","id_allocine"
"1","U.S.A.","1628"
"2","U.S.A.","115362"
"3","U.S.A.","9393"
"4","U.S.A.","10126"
"5","U.S.A.","39187"
"6","Espagne","19395"
"7","Allemagne","21189"
"8","U.S.A.","10568"
"9","U.S.A.","25802"
"10","U.S.A.","143692"
"11","U.S.A.","39186"
"12","U.S.A.","2072"
"13","U.S.A.","5969"
"14","U.S.A.","19776"
"15","Grande-Bretagne","245046"
"16","U.S.A.","6641"
"17","U.S.A.","5762"
"18","U.S.A.","12837"
"19","Grande-Bretagne","1453"
"20","U.S.A.","18598"
"21","Japon","37485"
"22","U.S.A.","12475"
"23","U.S.A.","114782"
"24","U.S.A.","22779"
"25","U.S.A.","1603"
"26","U.S.A.","2645"
"27","France","182745"
"28","U.S.A.","1832"
"29","U.S.A.","121"
"30","France","28359"
"31","U.S.A.","7124"
"32","U.S.A.","448"
"33","U.S.A.","225953"
"34","U.S.A.","24944"
"35","Grande-Bretagne","108998"
"36","U.S.A.","10862"
"37","U.S.A.","25744"
"38","U.S.A.","27061"
"39","U.S.A.","2253"
"40","Grande-Bretagne","680"
"41","France","213698"
"42","Japon","10251"
"43","U.S.A.","4499"
"44","U.S.A.","190918"
"45","Grande-Bretagne","863"
"46","U.S.A.","123734"
"47","U.S.A.","197686"
"48","U.S.A.","21946"
"49","U.S.A.","132874"
"50","Corée du Sud","54137"
"51","Grande-Bretagne","2167"
"52","Inde","251273"
"53","Allemagne","4616"
"54","U.S.A.","857"
"55","U.S.A.","980"
"56","U.S.A.","531"
"57","U.S.A.","25803"
"58","U.S.A.","10080"
"59","U.S.A.","7524"
"60","Allemagne","418"
"61","Inde","147116"
"62","France","252439"
"63","Grande-Bretagne","4749"
"64","U.S.A.","105"
"65","U.S.A.","67"
"66","U.S.A.","40191"
"67","U.S.A.","308"
"68","U.S.A.","42792"
"69","U.S.A.","2749"
"70","U.S.A.","5120"
"71","U.S.A.","14264"
"72","Inde","176535"
"73","U.S.A.","33353"
"74","U.S.A.","126123"
"75","U.S.A.","60208"
"76","U.S.A.","240850"
"77","Italie","2570"
"78","U.S.A.","2255"
"79","U.S.A.","363"
"80","Espagne","3243"
"81","Espagne","929"
"82","U.S.A.","12032"
"83","U.S.A.","227932"
"84","Allemagne","240"
"85","France","231088"
"86","France","33286"
"87","France","190774"
"88","U.S.A.","51013"
"89","U.S.A.","26186"
"90","U.S.A.","7663"
"91","Allemagne","58349"
"92","U.S.A.","950"
"93","U.S.A.","14046"
"94","Iran","14824"
"95","France","41569"
"96","U.S.A.","2604"
"97","Espagne","57689"
"98","Japon","14790"
"99","Japon","45970"
"100","U.S.A.","7545"
"101","Espagne","171223"
"102","U.S.A.","196960"
"103","U.S.A.","1627"
"104","U.S.A.","227079"
"105","U.S.A.","19298"
"106","U.S.A.","14178"
"107","U.S.A.","1975"
"108","U.S.A.","180"
"109","U.S.A.","58911"
"110","Suède","4032"
"111","U.S.A.","127524"
"112","U.S.A.","138673"
"113","Grande-Bretagne","14788"
"114","U.S.A.","135063"
"115","U.S.A.","27782"
"116","U.S.A.","115"
"117","Grande-Bretagne","29714"
"118","U.S.A.","14928"
"119","U.S.A.","1048"
"120","U.S.A.","110096"
"121","U.S.A.","16463"
"122","Bulgarie","17646"
"123","U.S.A.","29057"
"124","Japon","986"
"125","U.S.A.","109788"
"126","U.S.A.","40646"
"127","U.R.S.S.","2688"
"128","U.S.A.","3984"
"129","France","259498"
"130","U.S.A.","222528"
"131","U.S.A.","229490"
"132","France","264"
"133","Australie","139621"
"134","U.S.A.","217882"
"135","U.S.A.","132039"
"136","U.S.A.","110101"
"137","U.S.A.","1557"
"138","Grande-Bretagne","249"
"139","U.S.A.","225116"
"140","Argentine","221270"
"141","U.S.A.","223252"
"142","Grande-Bretagne","29700"
"143","France","2513"
"144","U.S.A.","46077"
"145","U.S.A.","195370"
"146","U.S.A.","1532"
"147","Grande-Bretagne","207825"
"148","France","62178"
"149","Corée du Sud","55483"
"150","U.S.A.","196885"
"151","Australie","125054"
"152","U.S.A.","56714"
"153","U.S.A.","222271"
"154","Allemagne de l'Ouest","702"
"155","U.S.A.","559"
"156","Mexique","26066"
"157","U.S.A.","128959"
"158","U.S.A.","1809"
"159","U.S.A.","3326"
"160","U.S.A.","38493"
"161","France","4479"
"162","U.S.A.","71577"
"163","U.S.A.","180887"
"164","U.S.A.","134925"
"165","U.S.A.","28251"
"166","France","3732"
"167","Grande-Bretagne","2596"
"168","U.S.A.","34193"
"169","U.S.A.","26862"
"170","Grande-Bretagne","135"
"171","U.S.A.","88"
"172","U.S.A.","309"
"173","U.S.A.","59809"
"174","U.S.A.","29738"
"175","France","337"
"176","U.S.A.","12789"
"177","Hong-Kong","51123"
"178","U.S.A.","176673"
"179","France","263"
"180","Allemagne","243823"
"181","France","26389"
"182","France","126071"
"183","Inde","234256"
"184","U.S.A.","26602"
"185","Canada","179349"
"186","Suède","4397"
"187","U.S.A.","18671"
"188","U.S.A.","299"
"189","U.S.A.","8066"
"190","U.S.A.","28384"
"191","U.S.A.","228558"
"192","France","261469"
"193","U.S.A.","11736"
"194","U.S.A.","4063"
"195","U.S.A.","27070"
"196","Japon","297"
"197","U.S.A.","25801"
"198","Brésil","45264"
"199","France","127650"
"200","U.S.A.","2021"
"201","U.S.A.","2256"
"202","U.S.A.","55983"
"203","Grande-Bretagne","62"
"204","U.S.A.","836"
"205","Italie","4989"
"206","Japon","73176"
"207","U.S.A.","4884"
"208","U.S.A.","1941"
"209","France","27063"
"210","Grande-Bretagne","260"
"211","U.S.A.","27442"
"212","Grande-Bretagne","248"
"213","U.S.A.","2252"
"214","U.S.A.","253743"
"215","U.S.A.","5032"
"216","U.S.A.","1596"
"217","Turquie","111471"
"218","U.S.A.","130368"
"219","U.S.A.","7158"
"220","U.S.A.","4019"
"221","Grande-Bretagne","1826"
"222","U.S.A.","38827"
"223","U.S.A.","2260"
"224","Grande-Bretagne","1602"
"225","Suède","548"
"226","U.S.A.","2640"
"227","U.S.A.","108016"
"228","U.S.A.","700"
"229","U.S.A.","22092"
"230","U.R.S.S.","88396"
"231","Irlande","9430"
"232","Japon","40132"
"233","U.S.A.","1268"
"234","U.S.A.","215097"
"235","U.S.A.","25308"
"236","U.S.A.","29757"
"237","U.S.A.","5280"
"238","U.S.A.","1621"
"239","U.S.A.","46117"
"240","U.S.A.","35973"
"241","U.S.A.","983"
"242","U.S.A.","8488"
"243","U.S.A.","28541"
"244","Algérie","89957"
"245","Luxembourg","772"
"246","France","12551"
"247","Allemagne","111643"
"248","Japon","50409"
"249","U.S.A.","28201"
"250","France","9684"
"251","Japon","773"
"252","Canada","228263"
"253","U.S.A.","13892"
"254","Grande-Bretagne","26251"
"255","U.S.A.","2495"
