"AuteurID","Auteur"
"1","23x19"
"2","A Chambers"
"3","A Pichard, L Barroux, R Pauphilet"
"4","A Yi"
"5","A. Benmalek"
"6","A. Cheret"
"7","A. E. Van Vogt"
"8","A. Maalouf"
"9","A.-C. d'Arnaudy"
"10","A.S Byatt"
"11","Aaron Allston"
"12","Aaron Michael"
"13","Abasse Ndione"
"14","Abbé Lhomond"
"15","Abby Clements"
"16","Abby Geni"
"17","Abdelaziz Baraka Sakin"
"18","Abdellah Aït Tkassit"
"19","Abdellah Taia"
"20","Abdi Ismaïl Abdi"
"21","Abdoulaye Sadji"
"22","Abdourahman A. (Ali) Waberi"
"23","Abdourahman A. Waberi"
"24","Abdourahman Ali Waberi"
"25","Abdourahman Waberi"
"26","Abed Azrié"
"27","Abélard"
"28","Aby Warburg"
"29","Achille Tatius"
"30","Achille Zavatta"
"31","Adalbert Stifter"
"32","Adam de la Halle"
"33","Adam Eeuwens"
"34","Adam Jean-Pierre"
"35","Adam Roussy"
"36","Adélaïde de Clermont-Tonnerre"
"37","Adele Schlombs"
"38","Adèle Toussaint"
"39","Adolfo Caminha"
"40","Adolphe Danhauser"
"41","Adolphe Van Bever"
"42","Adriana Lisboa"
"43","Adrien Floch"
"44","AELF"
"45","Agathe Haevermans"
"46","Agnès Abécassis"
"47","Agnès Benoit"
"48","Agnès Colombo"
"49","Agnès Fleury"
"50","Agnès Ledig"
"51","Agnes Martin-lugand"
"52","Agnès Ruiz"
"53","Agnès Verdier-Molinié"
"54","Ahmad Al-Malik"
"55","Ahmadou Kourouma"
"56","Ahmed Madani"
"57","Ai Hibiki"
"58","Ai MI"
"59","Ai WEIWEI"
"60","Aïcha Redouane"
"61","Aimé Cesaire"
"62","AINSA FERNANDO"
"63","Aïssatou Sy-Wonyu"
"64","Akamatsu Ken"
"65","Aki Shimazaki"
"66","Akira Toriyama"
"67","Akira Yoshimura"
"68","Akiyuki Nosaka"
"69","Al Capp"
"70","Al Ewing"
"71","Al Ewings"
"72","Alain"
"73","Alain Antras"
"74","Alain BAUER"
"75","Alain Bergala"
"76","Alain Bosc"
"77","Alain Buisine"
"78","Alain Claude Sulzer"
"79","Alain Corbin"
"80","Alain Dag'Naud"
"81","Alain DELSUC"
"82","Alain Fouchet"
"83","Alain Frappier"
"84","Alain Gaymard"
"85","Alain GERBAUD"
"86","Alain Hegel"
"87","Alain Jaubert"
"88","Alain Korkos"
"89","Alain KRIEGER"
"90","Alain Le Caro"
"91","Alain Mabanckou"
"92","Alain Morvan"
"93","Alain Nénert"
"94","Alain Pelosato"
"95","Alain Peyrefitte"
"96","Alain Pompidou"
"97","Alain Poulin"
"98","Alain Prochiantz"
"99","Alain Rey"
"100","Alain ROBERT"
"101","Alain Saint-Jalmes"
"102","Alain Sauger"
"103","Alain Schnapp"
"104","Alain Soral"
"105","Alain Suberchicot"
"106","Alain Testart"
"107","Alain Vial"
"108","Alain Viala"
"109","Alain Vigneron"
"110","Alain Vircondelet"
"111","Alain Wodrascka"
"112","ALAIN-FOURNIER"
"113","Alan BRENNERT"
"114","Alan Dean Foster"
"115","Alan Ket"
"116","Alan Lee"
"117","Alan Moore"
"118","Alastair Duncan"
"119","Alban Caumont"
"120","Alban Gautier"
"121","Albert ALGOUD"
"122","Albert Bienvenu Akoha"
"123","Albert Bonneau"
"124","Albert Camus"
"125","Albert Cohen"
"126","Albert Londres"
"127","Albert Thibaudet"
"128","Albert Uderzo"
"129","Albert-Bertrand Lortholary"
"130","ALBERT-MARIE SCHMIDT."
"131","Alberta de Nicolo Salmazo"
"132","Alberto Garlini"
"133","Alberto Giacometti"
"134","Alberto Moravia"
"135","Alberto Vázquez"
"136","Alcante"
"137","Alda Bournel"
"138","Aldo Rossi"
"139","Aldous Huxley"
"140","Alec Wildenstein"
"141","Alejandro Jodorowsky"
"142","Alejandro PALOMAS"
"143","Aleksandra Mizielinska"
"144","Alessandro Baricco"
"145","Alessandro Manzoni"
"146","Alessandro Mari"
"147","Alessandro Sannia"
"148","Alex Alice"
"149","ALEX FRITH"
"150","Alex Haley"
"151","Alex Langlois"
"152","Alex Mucchielli"
"153","Alex Pardee"
"154","Alexander FREED"
"155","Alexander Osterwalder"
"156","Alexandra DAVID-NEEL"
"157","Alexandra Ivy"
"158","Alexandra LAPIERRE"
"159","Alexandra Lucas Coelho"
"160","Alexandra MIDAL"
"161","Alexandre Abensour"
"162","Alexandre Del Valle"
"163","Alexandre Dumas"
"164","Alexandre Dumas fils"
"165","Alexandre Duval-Stalla"
"166","Alexandre Duyck"
"167","Alexandre Feraga"
"168","Alexandre Gady"
"169","Alexandre Issaïevitch Soljénitsyne"
"170","Alexandre Jardin"
"171","Alexandre Najjar"
"172","Alexandre pere Dumas"
"173","Alexandre Pouchkine"
"174","Alexandre POUSSIN"
"175","Alexandre Randal"
"176","Alexandre Soljenitsyne"
"177","Alexandre Tharaud"
"178","Alexandre Trudeau"
"179","Alexandro Jodorowsky"
"180","Alexia Stresi"
"181","Alexis AUBENQUE"
"182","Alexis Bonnaud"
"183","Alexis de Tocqueville"
"184","Alexis Grüss"
"185","Alexis Ott D'Estevou"
"186","Alexis TAIN"
"187","Alfred de Musset"
"188","Alfred Döblin"
"189","Alfred Driou"
"190","Alfred Jarry"
"191","Alfred MUSSET (de)"
"192","Alfred Weidinger"
"193","Algis Budrys"
"194","Ali Marc"
"195","Alice Alex"
"196","Alice Ferney"
"197","Alice Gandin"
"198","Alice Schroeder"
"199","Alicia Drake"
"200","Alicia Dujovne Ortiz"
"201","Alienor Letouze"
"202","Aline Dallier-Popper"
"203","Aliocha Vandamme"
"204","Alison Bechdel"
"205","Alissan De Chazet"
"206","Alistair Crawford"
"207","Alistair WOOD"
"208","Alix Bouilhaguet"
"209","Allan Sekula"
"210","Allessandra CHIODELLI-McCAVANA"
"211","Alli Webb"
"212","Allie Brosh"
"213","Alluin"
"214","Almudena Grandes"
"215","Aloïs Riegl"
"216","Aloysius Chabossot"
"217","Alphonse Aulard"
"218","Alphonse Danhauser"
"219","Alphonse de Lamartine"
"220","Alphonse Zozime Tamekamta"
"221","Alvès"
"222","Alvin Eustis"
"223","ALYSA MORGON"
"224","Amado Jorge"
"225","Amadou Hampate Ba"
"226","Amal Sewtohul"
"227","Amanda Lindhout"
"228","Amanda Quick"
"229","Amandine Notaert"
"230","Amandine Ré"
"231","Amazume Ryuta"
"232","Amélie De Lima"
"233","Amelie Neten"
"234","Amélie Nothomb"
"235","AMI RONNBERG"
"236","Amin Maalouf"
"237","Amin Maalouf de l'Académie française"
"238","Aminata Sow Fall"
"239","Amita Mukerjee"
"240","Amos Oz"
"241","Amy A. Bartol"
"242","Amy Blankenship"
"243","Amy Chu"
"244","Amy Krouse Rosenthal"
"245","Ana Maria MATUTE"
"246","Ana Paula Maia"
"247","Ana Salvador"
"248","Anaïs Nin"
"249","Ananda Devi"
"250","Anatole Bailly"
"251","Anatoli Rybakov"
"252","Andrade Mario de"
"253","André Aussel"
"254","André Baïche"
"255","André Béguin"
"256","André BORD"
"257","André Breton"
"258","Andre Brink"
"259","André Chastel"
"260","André Chénier"
"261","André Chéret"
"262","André Chevrillon"
"263","André Corvisier"
"264","André Crépin"
"265","André Degaine"
"266","André Franquin"
"267","ANDRE FROSSARD"
"268","André GERVAIS"
"269","André Gide"
"270","André Gob"
"271","André Goosse"
"272","Andre Kaspi"
"273","André Lagarde"
"274","André Lebois"
"275","André Levy"
"276","André Lischke"
"277","André Malraux"
"278","André Possot"
"279","André Raponda-Walker"
"280","André Velter"
"281","André-Jean Festugière"
"282","Andrea CAMILLERI"
"283","Andrea de Carlo"
"284","Andrea Deplazes"
"285","Andrea Fasolo"
"286","Andrea Kettenmann"
"287","Andrée Chedid"
"288","Andreï Doronine"
"289","Andreï Kourkov"
"290","Andreï Makine"
"291","Andreï Tarkovski"
"292","Andrew Graham-Dixon"
"293","Andrew Grey"
"294","Andrew Hunter"
"295","Andrey Taranov"
"296","Andrzej Sapkowski"
"297","Andy Cave"
"298","Ange"
"299","Angel .B"
"300","Angel Arekin"
"301","Angela Mengoni"
"302","Angela Pellicciari"
"303","Angèle LIEBY"
"304","Angèle Rincheval Hernu"
"305","Angélique Ayraud"
"306","Anita TERPSTRA"
"307","Ankama Animation"
"308","Ann Brashares"
"309","Ann d' Harcy hugues"
"310","Anna Deville"
"311","Anna felicity Friedman"
"312","Anna Gavalda"
"313","Anna Kiper"
"314","Anna MCPARTLIN"
"315","Anna Moï"
"316","Anna Monfort"
"317","Anna Ogino"
"318","Anna ROMER"
"319","Anna Todd"
"320","Anna Wayne"
"321","Anna Zaires"
"322","Annabelle Falmagne"
"323","Annandale David"
"324","Anne & Julien"
"325","Anne Atik"
"326","Anne B. RAGDE"
"327","Anne Baldassari"
"328","Anne Besson"
"329","Anne Bishop"
"330","Anne Bony"
"331","Anne BROILLIARD et Benoît LENOËL"
"332","Anne Chamayou"
"333","Anne Claude Philippe de Pestels de Lévis de Tubières-Grimoard Caylus"
"334","Anne Coiffier-Beluze"
"335","Anne Delandmeter"
"336","Anne Delbée"
"337","Anne Didier"
"338","Anne Doustaly-Dunyach"
"339","Anne et Julien/Colle"
"340","Anne Frank"
"341","Anne FULDA"
"342","Anne Guillard"
"343","Anne Lebeau"
"344","Anne Legeay"
"345","Anne Lehoërff"
"346","Anne LEMONDE"
"347","Anne Marie Olivieri"
"348","Anne MCCAFFREY"
"349","Anne MICHEL"
"350","Anne Nivat"
"351","Anne PERRY"
"352","Anne PEYMIRAT"
"353","Anne Quentin"
"354","Anne QUESEMAND"
"355","Anne Richardot"
"356","Anne Ritz-Guilbert"
"357","Anne Robillard"
"358","Anne Sauvageot"
"359","Anne Sefrioui"
"360","Anne Sibran"
"361","Anne Varichon"
"362","Anne Verdier"
"363","Anne-Claire de Gayffier-Bonneville"
"364","Anne-Dauphine Julliand"
"365","Anne-Gaëlle Weber"
"366","Anne-Laure Dupont"
"367","ANNE-LAURE FOURNIER LE RAY"
"368","Anne-Laure Jacquart"
