"NoeudID","Noeud","NoeudNom"
"1","301130","Thèmes"
"2","301131","Informatique et Internet"
"3","301132","Romans et littérature"
"4","301133","Bandes dessinées"
"5","301134","Romans policiers et polars"
"6","301135","Entreprise et Bourse"
"7","301137","Livres pour enfants"
"8","301139","Sciences humaines"
"9","301140","Documents d'actualité"
"10","301141","Sciences, Techniques et Médecine"
"11","301142","Famille et bien-être"
"12","301144","Art, Musique et Cinéma"
"13","301146","Scolaire et Parascolaire"
"14","301147","Dictionnaires, langues et encyclopédies"
"15","301164","Genres"
"16","301951","Architecture"
"17","301953","Musique"
"18","301954","Photographie"
"19","301955","Design"
"20","301956","Cinéma"
"21","301957","Musées et expositions"
"22","301958","Atlas"
"23","301959","Langue française"
"24","301961","Langues étrangères"
"25","301962","Jeunesse"
"26","301963","Encyclopédies et dictionnaires thématiques"
"27","301966","Politique française"
"28","301968","Témoignages"
"29","301971","Ouvrages de référence"
"30","301972","Histoire, philosophie et essais"
"31","301973","Gestion et Administration"
"32","301976","Management"
"33","301977","Marketing et Publicité"
"34","301979","Bourse et Finance"
"35","301980","Gestion"
"36","301982","Jobs et carrières"
"37","301984","Guides pratiques"
"38","301985","Droit"
"39","301987","Géographie et urbanisme"
"40","301988","Généalogie"
"41","301990","Questions de société"
"42","301991","Ethnologie et anthropologie"
"43","301992","Philosophie"
"44","301993","Politique"
"45","301995","Médias et communication"
"46","301996","Linguistique"
"47","301997","Religions et Spiritualités"
"48","301998","Dictionnaires et encyclopédies"
"49","301999","Monographies et entretiens"
"50","302001","Comic strips"
"51","302003","Jeunesse"
"52","302007","Heroïc fantasy"
"53","302008","Policier et Suspense"
"54","302009","Humour"
"55","302010","Romans graphiques"
"56","302017","Multimédia et graphisme"
"57","302018","Jeux"
"58","302036","Poésie"
"59","302037","Théâtre"
"60","302038","Littérature française"
"61","302040","Autres littératures étrangères"
"62","302042","Romance et littérature sentimentale"
"63","302043","Romans historiques"
"64","302044","Régions de France"
"65","302045","Récits de voyages"
"66","302046","Correspondances et mémoires"
"67","302047","Biographies"
"68","302048","Antiquité"
"69","302050","Cuisine et Vins"
"70","302054","Jeux"
"71","302066","Héros"
"72","302068","Thrillers"
"73","302074","Polars historiques"
"74","302075","Romans noirs"
"75","302081","Développement personnel"
"76","302082","Enfants"
"77","302085","Grands-parents"
"78","302091","Ouvrages de référence"
"79","302094","Guerriers du silence (Les)"
"80","302095","Grands courants"
"81","302098","Fantastique et Terreur"
"82","302100","Histoire des sciences"
