"PublicationDateID","PublicationDate"
"1","0000-00-00"
"2","1859-01-01"
"3","1900-01-01"
"4","1929-07-27"
"5","1934-03-01"
"6","1940-07-01"
"7","1943-03-09"
"8","1945-01-01"
"9","1951-11-17"
"10","1952-03-01"
"11","1952-04-01"
"12","1952-09-15"
"13","1953-03-31"
"14","1953-10-17"
"15","1953-12-12"
"16","1954-03-06"
"17","1957-07-01"
"18","1958-01-01"
"19","1958-11-13"
"20","1959-02-23"
"21","1959-04-01"
"22","1960-04-09"
"23","1960-06-15"
"24","1960-09-01"
"25","1960-09-02"
"26","1961-07-06"
"27","1962-04-12"
"28","1962-10-04"
"29","1963-01-01"
"30","1963-03-01"
"31","1963-11-30"
"32","1964-01-01"
"33","1964-01-24"
"34","1965-01-01"
"35","1965-09-23"
"36","1965-11-24"
"37","1966-01-01"
"38","1966-03-04"
"39","1966-06-02"
"40","1967-01-01"
"41","1967-01-20"
"42","1967-02-15"
"43","1967-05-17"
"44","1967-09-20"
"45","1967-11-02"
"46","1968-01-26"
"47","1968-03-26"
"48","1968-05-08"
"49","1968-07-03"
"50","1968-11-06"
"51","1968-12-11"
"52","1969-03-03"
"53","1969-04-11"
"54","1969-05-09"
"55","1969-09-25"
"56","1969-11-13"
"57","1970-01-01"
"58","1970-03-01"
"59","1970-07-01"
"60","1970-07-06"
"61","1970-10-01"
"62","1970-10-05"
"63","1971-01-01"
"64","1971-05-26"
"65","1971-07-01"
"66","1971-09-29"
"67","1971-10-01"
"68","1972-01-01"
"69","1972-01-07"
"70","1972-01-18"
"71","1972-01-27"
"72","1972-02-01"
"73","1972-02-16"
"74","1972-03-01"
"75","1972-03-07"
"76","1972-03-28"
"77","1972-04-01"
"78","1972-04-07"
"79","1972-04-18"
"80","1972-05-09"
"81","1972-05-16"
"82","1972-05-19"
"83","1972-06-20"
"84","1972-06-29"
"85","1972-07-26"
"86","1972-09-01"
"87","1972-10-06"
"88","1972-10-17"
"89","1972-10-24"
"90","1972-10-26"
"91","1972-11-16"
"92","1972-12-01"
"93","1972-12-08"
"94","1972-12-19"
"95","1973-01-01"
"96","1973-01-16"
"97","1973-02-01"
"98","1973-03-27"
"99","1973-04-05"
"100","1973-05-01"
"101","1973-06-14"
"102","1973-07-02"
"103","1973-07-12"
"104","1973-08-01"
"105","1973-09-13"
"106","1973-09-26"
"107","1973-10-26"
"108","1973-12-07"
"109","1974-01-08"
"110","1974-01-16"
"111","1974-04-01"
"112","1974-06-01"
"113","1974-06-07"
"114","1974-07-01"
"115","1974-08-01"
"116","1974-10-01"
"117","1974-11-02"
"118","1974-12-09"
"119","1975-01-01"
"120","1975-02-06"
"121","1975-03-14"
"122","1975-04-01"
"123","1975-07-25"
"124","1975-10-25"
"125","1975-11-01"
"126","1975-11-27"
"127","1975-12-01"
"128","1975-12-06"
"129","1976-01-01"
"130","1976-03-17"
"131","1976-04-14"
"132","1976-05-06"
"133","1976-09-10"
"134","1976-09-22"
"135","1976-10-14"
"136","1976-11-05"
"137","1976-11-26"
"138","1976-12-06"
"139","1977-01-01"
"140","1977-03-15"
"141","1977-04-01"
"142","1977-06-01"
"143","1977-06-14"
"144","1977-06-24"
"145","1978-02-01"
"146","1978-02-17"
"147","1978-04-01"
"148","1978-04-21"
"149","1978-11-01"
"150","1979-01-01"
"151","1979-03-13"
"152","1979-09-19"
"153","1979-10-01"
"154","1979-10-16"
"155","1979-11-06"
"156","1979-11-14"
"157","1979-11-21"
"158","1979-12-01"
"159","1980-01-01"
"160","1980-02-21"
"161","1980-03-01"
"162","1980-04-08"
"163","1980-05-14"
"164","1980-06-01"
"165","1980-08-01"
"166","1980-10-01"
"167","1980-10-02"
"168","1980-10-14"
"169","1980-11-01"
"170","1980-11-04"
"171","1980-11-25"
"172","1980-12-31"
"173","1981-01-01"
"174","1981-03-01"
"175","1981-04-01"
"176","1981-05-01"
"177","1981-05-06"
"178","1981-06-18"
"179","1981-09-01"
"180","1981-10-06"
"181","1981-10-22"
"182","1981-12-01"
"183","1981-12-31"
"184","1982-01-01"
"185","1982-01-05"
"186","1982-03-16"
"187","1982-05-12"
"188","1982-07-07"
"189","1982-08-01"
"190","1982-09-21"
"191","1982-11-01"
"192","1982-11-17"
"193","1982-12-08"
"194","1982-12-16"
"195","1983-01-01"
"196","1983-01-13"
"197","1983-02-11"
"198","1983-03-01"
"199","1983-04-13"
"200","1983-05-01"
"201","1983-05-03"
"202","1983-09-22"
"203","1983-10-25"
"204","1983-12-01"
"205","1984-01-01"
"206","1984-01-04"
"207","1984-01-24"
"208","1984-02-01"
"209","1984-03-01"
"210","1984-06-01"
"211","1984-06-27"
"212","1984-06-30"
"213","1984-08-01"
"214","1984-08-13"
"215","1984-09-01"
"216","1984-09-11"
"217","1984-09-24"
"218","1984-10-03"
"219","1984-10-11"
"220","1984-10-14"
"221","1984-11-23"
"222","1985-01-01"
"223","1985-01-15"
"224","1985-02-01"
"225","1985-02-12"
"226","1985-03-22"
"227","1985-04-01"
"228","1985-04-11"
"229","1985-04-22"
"230","1985-05-01"
"231","1985-05-02"
"232","1985-05-14"
"233","1985-05-24"
"234","1985-06-01"
"235","1985-06-14"
"236","1985-08-30"
"237","1985-09-01"
"238","1985-09-30"
"239","1985-10-01"
"240","1985-10-23"
"241","1985-11-01"
"242","1985-12-01"
"243","1985-12-31"
"244","1986-01-01"
"245","1986-01-14"
"246","1986-01-29"
"247","1986-02-01"
"248","1986-03-12"
"249","1986-04-21"
"250","1986-04-22"
"251","1986-04-30"
"252","1986-05-01"
"253","1986-05-13"
"254","1986-06-30"
"255","1986-08-29"
"256","1986-11-14"
"257","1986-11-20"
"258","1986-12-03"
"259","1987-01-01"
"260","1987-01-13"
"261","1987-01-22"
"262","1987-01-31"
"263","1987-02-11"
"264","1987-03-01"
"265","1987-03-03"
"266","1987-03-12"
"267","1987-03-23"
"268","1987-04-01"
"269","1987-04-10"
"270","1987-05-04"
"271","1987-05-14"
"272","1987-05-20"
"273","1987-05-25"
"274","1987-06-03"
"275","1987-07-07"
"276","1987-07-10"
"277","1987-07-15"
"278","1987-07-22"
"279","1987-08-10"
"280","1987-09-10"
"281","1987-10-07"
"282","1987-10-13"
"283","1987-12-03"
"284","1987-12-31"
"285","1988-01-01"
"286","1988-01-04"
"287","1988-01-22"
"288","1988-02-01"
"289","1988-03-22"
"290","1988-03-30"
"291","1988-04-01"
"292","1988-04-07"
"293","1988-04-22"
"294","1988-05-01"
"295","1988-05-11"
"296","1988-09-01"
"297","1988-09-02"
"298","1988-09-26"
"299","1988-09-27"
"300","1988-10-01"
"301","1988-10-11"
"302","1988-10-17"
"303","1988-10-25"
"304","1988-11-01"
"305","1988-11-18"
"306","1988-11-28"
"307","1988-12-15"
"308","1989-01-01"
"309","1989-01-04"
"310","1989-01-24"
"311","1989-02-02"
"312","1989-03-01"
"313","1989-03-23"
"314","1989-04-04"
"315","1989-04-13"
"316","1989-04-18"
"317","1989-05-03"
"318","1989-05-16"
"319","1989-09-19"
"320","1989-10-18"
"321","1989-12-29"
"322","1990-01-01"
"323","1990-01-04"
"324","1990-01-12"
"325","1990-02-02"
"326","1990-02-07"
"327","1990-02-13"
"328","1990-02-21"
"329","1990-02-22"
"330","1990-02-28"
"331","1990-03-01"
"332","1990-03-02"
"333","1990-03-21"
"334","1990-03-22"
"335","1990-04-20"
"336","1990-05-01"
"337","1990-05-22"
"338","1990-06-01"
"339","1990-06-22"
"340","1990-07-01"
"341","1990-07-02"
"342","1990-08-01"
"343","1990-08-28"
"344","1990-09-01"
"345","1990-09-19"
"346","1990-09-26"
"347","1990-10-01"
"348","1990-10-03"
"349","1990-10-10"
"350","1990-12-06"
"351","1991-01-01"
"352","1991-01-04"
"353","1991-01-24"
"354","1991-02-01"
"355","1991-02-21"
"356","1991-03-01"
"357","1991-03-11"
"358","1991-03-22"
"359","1991-04-01"
"360","1991-04-02"
"361","1991-04-09"
"362","1991-04-15"
"363","1991-05-01"
"364","1991-05-03"
"365","1991-05-15"
"366","1991-05-24"
"367","1991-06-01"
"368","1991-06-04"
"369","1991-06-09"
"370","1991-06-21"
"371","1991-08-01"
"372","1991-09-01"
"373","1991-09-17"
"374","1991-10-01"
"375","1991-10-16"
"376","1991-10-24"
"377","1991-11-20"
"378","1991-11-27"
"379","1991-12-01"
"380","1991-12-31"
"381","1992-01-01"
"382","1992-01-08"
"383","1992-02-01"
"384","1992-02-21"
"385","1992-02-25"
"386","1992-03-01"
"387","1992-03-05"
"388","1992-03-15"
"389","1992-03-27"
"390","1992-04-01"
"391","1992-04-02"
"392","1992-04-07"
"393","1992-04-13"
"394","1992-04-15"
"395","1992-04-17"
"396","1992-04-30"
"397","1992-05-06"
"398","1992-05-07"
"399","1992-05-14"
"400","1992-05-19"
"401","1992-05-22"
"402","1992-06-01"
"403","1992-06-10"
"404","1992-06-24"
"405","1992-06-25"
"406","1992-07-09"
"407","1992-08-01"
"408","1992-08-31"
"409","1992-09-01"
"410","1992-09-11"
"411","1992-09-23"
"412","1992-09-25"
"413","1992-09-30"
"414","1992-10-01"
"415","1992-10-09"
"416","1992-10-15"
"417","1992-10-22"
"418","1992-11-04"
"419","1992-11-10"
"420","1992-11-19"
"421","1992-12-01"
"422","1992-12-07"
"423","1993-01-01"
"424","1993-01-07"
"425","1993-01-22"
"426","1993-02-01"
"427","1993-02-02"
"428","1993-02-09"
"429","1993-02-12"
"430","1993-02-23"
"431","1993-02-25"
"432","1993-03-16"
"433","1993-03-18"
"434","1993-04-01"
"435","1993-04-02"
"436","1993-05-01"
"437","1993-05-02"
"438","1993-05-04"
"439","1993-05-05"
"440","1993-05-17"
"441","1993-06-01"
"442","1993-06-02"
"443","1993-06-03"
"444","1993-06-04"
"445","1993-06-11"
"446","1993-07-01"
"447","1993-07-15"
"448","1993-08-01"
"449","1993-08-25"
"450","1993-08-27"
"451","1993-08-31"
"452","1993-09-01"
"453","1993-09-03"
"454","1993-09-08"
"455","1993-09-15"
"456","1993-10-01"
"457","1993-10-21"
"458","1993-10-26"
"459","1993-11-03"
"460","1993-11-16"
"461","1993-11-24"
"462","1993-11-25"
"463","1993-11-30"
"464","1993-12-01"
"465","1993-12-08"
"466","1993-12-31"
"467","1994-01-01"
"468","1994-01-04"
"469","1994-01-25"
"470","1994-01-27"
"471","1994-01-31"
"472","1994-02-15"
"473","1994-02-24"
"474","1994-03-01"
"475","1994-03-02"
"476","1994-03-15"
"477","1994-03-24"
"478","1994-04-06"
"479","1994-04-13"
"480","1994-04-18"
"481","1994-04-22"
"482","1994-05-01"
"483","1994-05-11"
"484","1994-05-20"
"485","1994-05-25"
"486","1994-06-01"
"487","1994-06-03"
"488","1994-06-06"
"489","1994-06-28"
"490","1994-07-01"
"491","1994-07-11"
"492","1994-08-19"
"493","1994-08-26"
"494","1994-08-31"
"495","1994-09-01"
"496","1994-09-05"
"497","1994-09-14"
"498","1994-09-19"
"499","1994-09-30"
"500","1994-10-01"
"501","1994-10-04"
"502","1994-10-06"
"503","1994-10-12"
"504","1994-10-25"
"505","1994-10-26"
"506","1994-11-01"
"507","1994-11-09"
"508","1994-11-15"
"509","1994-11-23"
"510","1994-12-01"
"511","1994-12-24"
"512","1995-01-01"
"513","1995-01-23"
"514","1995-01-24"
"515","1995-02-01"
"516","1995-02-14"
"517","1995-02-21"
"518","1995-03-01"
"519","1995-03-03"
"520","1995-03-07"
"521","1995-03-15"
"522","1995-03-29"
"523","1995-04-01"
"524","1995-04-07"
"525","1995-04-12"
"526","1995-04-18"
"527","1995-04-21"
"528","1995-04-25"
"529","1995-04-27"
"530","1995-05-01"
"531","1995-05-12"
"532","1995-05-17"
"533","1995-05-18"
"534","1995-06-02"
"535","1995-06-08"
"536","1995-06-20"
"537","1995-06-23"
"538","1995-07-12"
"539","1995-07-25"
"540","1995-08-17"
"541","1995-08-29"
"542","1995-09-01"
"543","1995-09-02"
"544","1995-09-03"
"545","1995-09-06"
"546","1995-09-07"
"547","1995-09-13"
"548","1995-09-14"
"549","1995-09-22"
"550","1995-10-01"
"551","1995-10-03"
"552","1995-10-05"
"553","1995-10-10"
"554","1995-10-13"
"555","1995-10-24"
"556","1995-11-01"
"557","1995-11-14"
"558","1995-11-15"
"559","1995-11-23"
"560","1995-12-01"
"561","1995-12-19"
"562","1996-01-01"
"563","1996-01-02"
"564","1996-01-03"
"565","1996-01-09"
"566","1996-01-23"
"567","1996-01-29"
"568","1996-02-05"
"569","1996-02-15"
"570","1996-02-21"
"571","1996-03-01"
"572","1996-03-14"
"573","1996-03-15"
"574","1996-03-20"
"575","1996-03-22"
"576","1996-03-31"
