"PublicationDateAnneeID","PublicationDateAnnee"
"1","0"
"2","1859"
"3","1900"
"4","1929"
"5","1934"
"6","1940"
"7","1943"
"8","1945"
"9","1951"
"10","1952"
"11","1953"
"12","1954"
"13","1957"
"14","1958"
"15","1959"
"16","1960"
"17","1961"
"18","1962"
"19","1963"
"20","1964"
"21","1965"
"22","1966"
"23","1967"
"24","1968"
"25","1969"
"26","1970"
"27","1971"
"28","1972"
"29","1973"
"30","1974"
"31","1975"
"32","1976"
"33","1977"
"34","1978"
"35","1979"
"36","1980"
"37","1981"
"38","1982"
"39","1983"
"40","1984"
"41","1985"
"42","1986"
"43","1987"
"44","1988"
"45","1989"
"46","1990"
"47","1991"
"48","1992"
"49","1993"
"50","1994"
"51","1995"
"52","1996"
"53","1997"
"54","1998"
"55","1999"
"56","2000"
"57","2001"
"58","2002"
"59","2003"
"60","2004"
"61","2005"
"62","2006"
"63","2007"
"64","2008"
"65","2009"
"66","2010"
"67","2011"
"68","2012"
"69","2013"
"70","2014"
"71","2015"
"72","2016"
"73","2017"
"74","2018"
