"ReleaseDateID","ReleaseDate"
"1","0000-00-00"
"2","1929-07-27"
"3","1934-03-01"
"4","1943-03-09"
"5","1945-01-01"
"6","1951-11-17"
"7","1952-03-01"
"8","1952-04-01"
"9","1952-09-15"
"10","1953-03-31"
"11","1953-10-17"
"12","1953-12-12"
"13","1957-07-01"
"14","1958-11-13"
"15","1960-04-09"
"16","1960-09-01"
"17","1960-09-02"
"18","1961-07-06"
"19","1962-10-04"
"20","1963-03-01"
"21","1963-11-30"
"22","1964-01-24"
"23","1965-01-01"
"24","1965-09-23"
"25","1965-11-24"
"26","1966-03-04"
"27","1966-06-02"
"28","1967-01-01"
"29","1967-01-20"
"30","1967-05-17"
"31","1967-09-20"
"32","1968-01-26"
"33","1968-03-26"
"34","1968-05-08"
"35","1969-03-03"
"36","1969-04-11"
"37","1969-09-25"
"38","1970-01-01"
"39","1970-03-01"
"40","1971-05-26"
"41","1972-01-18"
"42","1972-01-27"
"43","1972-02-16"
"44","1972-04-01"
"45","1972-05-19"
"46","1972-09-01"
"47","1972-10-17"
"48","1972-10-24"
"49","1972-10-26"
"50","1972-11-16"
"51","1973-01-16"
"52","1973-03-27"
"53","1973-05-01"
"54","1973-07-02"
"55","1973-07-12"
"56","1973-08-01"
"57","1973-09-13"
"58","1973-09-26"
"59","1973-12-07"
"60","1974-01-16"
"61","1974-11-02"
"62","1974-12-09"
"63","1975-01-01"
"64","1975-11-01"
"65","1975-12-06"
"66","1976-01-01"
"67","1976-09-10"
"68","1976-09-22"
"69","1976-12-06"
"70","1977-03-15"
"71","1977-04-01"
"72","1977-06-01"
"73","1977-06-24"
"74","1978-04-01"
"75","1978-04-21"
"76","1978-11-01"
"77","1979-09-19"
"78","1979-10-16"
"79","1979-11-06"
"80","1979-11-14"
"81","1979-12-01"
"82","1980-02-21"
"83","1980-03-01"
"84","1980-04-08"
"85","1980-05-14"
"86","1980-06-01"
"87","1980-08-01"
"88","1980-10-14"
"89","1980-11-01"
"90","1980-11-25"
"91","1980-12-31"
"92","1981-03-01"
"93","1981-04-01"
"94","1981-05-01"
"95","1981-05-06"
"96","1981-06-18"
"97","1981-09-01"
"98","1981-10-22"
"99","1982-01-01"
"100","1982-01-05"
"101","1982-08-01"
"102","1982-09-21"
"103","1982-11-17"
"104","1982-12-08"
"105","1982-12-16"
"106","1983-01-01"
"107","1983-01-13"
"108","1983-03-01"
"109","1983-05-03"
"110","1983-09-22"
"111","1983-12-01"
"112","1984-01-01"
"113","1984-01-24"
"114","1984-02-01"
"115","1984-03-01"
"116","1984-06-01"
"117","1984-06-30"
"118","1984-08-01"
"119","1984-08-13"
"120","1984-09-01"
"121","1984-09-24"
"122","1984-10-03"
"123","1984-10-14"
"124","1984-11-23"
"125","1985-01-01"
"126","1985-02-12"
"127","1985-03-22"
"128","1985-04-01"
"129","1985-05-01"
"130","1985-05-02"
"131","1985-05-24"
"132","1985-06-01"
"133","1985-08-30"
"134","1985-09-01"
"135","1985-10-01"
"136","1985-10-23"
"137","1985-11-01"
"138","1985-12-01"
"139","1986-01-01"
"140","1986-01-29"
"141","1986-03-12"
"142","1986-04-21"
"143","1986-05-01"
"144","1986-06-30"
"145","1986-11-14"
"146","1986-11-20"
"147","1986-12-03"
"148","1987-01-01"
"149","1987-02-11"
"150","1987-03-03"
"151","1987-03-12"
"152","1987-03-23"
"153","1987-04-01"
"154","1987-05-14"
"155","1987-05-20"
"156","1987-05-25"
"157","1987-07-07"
"158","1987-07-10"
"159","1987-07-15"
"160","1987-07-22"
"161","1987-09-10"
"162","1987-10-07"
"163","1987-10-13"
"164","1987-12-03"
"165","1988-01-01"
"166","1988-01-04"
"167","1988-01-22"
"168","1988-02-01"
"169","1988-04-01"
"170","1988-04-07"
"171","1988-04-22"
"172","1988-05-01"
"173","1988-05-11"
"174","1988-09-01"
"175","1988-09-26"
"176","1988-10-25"
"177","1988-11-01"
"178","1988-11-28"
"179","1988-12-15"
"180","1989-01-04"
"181","1989-01-24"
"182","1989-02-02"
"183","1989-04-04"
"184","1989-05-16"
"185","1989-09-19"
"186","1989-10-18"
"187","1989-12-29"
"188","1990-01-01"
"189","1990-01-04"
"190","1990-01-12"
"191","1990-02-02"
"192","1990-02-07"
"193","1990-02-13"
"194","1990-03-22"
"195","1990-04-20"
"196","1990-05-22"
"197","1990-06-01"
"198","1990-06-22"
"199","1990-07-01"
"200","1990-07-02"
"201","1990-09-19"
"202","1990-09-26"
"203","1990-10-01"
"204","1990-10-10"
"205","1991-01-01"
"206","1991-02-01"
"207","1991-02-21"
"208","1991-03-01"
"209","1991-03-22"
"210","1991-04-01"
"211","1991-04-15"
"212","1991-05-01"
"213","1991-05-15"
"214","1991-05-24"
"215","1991-06-01"
"216","1991-06-04"
"217","1991-06-21"
"218","1991-08-01"
"219","1991-11-20"
"220","1991-11-27"
"221","1992-01-08"
"222","1992-02-01"
"223","1992-02-21"
"224","1992-02-25"
"225","1992-03-05"
"226","1992-03-15"
"227","1992-03-27"
"228","1992-04-02"
"229","1992-04-07"
"230","1992-04-13"
"231","1992-04-15"
"232","1992-04-30"
"233","1992-05-06"
"234","1992-05-07"
"235","1992-05-14"
"236","1992-05-19"
"237","1992-05-22"
"238","1992-06-24"
"239","1992-06-25"
"240","1992-07-09"
"241","1992-08-01"
"242","1992-09-01"
"243","1992-09-11"
"244","1992-09-25"
"245","1992-10-01"
"246","1992-10-09"
"247","1992-11-04"
"248","1992-11-10"
"249","1992-11-19"
"250","1992-12-07"
"251","1993-01-01"
"252","1993-01-07"
"253","1993-01-22"
"254","1993-02-01"
"255","1993-02-12"
"256","1993-02-23"
"257","1993-02-25"
"258","1993-03-18"
"259","1993-04-01"
"260","1993-04-02"
"261","1993-05-01"
"262","1993-05-02"
"263","1993-05-04"
"264","1993-06-03"
"265","1993-06-04"
"266","1993-07-15"
"267","1993-08-25"
"268","1993-08-27"
"269","1993-08-31"
"270","1993-09-03"
"271","1993-09-15"
"272","1993-10-21"
"273","1993-10-26"
"274","1993-11-16"
"275","1993-11-24"
"276","1993-11-25"
"277","1993-11-30"
"278","1993-12-01"
"279","1994-01-01"
"280","1994-01-25"
"281","1994-01-31"
"282","1994-02-15"
"283","1994-03-01"
"284","1994-03-02"
"285","1994-03-15"
"286","1994-03-24"
"287","1994-04-13"
"288","1994-04-18"
"289","1994-05-11"
"290","1994-05-25"
"291","1994-07-01"
"292","1994-08-19"
"293","1994-08-26"
"294","1994-08-31"
"295","1994-09-01"
"296","1994-09-14"
"297","1994-09-30"
"298","1994-10-25"
"299","1994-11-01"
"300","1994-11-09"
"301","1994-11-23"
"302","1994-12-24"
"303","1995-01-23"
"304","1995-01-24"
"305","1995-02-14"
"306","1995-02-21"
"307","1995-03-01"
"308","1995-03-03"
"309","1995-03-07"
"310","1995-03-15"
"311","1995-04-07"
"312","1995-04-18"
"313","1995-04-21"
"314","1995-04-25"
"315","1995-04-27"
"316","1995-05-12"
"317","1995-06-02"
"318","1995-06-08"
"319","1995-07-12"
"320","1995-07-25"
"321","1995-08-17"
"322","1995-08-29"
"323","1995-09-01"
"324","1995-09-02"
"325","1995-09-03"
"326","1995-09-14"
"327","1995-10-01"
"328","1995-10-03"
"329","1995-10-05"
"330","1995-10-10"
"331","1995-10-13"
"332","1995-10-24"
"333","1995-11-15"
"334","1995-11-23"
"335","1995-12-01"
"336","1995-12-19"
"337","1996-01-01"
"338","1996-01-02"
"339","1996-01-03"
"340","1996-01-09"
"341","1996-03-01"
"342","1996-03-22"
"343","1996-04-01"
"344","1996-04-02"
"345","1996-04-12"
"346","1996-04-25"
"347","1996-05-14"
"348","1996-06-06"
"349","1996-06-07"
"350","1996-06-14"
"351","1996-06-25"
"352","1996-07-26"
"353","1996-08-01"
"354","1996-10-03"
"355","1996-10-10"
"356","1996-11-26"
"357","1997-01-01"
"358","1997-01-02"
"359","1997-01-09"
"360","1997-01-14"
"361","1997-01-22"
"362","1997-01-23"
"363","1997-02-03"
"364","1997-02-06"
"365","1997-02-13"
"366","1997-02-21"
