"SalesRankID","SalesRank"
"1","0"
"2","1"
"3","2"
"4","3"
"5","4"
"6","5"
"7","6"
"8","7"
"9","9"
"10","11"
"11","12"
"12","13"
"13","14"
"14","15"
"15","16"
"16","17"
"17","18"
"18","21"
"19","22"
"20","24"
"21","25"
"22","27"
"23","28"
"24","30"
"25","31"
"26","32"
"27","35"
"28","36"
"29","38"
"30","39"
"31","40"
"32","41"
"33","42"
"34","43"
"35","45"
"36","50"
"37","54"
"38","60"
"39","62"
"40","63"
"41","64"
"42","67"
"43","69"
"44","71"
"45","72"
"46","74"
"47","75"
"48","76"
"49","78"
"50","83"
"51","85"
"52","86"
"53","87"
"54","91"
"55","92"
"56","93"
"57","95"
"58","97"
"59","98"
"60","99"
"61","101"
"62","102"
"63","103"
"64","105"
"65","107"
"66","108"
"67","109"
"68","110"
"69","112"
"70","113"
"71","115"
"72","117"
"73","118"
"74","121"
"75","123"
"76","127"
"77","129"
"78","130"
"79","131"
"80","132"
"81","133"
"82","137"
"83","138"
"84","139"
"85","141"
"86","143"
"87","145"
"88","146"
"89","148"
"90","149"
"91","152"
"92","155"
"93","157"
"94","161"
"95","162"
"96","164"
"97","165"
"98","166"
"99","167"
"100","169"
"101","170"
"102","173"
"103","175"
"104","180"
"105","183"
"106","184"
"107","187"
"108","188"
"109","191"
"110","192"
"111","193"
"112","195"
"113","198"
"114","200"
"115","201"
"116","203"
"117","204"
"118","207"
"119","209"
"120","211"
"121","214"
"122","215"
"123","219"
"124","220"
"125","221"
"126","227"
"127","230"
"128","234"
"129","235"
"130","236"
"131","239"
"132","240"
"133","245"
"134","248"
"135","252"
"136","254"
"137","258"
"138","260"
"139","261"
"140","262"
"141","264"
"142","265"
"143","266"
"144","267"
"145","271"
"146","273"
"147","274"
"148","277"
"149","278"
"150","283"
"151","288"
"152","291"
"153","294"
"154","296"
"155","299"
"156","302"
"157","303"
"158","304"
"159","308"
"160","309"
"161","310"
"162","312"
"163","315"
"164","316"
"165","317"
"166","318"
"167","319"
"168","320"
"169","323"
"170","324"
"171","326"
"172","327"
"173","330"
"174","334"
"175","335"
"176","339"
"177","340"
"178","346"
"179","348"
"180","351"
"181","352"
"182","355"
"183","357"
"184","358"
"185","359"
"186","360"
"187","361"
"188","364"
"189","367"
"190","368"
"191","370"
"192","371"
"193","377"
"194","385"
"195","386"
"196","388"
"197","392"
"198","393"
"199","396"
"200","398"
"201","404"
"202","407"
"203","408"
"204","409"
"205","420"
"206","423"
"207","424"
"208","425"
"209","426"
"210","428"
"211","432"
"212","437"
"213","438"
"214","439"
"215","441"
"216","443"
"217","444"
"218","447"
"219","451"
"220","456"
"221","457"
"222","458"
"223","460"
"224","461"
"225","462"
"226","464"
"227","468"
"228","470"
"229","473"
"230","474"
"231","475"
"232","477"
"233","491"
"234","492"
"235","493"
"236","494"
"237","502"
"238","507"
"239","509"
"240","511"
"241","518"
"242","520"
"243","522"
"244","523"
"245","528"
"246","532"
"247","534"
"248","535"
"249","538"
"250","539"
"251","540"
"252","541"
"253","542"
"254","546"
"255","549"
"256","550"
"257","554"
"258","555"
"259","557"
"260","560"
"261","564"
"262","565"
"263","570"
"264","574"
"265","575"
"266","577"
"267","579"
"268","580"
"269","589"
"270","590"
"271","591"
"272","593"
"273","595"
"274","596"
"275","602"
"276","603"
"277","613"
"278","614"
