"livreID","ASIN","Titre","DetailPage","ImgLivre","EAN","ISBN","DescriptionSource","Description"
"1","2707194395","L'Odyssée - Prepas scientifiques 2017-2018 - Edition prescrite","https://www.amazon.fr/LOdyss%C3%A9e-Prepas-scientifiques-2017-2018-prescrite/dp/2707194395?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&t","https://images-eu.ssl-images-amazon.com/images/I/512Qbzle7qL.jpg","9782707194398","2707194395","NULL","NULL"
"2","2081397439","L'odyssée","https://www.amazon.fr/Lodyss%C3%A9e-Hom%C3%A8re/dp/2081397439?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm","https://images-eu.ssl-images-amazon.com/images/I/51YT1hQ%2BzcL.jpg","9782081397439","2081397439","NULL","NULL"
"3","2251014446","Discours. Tome I, 2e partie : Pour Sextus Roscius","https://www.amazon.fr/Discours-2e-partie-Sextus-Roscius/dp/2251014446?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&lin","https://images-eu.ssl-images-amazon.com/images/I/416HA8EQANL.jpg","9782251014449","2251014446","NULL","NULL"
"4","2070385647","Les Métamorphoses","https://www.amazon.fr/M%C3%A9tamorphoses-Ovide/dp/2070385647?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCode=xm2","https://images-eu.ssl-images-amazon.com/images/I/51iqa9y1DgL.jpg","9782070385645","2070385647","NULL","NULL"
"5","2251006079","Géographie. Tome XII. Livre XV: L'Inde, l'Ariane et la Perse","https://www.amazon.fr/G%C3%A9ographie-XII-Livre-XV-lAriane/dp/2251006079?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&","https://images-eu.ssl-images-amazon.com/images/I/319FIM1XBfL.jpg","9782251006079","2251006079","NULL","NULL"
"6","2070400689","La Guerre du Péloponnèse","https://www.amazon.fr/Guerre-du-P%C3%A9loponn%C3%A8se-Thucydide/dp/2070400689?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautef","https://images-eu.ssl-images-amazon.com/images/I/51G%2BDPpg3jL.jpg","9782070400683","2070400689","NULL","NULL"
"7","2251446834","Retour en Gaule","https://www.amazon.fr/Retour-en-Gaule-Rutilius-Namatianus/dp/2251446834?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&l","https://images-eu.ssl-images-amazon.com/images/I/41x2vyzE9TL.jpg","9782251446837","2251446834","NULL","NULL"
"8","2070737624","Vies parallèles","https://www.amazon.fr/Vies-parall%C3%A8les-Plutarque/dp/2070737624?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCo","https://images-eu.ssl-images-amazon.com/images/I/51MJ3gVwOQL.jpg","9782070737628","2070737624","NULL","NULL"
"9","208070012X","La Guerre des Gaules","https://www.amazon.fr/Guerre-Gaules-Jules-C%C3%A9sar/dp/208070012X?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkCo","https://images-eu.ssl-images-amazon.com/images/I/51ri9Sqjm2L.jpg","9782080700124","208070012X","NULL","NULL"
"10","284205637X","Lettres à Lucilius","https://www.amazon.fr/Lettres-%C3%A0-Lucilius-S%C3%A9n%C3%A8que/dp/284205637X?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautef","https://images-eu.ssl-images-amazon.com/images/I/51uYxYRtO0L.jpg","9782842056377","284205637X","NULL","NULL"
"11","2070102610","Iliade - Odyssée","https://www.amazon.fr/Iliade-Odyss%C3%A9e-Hom%C3%A8re/dp/2070102610?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=artonautefr-21&linkC","https://images-eu.ssl-images-amazon.com/images/I/41hi7mbzP4L.jpg","9782070102617","2070102610","NULL","NULL"
"12","2251001131","Discours. Tome I : Contre Timarque - Sur l'Ambassade infidèle","https://www.amazon.fr/Discours-Contre-Timarque-lAmbassade-infid%C3%A8le/dp/2251001131?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=ar","https://images-eu.ssl-images-amazon.com/images/I/41mIuwoO3IL.jpg","9782251001135","2251001131","NULL","NULL"
"13","2251326758","Parier sur le temps: La quête héroïque d'immortalité dans l'épopée homérique","https://www.amazon.fr/Parier-sur-temps-dimmortalit%C3%A9-hom%C3%A9rique/dp/2251326758?SubscriptionId=AKIAJGGEZEDCGVLJYVUA&tag=ar","https://images-eu.ssl-images-amazon.com/images/I/31plJ%2BD%2BT-L.jpg","9782251326757","2251326758","NULL","NULL"
