"id","Auteur","livreID"
"1","HOMÈRE","1"
"2","HOMÈRE","2"
"3","Cicéron","3"
"4","Ovide","4"
"5","Strabon","5"
"6","Thucydide","6"
"7","Rutilius Namatianus","7"
"8","Plutarque","8"
"9","Jules César","9"
"10","Sénèque","10"
"11","HOMÈRE","11"
"12","Eschine","12"
"13","Catherine Collobert","13"
"14","Suétone","14"
"15","Virgile","15"
"16","Virgile","16"
"17","HOMÈRE","17"
"18","HOMÈRE","18"
"19","Sophocle","19"
"20","Jules César","20"
"21","Eschyle","21"
"22","Paul Veyne","22"
"23","TACITE","23"
"24","Commodien","24"
"25","Pétrone","25"
"26","Quintus Cicéron","26"
"27","Emmanuèle Blanc","27"
"28","Sophocle","28"
"29","Hérodote","29"
"30","Jacqueline de Romilly","30"
"31","Victor de Vita","31"
"32","Apulée","32"
"33","Suzanne Saïd","33"
"34","Appien","34"
"35","Ph.-E. Legrand","35"
"36","Jacqueline de Romilly","36"
"37","Hérodote","37"
"38","Xavier Darcos","38"
"39","HOMÈRE","39"
"40","Sophocles","40"
"41","Juvenal","41"
"42","Jacqueline de Romilly","42"
"43","Lucien","43"
"44","Flavius Josèphe","44"
"45","Thucydide","45"
"46","Euripide","46"
"47","Eschyle","47"
"48","Euripide","48"
"49","Marco Polo","49"
"50","Esope","50"
"51","Christine Kossaifi","51"
"52","Sénèque","52"
"53","Salluste","53"
"54","Sénèque","54"
"55","HOMÈRE","55"
"56","Euripide","56"
"57","Ménandre","57"
"58","Hésiode","58"
"59","Aristophane","59"
"60","Philippe Guisard","60"
"61","HOMÈRE","61"
"62","Ovide","62"
"63","Charles Senard","63"
"64","Robert Turcan","64"
"65","Eschyle","65"
"66","Artémidore d'Ephèse","66"
"67","M. C. Howatson","67"
"68","Jacques Gaillard","68"
"69","Plutarque","69"
"70","Sénèque","70"
"71","Abbé Lhomond","71"
"72","Pline Le Jeune","72"
"73","Xénophon","73"
"74","Cicéron","74"
"75","Euripide","75"
"76","Alain Rey","76"
"77","Aristophane","77"
"78","Ovide","78"
"79","Polybe","79"
"80","Amadou Hampate Ba","80"
"81","Mariama Bâ","81"
"82","Karel Schoeman","82"
"83","Cheikh Hamidou Kane","83"
"84","Amadou Hampate Ba","84"
"85","Sembene OUSMANE","85"
"86","Tamsir Niane Djibril","86"
"87","Amadou Hampate Ba","87"
"88","John Maxwell Coetzee","88"
"89","Ahmadou Kourouma","89"
"90","Amadou Hampate Ba","90"
