"id","Editeur","livreID"
"1","La Découverte","1"
"2","FLAMMARION","2"
"3","Les Belles Lettres","3"
"4","Folio","4"
"5","Les Belles Lettres","5"
"6","Folio","6"
"7","Les Belles Lettres","7"
"8","Gallimard","8"
"9","Editions Flammarion","9"
"10","Mille et Une Nuits","10"
"11","Gallimard","11"
"12","Les Belles Lettres","12"
"13","Les Belles Lettres","13"
"14","Folio","14"
"15","Gallimard","15"
"16","Folio","16"
"17","FLAMMARION","17"
"18","Folio","18"
"19","Folio","19"
"20","Folio","20"
"21","Les Solitaires Intempestifs","21"
"22","Le Livre de Poche","22"
"23","Bouquins","23"
"24","Les Belles Lettres","24"
"25","Les Belles Lettres","25"
"26","Arléa","26"
"27","Editions Gallimard","27"
"28","FLAMMARION","28"
"29","Folio","29"
"30","Le Livre de Poche","30"
"31","Les Belles Lettres","31"
"32","Gallimard","32"
"33","PRESSES UNIVERSITAIRES DE FRANCE - PUF","33"
"34","Les Belles Lettres","34"
"35","Belles Lettres","35"
"36","PRESSES UNIVERSITAIRES DE FRANCE - PUF","36"
"37","Folio","37"
"38","Fayard","38"
"39","Pocket","39"
"40","Editions 84","40"
"41","Les Belles Lettres","41"
"42","PRESSES UNIVERSITAIRES DE FRANCE - PUF","42"
"43","Les Belles Lettres","43"
"44","Les Belles Lettres","44"
"45","Robert Laffont","45"
"46","Folio","46"
"47","Gallimard","47"
"48","Librairie générale française","48"
"49","Le Livre de Poche","49"
"50","FLAMMARION","50"
"51","Ellipses Marketing","51"
"52","Les Belles Lettres","52"
"53","Les Belles Lettres","53"
"54","Robert Laffont","54"
"55","Robert Laffont","55"
"56","Les Editions de Minuit","56"
"57","Les Belles Lettres","57"
"58","Folio","58"
"59","Arléa Editions","59"
"60","Ellipses Marketing","60"
"61","Les Belles Lettres","61"
"62","Folio","62"
"63","Les Belles Lettres","63"
"64","Les Belles Lettres","64"
"65","Les Belles Lettres","65"
"66","Vrin","66"
"67","Robert Laffont","67"
"68","Folio","68"
"69","Rivages","69"
"70","Hatier","70"
"71","Actes Sud","71"
"72","FLAMMARION","72"
"73","Les Belles Lettres","73"
"74","Les Belles Lettres","74"
"75","Gallimard","75"
"76","FLAMMARION","76"
"77","Gallimard","77"
"78","Actes Sud","78"
"79","Gallimard","79"
"80","Editions 84","80"
"81","Le Serpent à Plumes","81"
"82","LIBRETTO","82"
"83","10 X 18","83"
"84","10 X 18","84"
"85","Pocket","85"
"86","Présence africaine","86"
"87","Pocket","87"
"88","Seuil","88"
"89","Points","89"
"90","Seuil","90"
"91","Editions 84","91"
"92","Présence Africaine éd.","92"
"93","Pocket","93"
"94","Editions Présence Africaine","94"
"95","Magellan et Cie","95"
"96","Editions Présence Africaine","96"
"97","Flies France","97"
"98","Présence Africaine - Co-édition NEI","98"
"99","Editions Présence Africaine","99"
"100","Pocket","100"
"101","10","101"
"102","Editions Présence Africaine","102"
"103","Points","103"
"104","Editions L'Harmattan","104"
"105","Robert Laffont","105"
"106","Présence africaine","106"
"107","Presence Africa","107"
"108","Seuil","108"
"109","Zulma","109"
"110","Gallimard BD","110"
"111","Editions Hatier","111"
"112","Editions L'Harmattan","112"
"113","Pocket","113"
"114","Actes Sud","114"
"115","Le Serpent à Plumes","115"
"116","Actes Sud","116"
"117","Gallimard","117"
"118","Gallimard","118"
"119","Gallimard","119"
"120","Christian Bourgois Editeur","120"
"121","Societe Nouvelle Presence Africaine","121"
"122","Editions Présence Africaine","122"
"123","L'Harmattan","123"
"124","Actes Sud","124"
"125","Hatier International","125"
"126","Karthala","126"
"127","Magellan et Cie","127"
"128","Editions Présence Africaine","128"
"129","Points","129"
"130","Seuil","130"
"131","Editions Présence Africaine","131"
"132","Editions L'Harmattan","132"
"133","Le Serpent à Plumes","133"
"134","Alphee","134"
"135","Karthala","135"
"136","Editions Présence Africaine","136"
"137","Le Livre de Poche","137"
"138","Michel Lafon","138"
"139","depot legal: 1971","139"
"140","Magellan et Cie","140"
"141","Gallimard","141"
"142","Editions Présence Africaine","142"
"143","Editions L'Harmattan","143"
"144","Mon Petit Editeur","144"
"145","Editions L'Harmattan","145"
"146","Editions L'Harmattan","146"
"147","Magellan et Cie","147"
"148","Gallimard","148"
"149","Editions L'Harmattan","149"
"150","Gallimard","150"
"151","Gallimard","151"
"152","Points","152"
"153","Infolio","153"
"154","Editions 10/18","154"
"155","Actes Sud","155"
"156","Editions L'Harmattan","156"
"157","Gallimard","157"
"158","LGF - Livre de Poche","158"
"159","Le Corridor bleu","159"
"160","Gallimard","160"
"161","Actes Sud","161"
"162","Gallimard","162"
"163","Le Livre de Poche","163"
"164","Actes Sud","164"
"165","Karthala","165"
"166","Points","166"
"167","Editions Présence Africaine","167"
"168","Editions L'Harmattan","168"
"169","Editions Livre de Poche","169"
"170","Archipoche","170"
"171","Le Livre de Poche","171"
"172","Folio","172"
"173","Librairie générale française","173"
"174","Le Livre de Poche","174"
"175","Actes Sud Editions","175"
"176","Archipoche","176"
"177","Points","177"
"178","Le Livre de Poche","178"
"179","Le Livre de Poche","179"
"180","Le Livre de Poche","180"
"181","Archipoche","181"
"182","Le Livre de Poche","182"
"183","Editions 84","183"
"184","Pocket","184"
"185","Le Livre de Poche","185"
"186","Folio","186"
"187","Editions Flammarion","187"
"188","Fayard","188"
"189","Le Livre de Poche","189"
"190","Le Livre de Poche","190"
"191","Actes Sud","191"
"192","Pocket","192"
"193","Le Livre de Poche","193"
"194","Le Livre de Poche","194"
"195","Librairie générale française","195"
"196","Gallimard","196"
"197","Pocket","197"
"198","Le Livre de Poche","198"
"199","Librairie générale française","199"
"200","Folio","200"
"201","Le Livre de Poche","201"
"202","Le Livre de Poche","202"
"203","Folio","203"
"204","Le Livre de Poche","204"
"205","L'Arche","205"
"206","Archipoche","206"
"207","Gallimard","207"
"208","Le Livre de Poche","208"
"209","Le Livre de Poche","209"
"210","Folio","210"
"211","Le Livre de Poche","211"
"212","Le Livre de Poche","212"
"213","Folio","213"
"214","10 X 18","214"
"215","Le Livre de Poche","215"
"216","Folio","216"
"217","Le Livre de Poche","217"
"218","Le Livre de Poche","218"
"219","Gallimard","219"
"220","Pocket","220"
"221","Actes Sud","221"
"222","Folio","222"
"223","Le Livre de Poche","223"
"224","Editions Flammarion","224"
"225","Gallimard","225"
"226","10 X 18","226"
"227","Editions Allia","227"
"228","Points","228"
"229","Pocket","229"
"230","Klincksieck","230"
"231","Actes Sud Editions","231"
"232","Folio","232"
"233","Le Livre de Poche","233"
"234","Points","234"
"235","Points","235"
"236","Le Livre de Poche","236"
"237","Le Livre de Poche","237"
"238","Le Livre de Poche","238"
"239","Le Livre de Poche","239"
"240","Presses de la Cité","240"
"241","Robert Laffont","241"
"242","Le Tripode","242"
"243","Folio","243"
"244","Points","244"
"245","Le Livre de Poche","245"
"246","PIRANHA","246"
"247","FLAMMARION","247"
"248","FLAMMARION","248"
"249","Gallimard","249"
"250","LIANA LEVI","250"
"251","Le Seuil","251"
"252","Le Livre de Poche","252"
"253","Grasset","253"
"254","Le Livre de Poche","254"
"255","Mille et Une Nuits","255"
"256","Le Livre de Poche","256"
"257","Points","257"
"258","BOURGOIS","258"
"259","Le Livre de Poche","259"
"260","Pocket","260"
"261","Stock","261"
"262","Seuil","262"
"263","Gallimard","263"
"264","Le Livre de Poche","264"
"265","Christian Bourgois Editeur","265"
"266","Editions Phébus","266"
"267","Gallimard","267"
"268","Gallimard","268"
"269","Anne Carrière","269"
"270","Éditions Anacaona","270"
"271","Folio","271"
"272","Editions Métailié","272"
"273","Gallimard","273"
"274","Gallimard","274"
"275","Anne Carrière","275"
"276","lePetitLitteraire.fr","276"
"277","Feryane Livres en gros caractères","277"
"278","Stock","278"
"279","Fleurus","279"
"280","Temps actuels","280"
"281","Anne-Marie Métailié","281"
"282","Rocco","282"
"283","Anne Carrière","283"
"284","FLAMMARION","284"
"285","Editions Stock.","285"
"286","Métailié","286"
"287","Anne-Marie Métailié","287"
"288","La Découvrance Éditions","288"
"289","Métailié","289"
"290","Hachette Livre BNF","290"
"291","Hachette Livre BNF","291"
"292","Hachette Livre BNF","292"
"293","Hachette Livre BNF","293"
"294","J'ai lu","294"
"295","Métailié","295"
"296","Fleurus","296"
"297","Passage","297"
"298","Anne-Marie Métailié","298"
"299","Seuil (réédition numérique FeniXX)","299"
"300","Stock","300"
"301","Anne-Marie Métailié","301"
"302","Klincksieck","302"
"303","Hachette Livre BNF","303"
"304","Plon","304"
"305","Hachette Livre BNF","305"
"306","Métailié","306"
"307","Presses Universitaires de France (PUF)","307"
"308","Stock","308"
"309","Éditions Anacaona","309"
"310","Fayard/Mille et une nuits","310"
"311","MAGAZINE LITTERAIRE","311"
"312","Hachette Livre BNF","312"
"313","Anne-Marie Métailié","313"
"314","Que Sais Je ? PUF","314"
"315","Gallimard","315"
"316","Rocco","316"
"317","Stock","317"
"318","Les Editions du Rocher","318"
"319","Éditions Anacaona","319"
"320","Editions du Mercure de France","320"
"321","Editions L'Harmattan","321"
"322","Fayard","322"
"323","Rocco","323"
"324","Coffragants","324"
"325","Métailié","325"
"326","Editions de l'Aube","326"
"327","Alinéa","327"
"328","Editions des Femmes","328"
"329","Harlequin","329"
"330","Stock","330"
"331","Stock","331"
"332","Gallimard","332"
"333","L'Age d'Homme","333"
"334","Editions de l'Aube","334"
