"id","Langue","livreID"
"1","Français","1"
"2","Français","2"
"3","Français","3"
"4","Anglais","4"
"5","Français","5"
"6","Anglais","6"
"7","Français","7"
"8","Français","8"
"9","Français","9"
"10","Français","10"
"11","Français","11"
"12","Français","12"
"13","Français","13"
"14","Français","14"
"15","Français","15"
"16","Anglais","16"
"17","Français","17"
"18","Français","18"
"19","Français","19"
"20","Français","20"
"21","Français","21"
"22","Français","22"
"23","Français","23"
"24","Français","24"
"25","Français","25"
"26","Français","26"
"27","Français","27"
"28","Français","28"
"29","Anglais","29"
"30","Français","30"
"31","Français","31"
"32","Anglais","32"
"33","Français","33"
"34","Français","34"
"35","Français","35"
"36","Français","36"
"37","Anglais","37"
"38","Français","38"
"39","Français","39"
"40","Français","40"
"41","Français","41"
"42","Français","42"
"43","Français","43"
"44","Français","44"
"45","Français","45"
"46","Anglais","46"
"47","Français","47"
"48","Anglais","48"
"49","Français","49"
"50","Français","50"
"51","Français","51"
"52","Français","52"
"53","Français","53"
"54","Français","54"
"55","Français","55"
"56","Français","56"
"57","Français","57"
"58","Anglais","58"
"59","Français","59"
"60","Français","60"
"61","Français","61"
"62","Anglais","62"
"63","Français","63"
"64","NULL","64"
"65","Français","65"
"66","Français","66"
"67","Français","67"
"68","Français","68"
"69","Français","69"
"70","Français","70"
"71","Français","71"
"72","Français","72"
"73","Français","73"
"74","Français","74"
"75","Français","75"
"76","Français","76"
"77","Français","77"
"78","Français","78"
"79","Français","79"
"80","Français","80"
"81","Français","81"
"82","Français","82"
"83","Français","83"
"84","Français","84"
"85","Français","85"
"86","Français","86"
"87","Français","87"
"88","Anglais","88"
"89","Français","89"
"90","Français","90"
"91","Français","91"
"92","Français","92"
"93","Français","93"
"94","Français","94"
"95","Français","95"
"96","Français","96"
"97","NULL","97"
"98","Français","98"
"99","Français","99"
"100","Français","100"
"101","Français","101"
"102","Français","102"
"103","Français","103"
"104","Français","104"
"105","Français","105"
"106","Français","106"
"107","Français","107"
"108","Français","108"
"109","Français","109"
"110","NULL","110"
"111","Français","111"
"112","Français","112"
"113","Français","113"
"114","Français","114"
"115","Français","115"
"116","Français","116"
"117","Français","117"
"118","Français","118"
"119","Français","119"
"120","Français","120"
"121","Français","121"
"122","Français","122"
"123","Français","123"
"124","Français","124"
"125","Français","125"
"126","Français","126"
"127","Français","127"
"128","Français","128"
"129","Français","129"
"130","Anglais","130"
"131","Français","131"
"132","Français","132"
"133","Français","133"
"134","Français","134"
"135","Français","135"
"136","Français","136"
"137","Français","137"
"138","Français","138"
"139","Français","139"
"140","Français","140"
"141","Français","141"
"142","Français","142"
"143","Français","143"
"144","NULL","144"
"145","Français","145"
"146","Français","146"
"147","Français","147"
"148","Français","148"
"149","Français","149"
"150","Français","150"
"151","Français","151"
"152","Anglais","152"
"153","Français","153"
"154","Français","154"
