"id","NbrePages10","livreID"
"1","490","1"
"2","530","2"
"3","170","3"
"4","620","4"
"5","620","5"
"6","910","6"
"7","70","7"
"8","2290","8"
"9","250","9"
"10","110","10"
"11","1130","11"
"12","310","12"
"13","300","13"
"14","500","14"
"15","1490","15"
"16","510","16"
"17","510","17"
"18","510","18"
"19","260","19"
"20","480","20"
"21","0","21"
"22","290","22"
"23","860","23"
"24","730","24"
"25","320","25"
"26","100","26"
"27","630","27"
"28","370","28"
"29","610","29"
"30","150","30"
"31","420","31"
"32","320","32"
"33","750","33"
"34","290","34"
"35","350","35"
"36","190","36"
"37","640","37"
"38","290","38"
"39","580","39"
"40","90","40"
"41","340","41"
"42","290","42"
"43","450","43"
"44","470","44"
"45","840","45"
"46","700","46"
"47","1470","47"
"48","2000","48"
"49","510","49"
"50","300","50"
"51","140","51"
"52","170","52"
"53","140","53"
"54","1310","54"
"55","780","55"
"56","90","56"
"57","190","57"
"58","420","58"
"59","130","59"
"60","500","60"
"61","440","61"
"62","340","62"
"63","350","63"
"64","350","64"
"65","420","65"
"66","300","66"
"67","1070","67"
"68","580","68"
"69","170","69"
"70","180","70"
"71","400","71"
"72","530","72"
"73","210","73"
"74","190","74"
"75","1500","75"
"76","190","76"
"77","1410","77"
"78","730","78"
"79","1510","79"
"80","440","80"
"81","160","81"
"82","500","82"
"83","190","83"
"84","380","84"
"85","420","85"
"86","150","86"
"87","420","87"
"88","270","88"
"89","380","89"
"90","180","90"
"91","510","91"
"92","350","92"
"93","190","93"
"94","250","94"
"95","140","95"
"96","370","96"
"97","220","97"
"98","220","98"
"99","340","99"
"100","220","100"
"101","320","101"
"102","220","102"
"103","160","103"
"104","130","104"
"105","0","105"
"106","160","106"
"107","410","107"
"108","280","108"
"109","210","109"
"110","120","110"
"111","140","111"
"112","80","112"
"113","160","113"
"114","480","114"
"115","250","115"
"116","190","116"
"117","110","117"
"118","290","118"
"119","130","119"
"120","160","120"
"121","220","121"
"122","280","122"
"123","260","123"
"124","310","124"
"125","370","125"
"126","160","126"
"127","140","127"
"128","490","128"
"129","320","129"
"130","270","130"
"131","310","131"
"132","150","132"
"133","180","133"
"134","170","134"
"135","210","135"
"136","250","136"
"137","350","137"
"138","300","138"
"139","220","139"
"140","90","140"
"141","240","141"
"142","410","142"
"143","40","143"
"144","50","144"
"145","150","145"
"146","310","146"
"147","130","147"
"148","300","148"
"149","120","149"
"150","320","150"
"151","100","151"
"152","220","152"
"153","190","153"
"154","320","154"
"155","290","155"
"156","200","156"
"157","110","157"
"158","120","158"
"159","100","159"
"160","300","160"
"161","520","161"
"162","210","162"
"163","280","163"
"164","170","164"
"165","140","165"
"166","250","166"
"167","280","167"
"168","240","168"
"169","220","169"
"170","720","170"
"171","280","171"
"172","140","172"
"173","510","173"
"174","130","174"
"175","240","175"
"176","800","176"
"177","190","177"
"178","220","178"
"179","220","179"
"180","130","180"
"181","800","181"
"182","380","182"
"183","160","183"
"184","350","184"
"185","220","185"
"186","770","186"
"187","310","187"
"188","780","188"
"189","980","189"
"190","480","190"
"191","430","191"
"192","550","192"
"193","120","193"
"194","850","194"
"195","220","195"
"196","340","196"
"197","380","197"
"198","220","198"
"199","690","199"
"200","260","200"
"201","130","201"
"202","350","202"
"203","400","203"
"204","100","204"
"205","120","205"
"206","2160","206"
"207","300","207"
"208","340","208"
"209","500","209"
"210","300","210"
"211","250","211"
"212","290","212"
"213","420","213"
"214","510","214"
"215","430","215"
"216","180","216"
"217","290","217"
"218","190","218"
"219","380","219"
"220","510","220"
"221","350","221"
"222","640","222"
"223","250","223"
"224","160","224"
"225","200","225"
"226","190","226"
"227","60","227"
"228","420","228"
"229","360","229"
"230","890","230"
"231","300","231"
"232","100","232"
"233","340","233"
"234","500","234"
"235","160","235"
"236","130","236"
"237","390","237"
"238","570","238"
"239","290","239"
"240","370","240"
"241","580","241"
"242","600","242"
"243","790","243"
"244","650","244"
"245","670","245"
"246","930","246"
"247","420","247"
"248","570","248"
"249","220","249"
"250","670","250"
"251","750","251"
"252","120","252"
"253","120","253"
"254","620","254"
"255","130","255"
"256","1130","256"
"257","1310","257"
"258","180","258"
"259","160","259"
"260","350","260"
"261","570","261"
"262","220","262"
"263","950","263"
"264","260","264"
"265","190","265"
"266","220","266"
"267","370","267"
"268","350","268"
"269","280","269"
"270","220","270"
"271","210","271"
"272","160","272"
"273","190","273"
"274","860","274"
"275","250","275"
"276","40","276"
"277","410","277"
"278","430","278"
"279","190","279"
"280","0","280"
"281","210","281"
"282","0","282"
"283","290","283"
"284","0","284"
"285","0","285"
"286","220","286"
"287","200","287"
"288","140","288"
"289","310","289"
"290","80","290"
"291","280","291"
"292","130","292"
"293","70","293"
"294","150","294"
"295","270","295"
"296","190","296"
"297","400","297"
"298","300","298"
"299","190","299"
"300","320","300"
"301","220","301"
"302","320","302"
"303","370","303"
"304","670","304"
"305","280","305"
"306","320","306"
"307","0","307"
"308","0","308"
"309","160","309"
"310","100","310"
"311","0","311"
"312","270","312"
"313","170","313"
"314","0","314"
"315","510","315"
"316","0","316"
"317","340","317"
"318","200","318"
"319","190","319"
"320","160","320"
"321","270","321"
"322","80","322"
"323","0","323"
"324","0","324"
"325","340","325"
"326","330","326"
"327","270","327"
"328","300","328"
"329","160","329"
"330","130","330"
"331","320","331"
"332","180","332"
"333","340","333"
"334","0","334"
"335","120","335"
"336","280","336"
"337","180","337"
"338","180","338"
"339","0","339"
"340","0","340"
"341","310","341"
"342","170","342"
"343","320","343"
"344","180","344"
"345","140","345"
"346","230","346"
"347","0","347"
"348","0","348"
"349","0","349"
"350","0","350"
"351","190","351"
"352","0","352"
"353","0","353"
"354","0","354"
"355","0","355"
"356","0","356"
"357","0","357"
"358","0","358"
"359","0","359"
"360","0","360"
"361","0","361"
"362","0","362"
"363","0","363"
"364","0","364"
"365","0","365"
"366","0","366"
"367","360","367"
"368","190","368"
"369","250","369"
"370","450","370"
"371","190","371"
"372","1150","372"
"373","570","373"
"374","440","374"
"375","960","375"
"376","170","376"
"377","150","377"
"378","670","378"
"379","240","379"
"380","120","380"
"381","380","381"
"382","440","382"
"383","1310","383"
"384","380","384"
"385","220","385"
"386","1020","386"
"387","220","387"
"388","350","388"
"389","3280","389"
"390","100","390"
"391","2880","391"
"392","280","392"
"393","230","393"
"394","180","394"
"395","380","395"
"396","900","396"
"397","240","397"
"398","440","398"
"399","220","399"
"400","110","400"
"401","190","401"
"402","430","402"
"403","640","403"
"404","270","404"
"405","340","405"
"406","200","406"
"407","540","407"
"408","590","408"
"409","240","409"
"410","660","410"
"411","320","411"
"412","160","412"
"413","110","413"
"414","450","414"
"415","550","415"
"416","280","416"
"417","390","417"
"418","860","418"
"419","780","419"
"420","780","420"
"421","510","421"
"422","530","422"
"423","290","423"
"424","380","424"
"425","310","425"
"426","330","426"
"427","350","427"
"428","480","428"
"429","190","429"
"430","520","430"
"431","220","431"
"432","160","432"
"433","370","433"
"434","250","434"
"435","300","435"
"436","220","436"
"437","340","437"
"438","220","438"
"439","120","439"
"440","270","440"
"441","820","441"
"442","510","442"
"443","120","443"
"444","510","444"
"445","100","445"
"446","480","446"
"447","610","447"
"448","440","448"
"449","410","449"
"450","370","450"
"451","1200","451"
"452","450","452"
"453","240","453"
"454","220","454"
"455","1070","455"
"456","210","456"
"457","540","457"
"458","990","458"
"459","260","459"
"460","660","460"
"461","240","461"
"462","380","462"
"463","480","463"
"464","180","464"
"465","180","465"
"466","190","466"
"467","610","467"
"468","160","468"
"469","220","469"
"470","140","470"
"471","380","471"
"472","460","472"
"473","320","473"
"474","490","474"
"475","240","475"
"476","260","476"
"477","250","477"
"478","250","478"
"479","250","479"
"480","380","480"
"481","130","481"
"482","480","482"
"483","240","483"
"484","290","484"
"485","370","485"
"486","2070","486"
"487","460","487"
"488","210","488"
"489","190","489"
"490","210","490"
"491","100","491"
"492","90","492"
"493","190","493"
"494","290","494"
"495","110","495"
