"id","NoeudNom","livreID"
"1","Livres de référence","1"
"3","Livres de référence","2"
"5","Critiques, analyses et essais","3"
"6","Folio Classique","4"
"7","Livres de référence","5"
"9","Folio Classique","6"
"10","Poésie","7"
"14","Brochés (grands formats)","8"
"15","Livres de référence","9"
"17","Antiquité","10"
"19","Brochés (grands formats)","11"
"20","Critiques, analyses et essais","12"
"21","Critiques, analyses et essais","13"
"22","Folio","14"
"23","Tous les titres","15"
"24","Folio","16"
"25","Livres de référence","17"
"27","Homère","18"
"29","Auteurs de A à Z","19"
"30","Folio Classique","20"
"31","Théâtre","21"
"36","Antiquité","22"
"38","Livres de référence","23"
"40","Critiques, analyses et essais","24"
"41","Chercher au Coeur!","25"
"42","Livres de référence","26"
"44","Livres de référence","27"
"46","Livres de référence","28"
"48","Folio Classique","29"
"49","Livres de référence","30"
"51","Critiques, analyses et essais","31"
"52","Folio Classique","32"
"53","Livres de référence","33"
"55","Critiques, analyses et essais","34"
"56","Critiques, analyses et essais","35"
"57","Quadrige par thèmes","36"
"58","Folio","37"
"59","Critiques, analyses et essais","38"
"60","Classiques","39"
"62","Brochés (grands formats)","40"
"63","Chercher au Coeur!","41"
"64","Littérature et arts","42"
"65","Livres de référence","43"
"67","Critiques, analyses et essais","44"
"68","Brochés (grands formats)","45"
"69","Brochés (grands formats)","46"
"70","Brochés (grands formats)","47"
"71","Théâtre","48"
"76","Correspondances et mémoires","49"
"78","Livres de référence","50"
"80","Livres de référence","51"
"82","Critiques, analyses et essais","52"
"83","Chercher au Coeur!","53"
"84","Antiquité","54"
"86","Poésie","55"
"90","Théâtre","56"
"95","Dictionnaires, langues et encyclopédies","57"
"97","Folio Classique","58"
"98","Livres de référence","59"
"100","Livres de référence","60"
"102","Livres de référence","61"
"104","Folio Classique","62"
"105","Gestion","63"
"106","Biographies","64"
"112","Critiques, analyses et essais","65"
"113","Livres de référence","66"
"115","Encyclopédies et dictionnaires thématiques","67"
"117","Folio","68"
"118","Livres de référence","69"
"120","Livres de référence","70"
"122","Brochés (grands formats)","71"
"123","Livres de référence","72"
"125","Livres de référence","73"
"127","Livres de référence","74"
"129","Tous les titres","75"
"130","Livres de référence","76"
"132","Brochés (grands formats)","77"
"133","Livres de référence","78"
"135","Livres de référence","79"
"137","Brochés (grands formats)","80"
"138","Brochés (grands formats)","81"
"139","Littérature africaine","82"
"140","Art, Musique et Cinéma","83"
"143","Littérature africaine","84"
"144","Littérature","85"
"152","Littérature africaine","86"
"153","Brochés (grands formats)","87"
"154","Littérature anglaise","88"
"156","Brochés (grands formats)","89"
"157","Brochés (grands formats)","90"
"158","Littérature anglaise","91"
"160","Littérature africaine","92"
"161","Littérature","93"
"169","Brochés (grands formats)","94"
"170","Littérature africaine","95"
"171","Brochés (grands formats)","96"
"172","Littérature française","97"
"175","Littérature africaine","98"
"176","Littérature africaine","99"
"177","Littérature","100"
"185","Afrique noire","101"
"186","Brochés (grands formats)","102"
"187","Littérature","103"
"195","Afrique noire","104"
"196","Littérature africaine","105"
"197","Littérature africaine","106"
"198","Littérature africaine","107"
"199","Littérature","108"
"207","Littérature africaine","109"
"208","Bandes dessinées","110"
"213","Littérature africaine","111"
"214","Afrique noire","112"
"215","Littérature","113"
"223","Littérature étrangère","114"
"224","Littérature française","115"
"227","Littérature étrangère","116"
"228","Littérature française","117"
"231","Littérature africaine","118"
"232","Littérature française","119"
"235","Littérature africaine","120"
"236","Afrique noire","121"
"237","Littérature africaine","122"
"238","Littérature africaine","123"
"239","Littérature étrangère","124"
"240","XXe siècle","125"
"245","Afrique noire","126"
"246","Littérature africaine","127"
"247","Littérature africaine","128"
"248","Littérature","129"
"256","Littérature","130"
"264","Afrique noire","131"
"265","Littérature africaine","132"
"266","Littérature africaine","133"
"267","Littérature française","134"
"270","Littérature africaine","135"
"271","Afrique noire","136"
"272","Littérature française","137"
"275","Littérature africaine","138"
"276","Littérature africaine","139"
"277","Littérature africaine","140"
"278","Afrique noire","141"
"279","Afrique noire","142"
"280","Littérature africaine","143"
"281","Littérature africaine","144"
"282","Littérature africaine","145"
"283","Dictionnaires, langues et encyclopédies","146"
"285","Littérature africaine","147"
"286","Littérature française","148"
"289","Afrique noire","149"
"290","Littérature africaine","150"
"291","Brochés (grands formats)","151"
"292","Afrique noire","152"
"293","Littérature africaine","153"
"294","Afrique noire","154"
"295","Littérature africaine","155"
"296","Littérature africaine","156"
"297","Littérature française","157"
"300","Littérature africaine","158"
"301","Littérature africaine","159"
"302","Littérature africaine","160"
"303","Essais, documents et biographies","161"
"304","Afrique noire","162"
"305","Prix Nobel de littérature","163"
"306","Littérature africaine","164"
"307","Littérature africaine","165"
"308","Littérature anglaise","166"
"310","Afrique noire","167"
"311","Littérature africaine","168"
"312","Littérature allemande","169"
"313","Littérature allemande","170"
"314","Littérature allemande","171"
"315","Folio Classique","172"
"316","Littérature allemande","173"
"317","Littérature allemande","174"
"318","Littérature allemande","175"
"319","Littérature allemande","176"
"320","Histoire","177"
"330","Littérature allemande","178"
"331","Littérature allemande","179"
"332","Littérature allemande","180"
"333","Littérature allemande","181"
"334","Littérature allemande","182"
"335","Littérature française","183"
"338","Littérature","184"
"346","Littérature allemande","185"
"347","Folio","186"
"348","Littérature allemande","187"
"349","Littérature allemande","188"
"350","Littérature allemande","189"
"351","Littérature allemande","190"
"352","Brochés (grands formats)","191"
"353","Littérature","192"
"361","Littérature allemande","193"
"362","Littérature allemande","194"
"363","Littérature allemande","195"
"364","Littérature allemande","196"
"365","Littérature","197"
"373","Littérature allemande","198"
"374","Littérature allemande","199"
"375","Folio","200"
"376","Littérature allemande","201"
"377","Littérature allemande","202"
"378","Brochés (grands formats)","203"
"379","Littérature allemande","204"
"380","Littérature allemande","205"
"381","Littérature allemande","206"
"382","Littérature allemande","207"
"383","Littérature allemande","208"
"384","Littérature allemande","209"
"385","Folio","210"
"386","Littérature allemande","211"
"387","Littérature allemande","212"
"388","Folio Classique","213"
"389","Brochés (grands formats)","214"
"390","Littérature allemande","215"
"391","Brochés (grands formats)","216"
"392","Littérature allemande","217"
"393","Littérature allemande","218"
"394","Kafka, Franz","219"
"395","Littérature","220"
"403","Littérature étrangère","221"
"404","Folio","222"
"405","Littérature allemande","223"
"406","Littérature allemande","224"
"407","Littérature allemande","225"
"408","Brochés (grands formats)","226"
"409","Brochés (grands formats)","227"
"410","Littérature allemande","228"
"411","Littérature","229"
"419","Littérature allemande","230"
"420","Littérature étrangère","231"
"421","Kafka, Franz","232"
"422","Littérature allemande","233"
"423","Littérature allemande","234"
"424","Littérature","235"
"432","Littérature allemande","236"
"433","Littérature allemande","237"
"434","Brochés (grands formats)","238"
"435","Littérature allemande","239"
"436","Littérature allemande","240"
"437","Littérature allemande","241"
"438","Littérature allemande","242"
"439","Folio","243"
"440","Littérature","244"
"448","Littérature allemande","245"
"449","Littérature allemande","246"
"450","Dictionnaires, langues et encyclopédies","247"
"452","Littérature allemande","248"
"453","Kafka, Franz","249"
"454","Littérature allemande","250"
"455","Littérature allemande","251"
"456","Littérature allemande","252"
"457","Littérature allemande","253"
"458","Littérature allemande","254"
"459","Littérature allemande","255"
"460","Littérature allemande","256"
"461","Littérature allemande","257"
"462","Littérature allemande","258"
"463","Littérature allemande","259"
"464","Littérature","260"
"472","Littérature allemande","261"
"473","Littérature","262"
"481","Littérature allemande","263"
"482","Littérature allemande","264"
"483","Littérature allemande","265"
"484","Perutz, Leo","266"
"485","Folio","267"
"486","Littérature brésilienne","268"
"487","Coelho, Paulo","269"
"488","Littérature brésilienne","270"
"489","Folio","271"
"490","Littérature brésilienne","272"
"491","Folio","273"
"492","Folio","274"
"493","Coelho, Paulo","275"
"494","Littérature brésilienne","276"
"495","Littérature française","277"
"498","Littérature brésilienne","278"
"499","Littérature française","279"
"502","Littérature brésilienne","280"
"503","Littérature brésilienne","281"
"504","Coelho, Paulo","282"
"505","Coelho, Paulo","283"
"506","Littérature brésilienne","284"
"507","Littérature brésilienne","285"
"508","Romans et littérature","286"
"509","Littérature brésilienne","287"
"510","Littérature brésilienne","288"
"511","Littérature brésilienne","289"
"512","Littérature brésilienne","290"
"513","Boutiques","291"
"514","Littérature brésilienne","292"
"515","Littérature brésilienne","293"
"516","Littérature et romans","294"
"517","Littérature brésilienne","295"
"518","Littérature française","296"
"521","Littérature brésilienne","297"
"522","Littérature brésilienne","298"
"523","Francophonie","299"
"524","Littérature brésilienne","300"
"525","Brochés (grands formats)","301"
"526","Chercher au Coeur!","302"
"527","Littérature brésilienne","303"
"528","Francophonie","304"
"529","Littérature brésilienne","305"
"530","Littérature brésilienne","306"
"531","Littérature brésilienne","307"
"532","Littérature brésilienne","308"
"533","Littérature brésilienne","309"
"534","Littérature brésilienne","310"
"535","Littérature brésilienne","311"
"536","Littérature brésilienne","312"
"537","Littérature brésilienne","313"
"538","Littérature brésilienne","314"
"539","Folio","315"
"540","Coelho, Paulo","316"
"541","Littérature brésilienne","317"
"542","Boutiques","318"
"543","Littérature brésilienne","319"
"544","Littérature française","320"
"547","Essais","321"
"553","Littérature brésilienne","322"
"554","Coelho, Paulo","323"
"555","Littérature brésilienne","324"
"556","Littérature brésilienne","325"
"557","Littérature française","326"
"560","Littérature brésilienne","327"
"561","Littérature brésilienne","328"
"562","Littérature brésilienne","329"
"563","Littérature brésilienne","330"
"564","Littérature brésilienne","331"
"565","Littérature brésilienne","332"
"566","Langues étrangères","333"
"567","Littérature brésilienne","334"
"568","Littérature brésilienne","335"
"569","Littérature brésilienne","336"
"570","Littérature brésilienne","337"
"571","Littérature brésilienne","338"
"572","Autres littératures étrangères","339"
"574","Littérature brésilienne","340"
"575","Francophonie","341"
"576","Francophonie","342"
"577","Théâtre","343"
"582","Littérature brésilienne","344"
"583","Littérature brésilienne","345"
"584","Théâtre","346"
"589","Littérature brésilienne","347"
"590","Littérature brésilienne","348"
"591","Littérature française","349"
"594","Littérature brésilienne","350"
"595","Littérature brésilienne","351"
"596","Littérature brésilienne","352"
"597","Littérature brésilienne","353"
"598","Littérature brésilienne","354"
"599","Littérature brésilienne","355"
"600","Littérature brésilienne","356"
"601","Littérature brésilienne","357"
"602","Littérature brésilienne","358"
"603","Malko Linge","359"
"604","Littérature brésilienne","360"
"605","Littérature brésilienne","361"
"606","Littérature brésilienne","362"
"607","Littérature brésilienne","363"
"608","Littérature brésilienne","364"
"609","Littérature brésilienne","365"
"610","Littérature brésilienne","366"
"611","Littérature chinoise","367"
"612","Littérature chinoise","368"
"613","Brochés (grands formats)","369"
"614","Littérature chinoise","370"
"615","Essais","371"
