"id","SalesRank10","livreID"
"1","0","1"
"2","150","2"
"3","143270","3"
"4","1130","4"
"5","135750","5"
"6","4210","6"
"7","230700","7"
"8","61030","8"
"9","6510","9"
"10","45050","10"
"11","40060","11"
"12","2740","12"
"13","578630","13"
"14","10390","14"
"15","75830","15"
"16","7900","16"
"17","4400","17"
"18","3470","18"
"19","5270","19"
"20","68360","20"
"21","561080","21"
"22","27270","22"
"23","19790","23"
"24","165910","24"
"25","2280","25"
"26","33540","26"
"27","154070","27"
"28","2120","28"
"29","3720","29"
"30","12280","30"
"31","157040","31"
"32","10210","32"
"33","137500","33"
"34","163030","34"
"35","28380","35"
"36","35420","36"
"37","40250","37"
"38","128600","38"
"39","28960","39"
"40","2410","40"
"41","112330","41"
"42","100830","42"
"43","130390","43"
"44","12410","44"
"45","70230","45"
"46","98170","46"
"47","180280","47"
"48","54840","48"
"49","36560","49"
"50","40550","50"
"51","70910","51"
"52","9370","52"
"53","3980","53"
"54","11250","54"
"55","71360","55"
"56","79580","56"
"57","15180","57"
"58","60030","58"
"59","72440","59"
"60","270560","60"
"61","2210","61"
"62","33510","62"
"63","480","63"
"64","62490","64"
"65","1390","65"
"66","223940","66"
"67","27980","67"
"68","31600","68"
"69","164200","69"
"70","55780","70"
"71","84700","71"
"72","40560","72"
"73","17770","73"
"74","9940","74"
"75","185680","75"
"76","82780","76"
"77","228400","77"
"78","53060","78"
"79","225940","79"
"80","12010","80"
"81","7880","81"
"82","135250","82"
"83","76370","83"
"84","11000","84"
"85","29340","85"
"86","9580","86"
"87","32760","87"
"88","2900","88"
"89","14840","89"
"90","57350","90"
"91","43990","91"
"92","152970","92"
"93","57600","93"
"94","95000","94"
"95","248460","95"
"96","204850","96"
"97","660010","97"
"98","164280","98"
"99","667750","99"
"100","84890","100"
"101","437620","101"
"102","168090","102"
"103","45200","103"
"104","387850","104"
"105","376900","105"
"106","90070","106"
"107","162590","107"
"108","113190","108"
"109","93300","109"
"110","151070","110"
"111","414910","111"
"112","523970","112"
"113","76700","113"
"114","118780","114"
"115","359440","115"
"116","275180","116"
"117","408070","117"
"118","412450","118"
"119","546210","119"
"120","357210","120"
"121","163300","121"
"122","232730","122"
"123","647890","123"
"124","94260","124"
"125","529210","125"
"126","322530","126"
"127","288440","127"
"128","469910","128"
"129","164890","129"
"130","135300","130"
"131","119730","131"
"132","696800","132"
"133","247400","133"
"134","115630","134"
"135","528710","135"
"136","424220","136"
"137","302440","137"
"138","360580","138"
"139","308050","139"
"140","251630","140"
"141","472620","141"
"142","794980","142"
"143","729420","143"
"144","295240","144"
"145","593080","145"
"146","444340","146"
"147","606950","147"
"148","437480","148"
"149","882080","149"
"150","452380","150"
"151","316060","151"
"152","37460","152"
"153","1316970","153"
"154","694140","154"
"155","366300","155"
"156","676580","156"
"157","126440","157"
"158","636840","158"
"159","246270","159"
"160","345920","160"
"161","318670","161"
"162","650270","162"
"163","385320","163"
"164","158590","164"
"165","171280","165"
"166","49900","166"
"167","517150","167"
"168","1045220","168"
"169","710","169"
"170","340","170"
"171","520","171"
"172","390","172"
"173","3150","173"
"174","360","174"
"175","9890","175"
"176","4080","176"
"177","33390","177"
"178","8700","178"
"179","1530","179"
"180","1810","180"
"181","2060","181"
"182","6920","182"
"183","27240","183"
"184","9010","184"
"185","7200","185"
"186","2310","186"
"187","9640","187"
"188","33910","188"
"189","1230","189"
"190","11970","190"
"191","49130","191"
"192","26300","192"
"193","2040","193"
"194","14390","194"
