"anneeDebutID","anneeDebut"
"1","0"
"2","1929"
"3","1930"
"4","1933"
"5","1934"
"6","1935"
"7","1936"
"8","1937"
"9","1938"
"10","1939"
"11","1940"
"12","1941"
"13","1942"
"14","1943"
"15","1944"
"16","1946"
"17","1947"
"18","1948"
"19","1949"
"20","1950"
"21","1951"
"22","1952"
"23","1953"
"24","1954"
"25","1955"
"26","1956"
"27","1957"
"28","1958"
"29","1959"
"30","1960"
"31","1961"
"32","1962"
"33","1963"
"34","1964"
"35","1965"
"36","1966"
"37","1967"
"38","1968"
"39","1969"
"40","1970"
"41","1971"
"42","1972"
"43","1973"
"44","1974"
"45","1975"
"46","1976"
"47","1977"
"48","1978"
"49","1979"
"50","1980"
"51","1981"
"52","1982"
"53","1983"
"54","1984"
"55","1985"
"56","1986"
"57","1987"
"58","1988"
"59","1989"
"60","1990"
"61","1991"
"62","1992"
"63","1993"
"64","1994"
"65","1995"
"66","1996"
"67","1997"
"68","1998"
"69","1999"
"70","2000"
"71","2001"
"72","2002"
"73","2003"
"74","2004"
"75","2005"
"76","2006"
"77","2007"
"78","2008"
"79","2009"
"80","2010"
"81","2011"
"82","2012"
"83","2013"
"84","2014"
"85","2015"
"86","2016"
"87","2017"
"88","2018"
"89","2019"
"90","2020"
