"chaineID","chaine"
"1","0"
"2","13?me Rue"
"3","6ter"
"4","A&E"
"5","AB1"
"6","ABC"
"7","ABC TV"
"8","ABC2"
"9","Amazon"
"10","Amazon Prime Instant Video"
"11","AMC"
"12","ANIMAL PLANET"
"13","Animax"
"14","Antena 3"
"15","Antena. NEOX"
"16","APTN"
"17","ARD"
"18","Arte"
"19","Arte (Deutschland)"
"20","Atv"
"21","Audience Network"
"22","AXN"
"23","AXN White"
"24","Bayern 3"
"25","BBC"
"26","BBC America"
"27","BBC Three"
"28","BBC Two"
"29","BBC2 (north)"
"30","BBC4"
"31","BET"
"32","Blackpills"
"33","BNN"
"34","Bounce TV"
"35","Bravo"
"36","BS-i"
"37","C Star"
"38","C8"
"39","Canal +"
"40","Canal + D?cal?"
"41","Canal + Espa?a"
"42","Canal + Family"
"43","Canal 13"
"44","Canal J"
"45","Canale 5"
"46","Cartoon Network"
"47","Cartoon Network US"
"48","CBBC"
"49","CBC"
"50","CBS"
"51","Ch?rie 25"
"52","Channel 10"
"53","Channel 2"
"54","Channel 4"
"55","Channel 5"
"56","Chiba TV"
"57","Chiller"
"58","Cin? + Club"
"59","Cine 5"
"60","Cinemax"
"61","City TV"
"62","CMT"
"63","Cnbc-E"
"64","Com?die+"
"65","Comedy Central"
"66","Comedy Central (UK)"
"67","Crackle"
"68","crtvg"
"69","CTV"
"70","Cuatro"
"71","Current TV"
"72","CW"
"73","CW Seed"
"74","Das Erste"
"75","Das Vierte"
"76","Dave"
"77","Direct TV"
"78","Discovery Channel (USA)"
"79","Discovery Kids"
"80","Disney Channel (UK)"
"81","Disney Channel France"
"82","Disney Channel Italia"
"83","Disney Channel Spain"
"84","Disney Channel US"
"85","Disney Junior"
"86","Disney Junior France"
"87","Disney XD France"
"88","Disney XD US"
"89","DR1"
"90","E!"
"91","E4"
"92","El Rey"
"93","Epix"
"94","ESPN"
"95","ETV"
"96","Family (CA)"
"97","Five"
"98","FOX"
"99","Fox TV"
"100","Fox TV Espa?a"
"101","Foxtel"
"102","France 2"
"103","France 3"
"104","France 4"
"105","France 5"
"106","France ?"
"107","Freeform"
"108","Fuji Television"
"109","FX"
"110","FXX"
"111","Global TV"
"112","Gold"
"113","Gulli"
"114","Hallmark Channel"
"115","HBO"
"116","HBO Canada"
"117","HBO Latin America"
"118","HD1"
"119","Hecht/Hill/Lancaster"
"120","Here!"
"121","History"
"122","Hot (IL)"
"123","Hulu"
"124","IFC - Independent Film Channel"
"125","Investigation Discovery"
"126","Italia 1"
"127","ITV"
"128","ITV2"
"129","J-One"
"130","Jimmy"
"131","June"
"132","KANAL 7"
"133","Kanal D"
"134","KI.KA"
"135","Kids' WB"
"136","KRO"
"137","La cinq"
"138","La Sexta"
"139","Lifetime"
"140","LMN"
"141","Logo"
"142","M6"
"143","Max Smart"
"144","MCE TV"
"145","MCM"
"146","Movie Central"
"147","Moviemax Family"
"148","MTV France"
"149","MTV US"
"150","Munhwa Broadcasting Corporation"
"151","MyNetwork TV"
"152","MYTF1 XTRA"
"153","National Geographic Channel"
"154","NBC"
"155","NDR Fernsehen"
"156","Netflix"
"157","Netflix France"
"158","Network 10"
"159","New Form Digital"
"160","NHK"
"161","Nickelodeon FR"
"162","Nickelodeon US"
"163","Nine"
"164","Nolife"
"165","NRJ 12"
"166","NRJ Paris"
"167","NRK"
"168","NT1"
"169","NTV"
"170","OCS Choc"
"171","OCS City"
"172","OCS Happy"
"173","OCS Max"
"174","ORF"
"175","ORTF - 1?re Chaine"
"176","ORTF - 2?me chaine"
"177","OWN"
"178","Paramount Comedy"
"179","PBS"
"180","PlayStation"
"181","Pop"
"182","ProSieben"
"183","Public S?nat"
"184","Radio-Canada"
"185","Rai"
"186","Rede Globo"
"187","ReelzChannel"
"188","RTBF"
"189","RTE One"
"190","RTL"
"191","RTL II"
"192","RTL-TVI"
"193","RTL.nl"
"194","RTL9"
"195","RTS"
"196","SABC1"
"197","Samanyolu"
"198","Sat.1"
"199","Sat.1 Comedy"
"200","Sat1"
"201","SBS"
"202","SBS TV"
"203","Seeso"
"204","serieclub"
"205","Seven Network"
"206","SFR Play"
"207","Show Tv"
"208","Showcase"
"209","Showtime"
"210","Sky Arts"
"211","Sky Atlantic"
"212","Sky Cinema"
"213","Sky Living"
"214","Sky One"
"215","SOAPnet"
"216","Space"
"217","Spike TV"
"218","Stan"
"219","STAR"
"220","Starz"
"221","Studio +"
"222","Studio 4"
"223","Sundance Channel US"
"224","Super RTL"
"225","SVT"
"226","SWR Fernsehen"
"227","Syfy France"
"228","SyFy US"
"229","Syndication"
"230","T?l?-Qu?bec"
"231","T?l?nantes"
"232","T?rkmax"
"233","T?va"
"234","Tao Due"
"235","TBS"
"236","TBS Japon"
"237","TeenNick"
"238","Telecinco"
"239","Telemundo"
"240","Teletoon (Canada)"
"241","Televisa"
"242","Ten"
"243","TF1"
"244","TF6"
"245","The Hub"
"246","The Movie Network"
"247","The N"
"248","TIJI"
"249","TLC"
"250","TLP"
"251","TMC"
"252","TNT"
"253","TNT Serie"
"254","Trt 1"
"255","TSR1"
"256","TV Asahi"
"257","TV Land"
"258","TV One"
"259","TV P?blica"
"260","TV Tokyo"
"261","TV2"
"262","TV3 - Catalu?a"
"263","TV3 - New Zealand"
"264","TV4 Sweden"
"265","TV5 Monde"
"266","TVA"
"267","TVE1"
"268","TVE2"
"269","tvN"
"270","TVNZ"
"271","UPN"
"272","USA"
"273","VH1"
"274","VPRO"
"275","VT4"
"276","W9"
"277","WB"
"278","WDR Fernsehen"
"279","WE tv"
"280","WGN america"
"281","Wowow"
"282","Xbox"
"283","Ye?il?am Smart"
"284","YouTube"
"285","YouTube Red"
"286","YTV"
"287","ZDF"
"288","ZDFneo"
"289","[adult swim]"
