"createurID","createur"
"15","0"
"3240","0"
"4804","0"
"5150","0"
"5215","0"
"685","A.I. Bezzerides"
"3018","Aaron Casey"
"2793","Aaron Colom"
"2093","Aaron Fa'aoso"
"5170","Aaron Greenberg"
"2102","Aaron Guzikowski"
"3170","Aaron Harberts"
"4532","Aaron Harberts"
"4333","Aaron Horvath"
"2725","Aaron Kaplan"
"4531","Aaron Kaplan"
"1373","Aaron Korsh"
"803","Aaron Martin"
"2290","Aaron McGruder"
"4675","Aaron Rahsaan Thomas"
"1376","Aaron Ruben"
"1548","Aaron Shure"
"52","Aaron Sorkin"
"292","Aaron Spelling"
"2313","Aaron Tracy"
"2042","Aaron Zelman"
"1760","Abbi Jacobson"
"744","Abby Kohn"
"219","Abby Mann"
"4797","Abdel Raouf Dafri"
"1560","Abdullah O?uz"
"1521","Abi Morgan"
"5219","Abigail Wilson"
"863","Abraham Higginbotham"
"5041","Adam Armus"
"2783","Adam Barr"
"4448","Adam Beechen"
"2751","Adam Brooks"
"2157","Adam Cayton-Holland"
"894","Adam Chase"
"2469","Adam Cooper"
"964","Adam Countee"
"1315","Adam Devine"
"1516","Adam F. Goldberg"
"4527","Adam F. Goldberg"
"1076","Adam Giaudrone"
"800","Adam Green"
"4823","Adam Haight"
"1503","Adam Horowitz"
"5193","Adam Horowitz"
"4400","Adam Kay"
"2101","Adam McKay"
"1916","Adam Milch"
"2569","Adam Nussdorf"
"2757","Adam Price"
"3814","Adam Rapp"
"1217","Adam Reed (III)"
"1652","Adam Rifkin"
"3060","Adam Sanderson"
"4452","Adam Sanderson"
"2587","Adam Scott"
"4246","Adam Simon"
"4302","Adam Stein"
"2056","Adam Sztykiel"
"4228","Adam Zwar"
"2280","Adi Hasak"
"1945","Adil Ray"
"5197","Adolfo Valor"
"4310","Adrian Cruz"
"3014","Adrián García Bogliano"
"1897","Adrian Hodges"
"3521","Adrian Hodges"
"1080","Adrian Suar"
"2339","Adrian Wenner"
"2314","Adriano Civita"
"4576","Adriano Valentini"
"4666","Adrienne Mitchell"
"3492","Agathe Robilliard"
"466","Agnes Nixon"
"2112","agniezska Holland"
"2620","AJ Carothers"
"1273","Ajay Sahgal"
"2585","Akira Toriyama"
"1547","Akiva Goldsman"
"809","Al Jean"
"4665","Al Septien"
"2091","Alain Agat"
"4869","Alain Degove"
"3356","Alain Kappauf"
"4825","Alain Kappauf"
"3443","Alain Krief"
"3428","Alain Layrac"
"3419","Alain Minier"
"391","Alain Page"
"3442","Alain Robillard"
"3148","Alain Tasma"
