"date_sortieID","date_sortie"
"1","0000-00-00"
"2","1928-05-15"
"3","1930-08-09"
"4","1935-03-02"
"5","1937-04-17"
"6","1937-11-20"
"7","1937-11-26"
"8","1938-03-21"
"9","1939-03-17"
"10","1939-09-02"
"11","1940-02-10"
"12","1940-03-15"
"13","1941-12-27"
"14","1943-03-20"
"15","1943-04-02"
"16","1946-10-26"
"17","1946-11-26"
"18","1948-07-27"
"19","1948-11-07"
"20","1949-09-15"
"21","1950-03-12"
"22","1950-07-23"
"23","1950-09-05"
"24","1950-09-11"
"25","1950-09-12"
"26","1951-04-05"
"27","1951-06-07"
"28","1951-09-03"
"29","1951-09-10"
"30","1951-09-16"
"31","1951-09-24"
"32","1951-10-15"
"33","1951-12-16"
"34","1951-12-30"
"35","1952-03-05"
"36","1952-03-06"
"37","1952-06-16"
"38","1952-06-30"
"39","1952-07-18"
"40","1952-09-13"
"41","1952-09-19"
"42","1952-10-01"
"43","1952-10-03"
"44","1952-10-15"
"45","1952-10-30"
"46","1952-11-06"
"47","1952-12-05"
"48","1953-01-01"
"49","1953-01-02"
"50","1953-02-01"
"51","1953-02-02"
"52","1953-06-26"
"53","1953-09-20"
"54","1953-09-29"
"55","1953-10-01"
"56","1953-10-02"
"57","1953-10-27"
"58","1954-01-01"
"59","1954-01-23"
"60","1954-02-01"
"61","1954-03-11"
"62","1954-04-10"
"63","1954-07-13"
"64","1954-08-28"
"65","1954-09-07"
"66","1954-09-12"
"67","1954-09-21"
"68","1954-10-01"
"69","1954-10-03"
"70","1954-10-04"
"71","1954-10-27"
"72","1954-12-15"
"73","1955-01-19"
"74","1955-03-01"
"75","1955-04-16"
"76","1955-09-06"
"77","1955-09-10"
"78","1955-09-20"
"79","1955-09-23"
"80","1955-09-28"
"81","1955-10-01"
"82","1955-10-02"
"83","1955-10-03"
"84","1955-10-04"
"85","1955-10-07"
"86","1955-10-31"
"87","1956-02-10"
"88","1956-04-02"
"89","1956-06-24"
"90","1956-07-03"
"91","1956-09-07"
"92","1956-09-08"
"93","1956-09-14"
"94","1956-09-25"
"95","1956-10-02"
"96","1956-10-05"
"97","1957-02-04"
"98","1957-03-05"
"99","1957-03-18"
"100","1957-04-02"
"101","1957-04-03"
"102","1957-07-01"
"103","1957-07-12"
"104","1957-09-14"
"105","1957-09-15"
"106","1957-09-17"
"107","1957-09-18"
"108","1957-09-20"
"109","1957-09-21"
"110","1957-09-22"
"111","1957-09-23"
"112","1957-09-24"
"113","1957-09-26"
"114","1957-10-03"
"115","1957-10-04"
"116","1957-10-07"
"117","1957-10-08"
"118","1957-10-10"
"119","1957-10-16"
"120","1957-10-18"
"121","1957-11-01"
"122","1957-11-06"
"123","1958-01-01"
"124","1958-01-05"
"125","1958-01-12"
"126","1958-01-28"
"127","1958-02-10"
"128","1958-04-25"
"129","1958-07-03"
"130","1958-07-07"
"131","1958-09-06"
"132","1958-09-13"
"133","1958-09-14"
"134","1958-09-22"
"135","1958-09-23"
"136","1958-09-24"
"137","1958-09-25"
"138","1958-09-27"
"139","1958-09-29"
"140","1958-09-30"
"141","1958-10-01"
"142","1958-10-02"
"143","1958-10-05"
"144","1958-10-06"
"145","1958-10-08"
"146","1958-10-10"
"147","1958-10-24"
"148","1959-01-03"
"149","1959-01-09"
"150","1959-01-10"
"151","1959-01-20"
"152","1959-09-08"
"153","1959-09-10"
"154","1959-09-12"
"155","1959-09-13"
"156","1959-09-15"
"157","1959-09-30"
"158","1959-10-01"
"159","1959-10-02"
"160","1959-10-04"
