"note_allocine_publicID","note_allocine_public","echantillon_note_allocine_public"
"1","0",NULL
"2","0.8",NULL
"3","0.9",NULL
"4","1",NULL
"5","1.1",NULL
"6","1.2",NULL
"7","1.3",NULL
"8","1.4",NULL
"9","1.5",NULL
"10","1.6",NULL
"11","1.7",NULL
"12","1.8",NULL
"13","1.9",NULL
"14","2",NULL
"15","2.1",NULL
"16","2.2",NULL
"17","2.3",NULL
"18","2.4",NULL
"19","2.5",NULL
"20","2.6",NULL
"21","2.7",NULL
"22","2.8",NULL
"23","2.9",NULL
"24","3",NULL
"25","3.1",NULL
"26","3.2",NULL
"27","3.3",NULL
"28","3.4",NULL
"29","3.5",NULL
"30","3.6",NULL
"31","3.7",NULL
"32","3.8",NULL
"33","3.9",NULL
"34","4",NULL
"35","4.1",NULL
"36","4.2",NULL
"37","4.3",NULL
"38","4.4",NULL
"39","4.5",NULL
"40","4.6",NULL
"41","4.7",NULL
