"paysID","pays"
"1","0"
"2","Afrique du Sud"
"3","Algérie"
"4","Allemagne"
"5","Allemagne de l'Est"
"6","Allemagne de l'Ouest"
"7","Argentine"
"8","Australie"
"9","Autriche"
"10","Belgique"
"11","Bengladesh"
"12","Brésil"
"13","Bulgarie"
"14","Burkina Faso"
"15","Canada"
"16","Chili"
"17","Chine"
"18","Colombie"
"19","Corée"
"20","Corée du Sud"
"21","Côte-d'Ivoire"
"22","Croatie"
"23","Danemark"
"24","Espagne"
"25","Estonie"
"26","Finlande"
"27","France"
"28","Grande-Bretagne"
"29","Grèce"
"30","Hong-Kong"
"31","Hongrie"
"32","Inde"
"33","Indéfini"
"34","Indonésie"
"35","Irlande"
"36","Islande"
"37","Israël"
"38","Italie"
"39","Japon"
"40","Jordanie"
"41","Mali"
"42","Maroc"
"43","Mexique"
"44","Norvège"
"45","Nouvelle-Zélande"
"46","Pakistan"
"47","Pays-Bas"
"48","Philippines"
"49","Pologne"
"50","Portugal"
"51","Québec"
"52","République tchèque"
"53","Roumanie"
"54","Russie"
"55","Singapour"
"56","Suède"
"57","Suisse"
"58","Taïwan"
"59","Tchécoslovaquie"
"60","Togo"
"61","Turquie"
"62","U.S.A."
"63","Ukraine"
"64","Vénézuela"
