"id","anneeFin","SerieID"
"1","2009","1"
"2","2004","2"
"3","2006","3"
"4","2005","4"
"5","2003","5"
"6","2008","6"
"7","2003","7"
"8","2003","8"
"9","2005","9"
"10","2004","10"
"11","2003","11"
"12","2005","12"
"13","2003","13"
"14","2006","14"
"15","2004","15"
"16","2002","16"
"17","2002","17"
"18","2002","18"
"19","2003","19"
"20","2002","20"
"21","2002","21"
"22","2003","22"
"23","2002","23"
"24","2012","24"
"25","2004","25"
"26","2003","26"
"27","2002","27"
"28","2006","28"
"29","2009","29"
"30","2008","30"
"31","2004","31"
"32","2005","32"
"33","2003","33"
"34","2003","34"
"35","2003","35"
"36","2003","36"
"37","2002","37"
"38","2005","38"
"39","2006","39"
"40","2002","40"
"41","2003","41"
"42","2003","42"
"43","2002","43"
"44","2006","44"
"45","2003","45"
"46","2003","46"
"47","2006","47"
"48","2007","48"
"49","2004","49"
"50","2005","50"
"51","2006","51"
"52","2004","52"
"53","2006","53"
"54","2006","54"
"55","2008","55"
"56","2004","56"
"57","2014","57"
"58","2002","58"
"59","2003","59"
"60","2011","60"
"61","2005","61"
"62","2007","62"
"63","2006","63"
"64","2002","64"
"65","2006","65"
"66","2004","66"
"67","2003","67"
"68","2004","68"
"69","2004","69"
"70","2010","70"
"71","2011","71"
"72","2007","73"
"73","2009","74"
"74","2004","76"
"75","2007","77"
"76","2005","78"
"77","2015","79"
"78","2004","80"
"79","2007","81"
"80","2005","82"
"81","2005","83"
"82","2003","84"
"83","2006","85"
"84","2003","86"
"85","2002","87"
"86","2002","88"
"87","2003","89"
"88","2006","90"
"89","2004","91"
"90","2004","92"
"91","2009","93"
"92","2003","94"
"93","2010","95"
"94","2005","96"
"95","2004","98"
"96","2003","99"
"97","2004","100"
"98","2002","101"
"99","2004","102"
"100","2003","103"
"101","2004","104"
"102","2005","105"
"103","2008","106"
"104","2006","107"
"105","2004","108"
"106","2007","109"
"107","2007","110"
"108","2002","111"
"109","2007","112"
"110","2003","113"
"111","2003","114"
"112","2003","115"
"113","2003","116"
"114","2004","117"
"115","2004","118"
"116","2003","119"
"117","2004","120"
"118","2006","121"
"119","2003","122"
"120","2003","123"
"121","2010","124"
"122","2015","125"
"123","2004","127"
"124","2003","128"
"125","2005","129"
"126","2004","130"
"127","2003","131"
"128","2003","132"
"129","2003","134"
"130","2003","135"
"131","2005","136"
"132","2007","137"
"133","2003","138"
"134","2006","139"
"135","2003","140"
"136","2003","141"
"137","2003","142"
"138","2003","143"
"139","2003","144"
"140","2008","145"
"141","2004","146"
"142","2004","147"
"143","2003","148"
"144","2003","149"
"145","2003","150"
"146","2003","151"
"147","2010","152"
"148","2003","153"
"149","2003","154"
