"id","chaine","SerieID"
"1","ABC","1"
"2","CBS","2"
"3","FOX","3"
"4","HBO","4"
"5","Lifetime","5"
"6","NBC","6"
"7","SyFy US","8"
"8","Showtime","9"
"9","Syndication","10"
"10","WB","11"
"11","ABC","12"
"12","ABC","13"
"13","ABC","14"
"14","ABC","15"
"15","ABC","16"
"16","ABC","17"
"17","ABC","18"
"18","FOX","19"
"19","FOX","20"
"20","FOX","21"
"21","FOX","22"
"22","CBS","23"
"23","CBS","24"
"24","CBS","25"
"25","CBS","26"
"26","CBS","27"
"27","CBS","28"
"28","CBS","29"
"29","HBO","30"
"30","NBC","31"
"31","NBC","32"
"32","NBC","33"
"33","NBC","34"
"34","NBC","35"
"35","NBC","36"
"36","UPN","39"
"37","UPN","40"
"38","UPN","41"
"39","WB","42"
"40","WB","43"
"41","WB","44"
"42","WB","45"
"43","WB","46"
"44","WB","47"
"45","WB","48"
"46","NBC","49"
"47","CBS","50"
"48","FOX","51"
"49","NBC","52"
"50","FOX","53"
"51","NBC","54"
"52","FX","55"
"53","ABC","56"
"54","FOX","57"
"55","NBC","58"
"56","ABC","59"
"57","WB","60"
"58","FOX","61"
"59","Showtime","62"
"60","WB","63"
"61","WB","64"
"62","ABC","65"
"63","WB","66"
"64","CBS","67"
"65","CBS","68"
"66","FOX","69"
"67","NBC","70"
"68","NBC","71"
"69","NBC","72"
"70","HBO","73"
"71","USA","74"
"72","HBO","75"
"73","ABC","76"
"74","ABC","77"
"75","ABC","78"
"76","CBS","79"
"77","CBS","80"
"78","CBS","81"
"79","CBS","82"
"80","CBS","83"
"81","CBS","84"
"82","CBS","85"
"83","FOX","86"
"84","HBO","87"
"85","HBO","88"
"86","HBO","89"
"87","Lifetime","90"
"88","Lifetime","91"
"89","NBC","92"
"90","NBC","93"
"91","NBC","94"
"92","NBC","95"
"93","NBC","96"
"94","NBC","97"
"95","Showtime","99"
"96","Showtime","100"
"97","Showtime","101"
"98","Showtime","102"
"99","Syndication","103"
"100","Syndication","104"
"101","UPN","105"
"102","UPN","106"
"103","UPN","107"
"104","UPN","108"
"105","USA","109"
"106","WB","110"
"107","WB","111"
"108","WB","112"
"109","ABC","113"
"110","ABC","114"
"111","ABC","115"
"112","ABC","116"
"113","ABC","117"
"114","ABC","118"
"115","ABC","119"
"116","ABC","120"
"117","ABC","121"
"118","CBS","122"
"119","CBS","123"
"120","CBS","124"
"121","CBS","125"
"122","CBS","126"
"123","CBS","127"
"124","CBS","128"
"125","CBS","129"
"126","FOX","130"
"127","FOX","131"
"128","FOX","132"
"129","FOX","133"
"130","FOX","134"
"131","FOX","135"
"132","FOX","136"
"133","FOX","137"
"134","FOX","138"
"135","Lifetime","139"
"136","NBC","140"
"137","NBC","141"
"138","NBC","142"
"139","NBC","143"
"140","NBC","144"
"141","NBC","145"
"142","NBC","146"
"143","NBC","147"
"144","NBC","148"
"145","NBC","149"
"146","NBC","150"
"147","FX","151"
"148","FX","152"
"149","SyFy US","153"
"150","UPN","154"
"151","UPN","155"
"152","UPN","156"
"153","UPN","157"
"154","UPN","158"
"155","UPN","159"
"156","WB","160"
"157","TNT","161"
"158","WB","162"
"159","WB","163"
"160","WB","164"
"161","Showtime","165"
"162","Showtime","166"
"163","WB","167"
"164","FOX","168"
"165","FOX","169"
"166","ABC","170"
"167","HBO","171"
"168","ABC","172"
"169","FOX","173"
"170","WB","174"
"171","NBC","175"
"172","NBC","176"
"173","SyFy US","177"
"174","ABC","178"
"175","WB","179"
"176","CBS","180"
"177","ABC","181"
"178","NBC","182"
"179","FOX","183"
"180","HBO","184"
"181","Lifetime","185"
"182","Showtime","186"
"183","NBC","187"
"184","ABC","188"
"185","ABC","189"
"186","ABC","190"
"187","CBS","191"
"188","FOX","192"
"189","FOX","193"
"190","FOX","195"
"191","WB","196"
"192","WB","197"
"193","USA","198"
"194","WB","199"
"195","SyFy US","200"
"196","HBO","201"
"197","SyFy US","202"
"198","CBS","203"
"199","CBS","204"
"200","NBC","205"
"201","NBC","206"
"202","NBC","207"
"203","NBC","208"
"204","ABC","209"
"205","ABC","210"
"206","ABC","211"
"207","ABC","212"
"208","ABC","213"
"209","ABC","214"
"210","WB","215"
"211","WB","216"
"212","CBS","217"
"213","CBS","218"
"214","CBS","219"
"215","CBS","220"
"216","CBS","221"
"217","FOX","222"
"218","FOX","223"
"219","FOX","224"
"220","FOX","225"
"221","FOX","226"
"222","FOX","227"
"223","FOX","228"
"224","UPN","229"
"225","UPN","230"
"226","UPN","231"
"227","CBS","232"
"228","CBS","233"
"229","WB","235"
"230","HBO","236"
