"id","createur","SerieID"
"1","Jonathan Stark","1"
"2","Dave Hackel","2"
"3","Bonnie Turner","3"
"4","Alan Ball","4"
"5","Catherine LePard","5"
"6","Tim Kring","6"
"7","Jacqueline Zambrano","7"
"8","Rockne S. O'Bannon","8"
"9","Ron Cowen","9"
"10","Avi Arad","10"
"11","Joss Whedon","11"
"12","Tracy Gamble","12"
"13","James Gurney","13"
"14","Terri Minsky","14"
"15","Gary Tieche","16"
"16","Jeremy Miller","18"
"17","John McNamara","19"
"18","David E. Kelley","20"
"19","Joss Whedon","21"
"20","Mike Thompson","22"
"21","Joe Keenan","23"
"22","Anthony E. Zuiker","24"
"23","David Koepp","25"
"24","John Wells","26"
"25","Barry Schindel","27"
"26","Joey Gutierrez","28"
"27","Hank Steinberg","29"
"28","David Simon","30"
"29","Dick Wolf","31"
"30","Jonathan Prince","32"
"31","Graham Yost","33"
"32","David Kohan","34"
"33","Peter Segal","35"
"34","Mark Reisman","36"
"35","John Whelpley","37"
"36","Dave Alan Johnson","38"
"37","Jeffrey Klarik","39"
"38","Rick Ramage","40"
"39","Rod Serling","41"
"40","Laeta Kalogridis","42"
"41","Rick Wiener","43"
"42","Greg Berlanti","44"
"43","Bob Young","45"
"44","Peter Murrieta","46"
"45","Dan Schneider","47"
"46","Brenda Hampton","48"
"47","Marta Kauffman","49"
"48","Philip Rosenthal","50"
"49","Linwood Boomer","51"
"50","David Lee","52"
"51","Larry Wilmore","53"
"52","Aaron Sorkin","54"
"53","Shawn Ryan","55"
"54","David E. Kelley","56"
"55","Joel Surnow","57"
"56","John Masius","58"
"57","Nell Scovell","59"
"58","Alfred Gough","60"
"59","Bill Martin","61"
"60","Brad Wright","62"
"61","Constance M. Burge","63"
"62","Jason Katims","64"
"63","J.J. Abrams","65"
"64","Joss Whedon","66"
"65","Michael Frost Beckner","67"
"66","Terry George","68"
"67","David E. Kelley","69"
"68","Dick Wolf","70"
"69","Dick Wolf","71"
"70","Dick Wolf","72"
"71","David Chase","73"
"72","Andy Breckman","74"
"73","Larry David","75"
"74","Drew Carey","76"
"75","George R. Lopez","77"
"76","Damon Wayans","78"
"77","Anthony E. Zuiker","79"
"78","David Hollander","80"
"79","David Litt","81"
"80","Donald P. Bellisario","82"
"81","Amy Brenneman","83"
"82","John Masius","84"
"83","Alan Kirschenbaum","85"
"84","Victor Fresco","86"
"85","Robert Wuhl","87"
"86","Mike Binder","88"
"87","Tom Fontana","89"
"88","Whoopi Goldberg","90"
"89","Deborah Joy LeVine","91"
"90","Rob Burnett","92"
"91","Michael Crichton","93"
"92","Steven Levitan","94"
"93","Bill Lawrence","95"
"94","John Wells","96"
"95","David Kohan","97"
"96","Gary R. Johnson","98"
"97","Richard Stratton","99"
"98","J. Michael Straczynski","100"
"99","Dennis E. Leoni","101"
"100","George Tillman Jr.","102"
"101","Gale Anne Hurd","103"
"102","Steven Long Mitchell","104"
"103","Brannon Braga","105"
"104","Mara Brock Akil","106"
"105","Eunetta T. Boone","107"
"106","Ralph Farquhar","108"
"107","Michael Piller","109"
"108","Amy Sherman-Palladino","110"
"109","Allison M. Gibson","112"
"110","Michael Jacobs","113"
"111","Michael Petroni","114"
"112","Daniel Stern","115"
"113","Jorge Zamacona","117"
"114","Marco Pennette","118"
"115","Jason Smilovic","119"
"116","Daniel Voll","120"
"117","Joanna Johnson","121"
"118","Nia Vardalos","122"
"119","Kevin Fox","123"
"120","Meredith Stiehm","124"
"121","Chuck Lorre","125"
"122","Donald P. Bellisario","126"
"123","Jenji Kohan","127"
"124","Barbara Hall","129"
"125","Howard Gewirtz","130"
"126","Lance Crouther","131"
"127","Wallace Wolodarsky","132"
"128","Mitchell Hurwitz","133"
"129","Jim Leonard","134"
"130","Norm MacDonald","135"
"131","Jon Harmon Feldman","136"
"132","Josh Schwartz","137"
"133","Will Gluck","138"
"134","William Laurin","139"
"135","Richard Appel","140"
"136","Frank Lupo","141"
"137","David Mills","142"
"138","Lawrence O'Donnell","143"
"139","Brad Hall","144"
"140","Gary Scott Thompson","145"
"141","Bonnie Turner","146"
"142","David Guarascio","147"
"143","Steven Moffat","148"
"144","Darren Star","149"
"145","Remi Aubuchon","150"
"146","Joe Russo","151"
"147","Ryan Murphy","152"
"148","Ron Underwood","153"
"149","Sofia Coppola","154"
"150","Betsy Borns","155"
"151","Silvio Horta","156"
"152","Tim Kelleher","157"
"153","Bill Oakley","158"
"154","Meg DeLoatch","159"
"155","Dylan Sellers","160"
"156","Dan Fogelman","162"
"157","Bryan Fuller","165"
"158","Donna Powers","166"
"159","Mark Schwahn","167"
"160","Christopher Keyser","168"
"161","James Cameron","169"
"162","Tom Hertz","170"
"163","Daniel Knauf","171"
"164","Dick Wolf","172"
"165","David E. Kelley","173"
"166","Steve Anton","174"
"167","Michael Ferris","175"
"168","Craig W. Van Sickle","176"
"169","Leslie Bohem","177"
"170","Eric Bogosian","178"
"171","Kevin Williamson","179"
"172","Paris Barclay","180"
"173","Jim Leonard","181"
"174","Jim O'Doherty","182"
"175","Darren Star","183"
"176","George Clooney","184"
"177","Bernard Lechowick","185"
"178","Ilene Chaiken","186"
"179","Ricky Gervais","187"
"180","David Zuckerman","188"
"181","James Duff","189"
"182","Stephen King","190"
"183","Ed Zuckerman","191"
"184","Mike White","192"
"185","Barry Levinson","193"
"186","Todd Holland","195"
"187","Ron Leavitt","196"
"188","Lori Loughlin","197"
"189","Gina Matthews","199"
"190","Brad Wright","200"
"191","David Milch","201"
"192","Chris Brancato","202"
"193","Jeff Eastin","205"
"194","Scott Silveri","206"
"195","Jason Horwitch","208"
"196","Marc Cherry","209"
"197","Melvin Burgess","210"
"198","Damon Lindelof","211"
"199","Rodney Carrington","212"
"200","Julie Thacker","213"
"201","David E. Kelley","214"
"202","Steven A. Cohen","215"
"203","Gina Matthews","216"
"204","Mitchel Katlin","217"
"205","Gavin O'Connor","218"
"206","Anthony E. Zuiker","219"
"207","Jack Orman","220"
"208","Jeff Martin (II)","221"
"209","Peter Elkoff","222"
"210","Kell Cahoon","223"
"211","Mark Reisman","224"
"212","David Shore","225"
"213","Tim Minear","226"
"214","Ken Sanzel","227"
"215","Victor Fresco","228"
"216","Jorge A. Reyes","229"
"217","Ralph Farquhar","230"
"218","Rob Thomas","231"
"219","Ian Abrams","232"
"220","John Leekley","233"
"221","Sidney Lumet","234"
"222","Matt Reeves","235"
"223","Doug Ellin","236"
"224","Scott Peters","237"
"225","Denis Leary","238"
"226","John Scott Shepherd","239"
"227","Steve Lucas","240"
"228","Ralph Hemecker","241"
"229","Ernesto Pozuello","242"
"230","Gary David Goldberg","243"
"231","Bob Lowry","244"
"232","Marti Noxon","246"
"233","Glen A. Larson","247"
"234","Nick Falacci","248"
"235","Glenn Gordon Caron","249"
"236","DeAnn Heline","250"
"237","Peter O'Fallon","251"
"238","George Clooney","252"
"239","David Levien","253"
"240","Steven Bochco","254"
"241","Steven Bochco","255"
"242","John McNamara","256"
"243","Austin Winsberg","257"
"244","Dick Wolf","258"
"245","Eunetta T. Boone","259"
"246","Shonda Rhimes","260"
"247","Abby Mann","261"
"248","David Garrett","262"
"249","Marshall Herskovitz","263"
"250","Gil Grant","264"
"251","Steven Levitan","265"
"252","David Seltzer","266"
"253","Donald P. Bellisario","267"
"254","Dewi Humphreys","268"
"255","J. Michael Straczynski","269"
"256","Joe Shuster","270"
"257","Michael Garrison","271"
"258","Jerry Seinfeld","272"
"259","Gene Roddenberry","273"
"260","Leonard White","274"
"261","Matt Groening","275"
"262","Ivan Goff","276"
"263","Bruno Solo","277"
"264","Ed Spielman","279"
"265","Robert S. Baker","280"
"266","David Jacobs","282"
"267","Edith Pargeter","283"
"268","William Blinn","284"
"269","David L. Wolper","285"
"270","Gene Roddenberry","287"
"271","Rick Berman","288"
"272","Steven Spielberg","289"
"273","Larry Gelbart","290"
"274","William Link","291"
"275","Robert G. Tapert","292"
"276","Ron Leavitt","293"
"277","Thomas Carr","294"
"278","Brian Clemens","295"
"279","Cynthia Saunders","296"
"280","Glen A. Larson","297"
"281","Claude Desailly","298"
"282","Frank Lupo","299"
"283","Andy Borowitz","300"
"284","Gregory Widen","304"
"285","David E. Kelley","305"
"286","Gregory Widen","306"
"287","Matt Williams","307"
"288","Gy Waldron","308"
"289","Patrick Hasburgh","309"
"290","Paul Reiser","310"
"291","Brad Buckner","311"
"292","Joyce Burditt","312"
"293","Alexandre Astier","313"
"294","Bruce Geller","314"
"295","Christian Williams","315"
"296","Stephen J. Cannell","316"
"297","J.F. Lawton","318"
"298","Stephen J. Cannell","319"
"299","Ralf Löhnhardt","320"
"300","Carlton Cuse","321"
"301","William Bickley","322"
"302","Collier Young","323"
"303","Christopher Gore","324"
"304","Sol Saks","326"
"305","Amy Lippman","327"
"306","David W. Duclon","328"
"307","Robert Murphy","329"
"308","Fran Drescher","330"
"309","Matt Williams","331"
"310","Rick Berman","332"
"311","Darren Star","333"
"312","Darren Star","334"
"313","Jeff Harris","335"
"314","Anthony Yerkovich","336"
"315","David Wolstencroft","337"
"316","Diane Dixon","338"
"317","Glen A. Larson","339"
"318","Nicolas Mercier","340"
"319","Robert K. Weiss","341"
"320","Ben Gannon","342"
"321","Jeffrey Lane","343"
"322","Richard Levinson","344"
"323","Alan Ball","345"
"324","William J. Bell","346"
"325","William J. Bell","347"
"326","Ted Corday","348"
"327","Jeff Franklin","349"
"328","Glen Charles","350"
"329","Rod Serling","351"
"330","Albert S. Ruddy","352"
"331","Michael Ross (II)","355"
"332","Brian W. Cook","356"
"333","Steven Bochco","357"
"334","Leslie Stevens","358"
"335","Lee David Zlotoff","359"
"336","Patrick Hasburgh","360"
"337","David Jacobs","361"
"338","Cindy Chupack","362"
"339","Tom Spezialy","363"
"340","Glen A. Larson","364"
"341","Julian Jones","365"
"342","Aaron Spelling","366"
"343","Paul M Belous","367"
"344","Andrew Chaikin","368"
"345","Glenn Gordon Caron","369"
"346","Frank Lupo","370"
"347","Beth Sullivan","371"
"348","Douglas Schwartz","372"
"349","Darren Star","373"
"350","Gerry Anderson","374"
"351","Lisa Kudrow","375"
"352","Bob Kane","376"
"353","Terri Minsky","377"
"354","Paul Mendelson","378"
"355","Pierre Grimblat","380"
"356","Greg Garcia","381"
"357","David McKenna","382"
"358","Josh Pate","383"
"359","Marco Pennette","384"
"360","Paul Abbott","385"
"361","Freddie Prinze Jr.","386"
"362","Suzanne Martin","387"
"363","Rod Lurie","388"
"364","Shaun Cassidy","389"
"365","Jeffrey Grant Rice","390"
"366","David Dortort","391"
"367","Jonathan Shapiro","392"
"368","Liz Tuccillo","393"
"369","McG","394"
"370","Kari Lizer","395"
"371","Winnie Holzman","396"
"372","Jeff Davis (V)","397"
"373","Jim Leonard","398"
"374","John Gray","399"
"375","Bragi Schut","401"
"376","Fred Barron","402"
"377","David Mamet","403"
"378","Paul T. Scheuring","404"
"379","Hart Hanson","405"
"380","Bill Chais","406"
"381","David Hemingson","407"
"382","Jon Harmon Feldman","408"
"383","Josh Berman","409"
"384","Rob Lotterstein","410"
"385","Andrew Secunda","411"
"386","Matt Cirulnick","413"
"387","Donald P. Bellisario","414"
"388","William Bickley","415"
"389","Nicole Jamet","416"
"390","Olivier Bremond","417"
"391","Steven Bochco","418"
"392","Chris Carter","419"
"393","Chris Thompson","421"
"394","Bob Kushell","422"
"395","Steven Bochco","424"
"396","Marc Punt","425"
"397","James Duff","426"
"398","Bonnie Turner","429"
"399","David Morgasen","430"
"400","Leonard Freeman","431"
"401","Phil Bedard","432"
"402","David Renwick","433"
"403","Bruce Geller","434"
"404","Dan Gordon","435"
"405","John Edwards","436"
"406","Paul Marquess","437"
"407","Michelle Podroznik","438"
"408","Juan Carlos Coto","441"
"409","John Falsey","443"
"410","Maureen Chadwick","444"
