"id","nbreEpisodes","SerieID"
"1","181","1"
"2","129","2"
"3","198","3"
"4","63","4"
"5","18","5"
"6","117","6"
"7","22","7"
"8","88","8"
"9","83","9"
"10","66","10"
"11","144","11"
"12","76","12"
"13","12","13"
"14","72","14"
"15","44","15"
"16","11","16"
"17","7","17"
"18","4","18"
"19","22","19"
"20","9","20"
"21","15","21"
"22","21","22"
"23","7","23"
"24","232","24"
"25","40","25"
"26","16","26"
"27","13","27"
"28","88","28"
"29","160","29"
"30","60","30"
"31","13","31"
"32","61","32"
"33","24","33"
"34","40","34"
"35","18","35"
"36","15","36"
"37","9","37"
"38","57","38"
"39","91","39"
"40","11","40"
"41","44","41"
"42","13","42"
"43","15","43"
"44","89","44"
"45","16","45"
"46","22","46"
"47","86","47"
"48","243","48"
"49","237","49"
"50","209","50"
"51","151","51"
"52","264","52"
"53","104","53"
"54","156","54"
"55","88","55"
"56","168","56"
"57","204","57"
"58","96","58"
"59","166","59"
"60","218","60"
"61","91","61"
"62","214","62"
"63","178","63"
"64","61","64"
"65","105","65"
"66","110","66"
"67","44","67"
"68","89","68"
"69","81","69"
"70","456","70"
"71","195","71"
"72","411","72"
"73","86","73"
"74","125","74"
"75","80","75"
"76","233","76"
"77","120","77"
"78","123","78"
"79","338","79"
"80","67","80"
"81","207","81"
"82","227","82"
"83","138","83"
"84","212","84"
"85","122","85"
"86","19","86"
"87","80","87"
"88","20","88"
"89","56","89"
"90","132","90"
"91","88","91"
"92","83","92"
"93","331","93"
"94","148","94"
"95","182","95"
"96","132","96"
"97","200","97"
"98","88","98"
"99","33","99"
"100","35","100"
"101","53","101"
"102","74","102"
"103","22","103"
"104","40","104"
"105","98","105"
"106","172","106"
"107","113","107"
"108","110","108"
"109","80","109"
"110","153","110"
"111","28","111"
"112","125","112"
"113","4","113"
"114","13","114"
"115","4","115"
"116","13","116"
"117","15","117"
"118","22","118"
"119","10","119"
"120","16","120"
"121","73","121"
"122","7","122"
"123","13","123"
"124","156","124"
"125","259","125"
"126","330","126"
"127","6","127"
"128","8","128"
"129","45","129"
"130","24","130"
"131","19","131"
"132","2","132"
"133","68","133"
"134","4","134"
"135","11","135"
"136","26","136"
"137","94","137"
"138","10","138"
"139","56","139"
"140","12","140"
"141","8","141"
"142","6","142"
"143","10","143"
"144","19","144"
"145","106","145"
"146","22","146"
"147","22","147"
"148","10","148"
"149","18","149"
"150","12","150"
"151","13","151"
"152","100","152"
"153","16","153"
"154","6","154"
"155","88","155"
"156","16","156"
"157","22","157"
"158","11","158"
"159","65","159"
"160","7","160"
"161","8","161"
"162","22","162"
"163","16","163"
"164","8","164"
"165","29","165"
"166","6","166"
"167","187","167"
"168","19","168"
"169","44","169"
"170","22","170"
"171","24","171"
"172","22","172"
"173","112","173"
"174","8","174"
"175","13","175"
"176","88","176"
"177","10","177"
"178","32","178"
"179","10","179"
"180","24","180"
"181","10","181"
"182","18","182"
"183","11","183"
"184","10","184"
"185","37","185"
"186","71","186"
"187","196","187"
"188","6","188"
"189","4","189"
"190","13","190"
"191","9","191"
"192","12","192"
"193","10","193"
"194","5","194"
"195","13","195"
"196","7","196"
