"id","note_allocine_public","SerieID"
"1","2.8","1"
"2","2.6","2"
"3","3.5","3"
"4","3.8","4"
"5","2.9","5"
"6","2.8","6"
"7","3","7"
"8","2.9","8"
"9","2.8","9"
"10","1.6","10"
"11","3.3","11"
"12","2.5","12"
"13","2.3","13"
"14","3","14"
"15","2.9","15"
"16","3.1","16"
"17","2.8","17"
"18","2.9","18"
"19","2.2","19"
"20","2.9","20"
"21","3.2","21"
"22","3","22"
"23","2.9","23"
"24","2.9","24"
"25","2.8","25"
"26","2.7","26"
"27","3","27"
"28","2.1","28"
"29","3.1","29"
"30","4.1","30"
"31","3.2","31"
"32","2","32"
"33","2.4","33"
"34","3","34"
"35","3.1","35"
"36","2.9","36"
"37","3","37"
"38","1.9","38"
"39","2","39"
"40","2","40"
"41","3.3","41"
"42","3.1","42"
"43","2.9","43"
"44","2.3","44"
"45","3","45"
"46","3","46"
"47","2.6","47"
"48","2.1","48"
"49","4.2","49"
"50","2","50"
"51","4.2","51"
"52","3.3","52"
"53","3","53"
"54","2.8","54"
"55","3.8","55"
"56","2.2","56"
"57","3.7","57"
"58","3.2","58"
"59","1.9","59"
"60","3.2","60"
"61","2.6","61"
"62","3.4","62"
"63","3","63"
"64","2.5","64"
"65","3.2","65"
"66","2.7","66"
"67","2.9","67"
"68","3.3","68"
"69","2.2","69"
"70","2.5","70"
"71","2.8","71"
"72","3.1","72"
"73","3.8","73"
"74","3.2","74"
"75","3.8","75"
"76","3.6","76"
"77","2.9","77"
"78","3.3","78"
"79","3.4","79"
"80","3.7","80"
"81","2.1","81"
"82","2.2","82"
"83","3.4","83"
"84","1.8","84"
"85","3.1","85"
"86","3.1","86"
"87","2.8","87"
"88","3.1","88"
"89","3.8","89"
"90","1.8","90"
"91","3.4","91"
"92","3.6","92"
"93","3.3","93"
"94","3.2","94"
"95","3.9","95"
"96","2.9","96"
"97","2.5","97"
"98","3","98"
"99","3","99"
"100","2","100"
"101","3.2","101"
"102","3.2","102"
"103","3","103"
"104","3.1","104"
"105","2.6","105"
"106","3.1","106"
"107","3","107"
"108","3","108"
"109","2.7","109"
"110","3.1","110"
"111","2.3","111"
"112","3.2","112"
"113","2.9","113"
"114","3.4","114"
