"id","statutProduction","SerieID"
"1","Terminée","1"
"2","Terminée","2"
"3","Terminée","3"
"4","Terminée","4"
"5","Terminée","5"
"6","Terminée","6"
"7","Terminée","7"
"8","Terminée","8"
"9","Terminée","9"
"10","Terminée","10"
"11","Terminée","11"
"12","Terminée","12"
"13","Terminée","13"
"14","Terminée","14"
"15","Terminée","15"
"16","Terminée","16"
"17","Terminée","17"
"18","Terminée","18"
"19","Terminée","19"
"20","Terminée","20"
"21","Terminée","21"
"22","Terminée","22"
"23","Terminée","23"
"24","Terminée","24"
"25","Terminée","25"
"26","Terminée","26"
"27","Terminée","27"
"28","Terminée","28"
"29","Terminée","29"
"30","Terminée","30"
"31","Terminée","31"
"32","Terminée","32"
"33","Terminée","33"
"34","Terminée","34"
"35","Terminée","35"
"36","Terminée","36"
"37","Terminée","37"
"38","Terminée","38"
"39","Terminée","39"
"40","Terminée","40"
"41","Terminée","41"
"42","Terminée","42"
"43","Terminée","43"
"44","Terminée","44"
"45","Terminée","45"
"46","Terminée","46"
"47","Terminée","47"
"48","Terminée","48"
"49","Terminée","49"
"50","Terminée","50"
"51","Terminée","51"
"52","Terminée","52"
"53","Terminée","53"
"54","Terminée","54"
"55","Terminée","55"
"56","Terminée","56"
"57","Terminée","57"
"58","Terminée","58"
"59","Terminée","59"
"60","Terminée","60"
"61","Terminée","61"
"62","Terminée","62"
"63","Terminée","63"
"64","Terminée","64"
"65","Terminée","65"
"66","Terminée","66"
"67","Terminée","67"
"68","Terminée","68"
"69","Terminée","69"
"70","Terminée","70"
"71","Terminée","71"
"72","En cours","72"
"73","Terminée","73"
"74","Terminée","74"
"75","En cours","75"
"76","Terminée","76"
"77","Terminée","77"
"78","Terminée","78"
"79","Terminée","79"
"80","Terminée","80"
"81","Terminée","81"
"82","Terminée","82"
"83","Terminée","83"
"84","Terminée","84"
"85","Terminée","85"
"86","Terminée","86"
"87","Terminée","87"
"88","Terminée","88"
"89","Terminée","89"
"90","Terminée","90"
"91","Terminée","91"
"92","Terminée","92"
"93","Terminée","93"
"94","Terminée","94"
"95","Terminée","95"
"96","Terminée","96"
"97","En cours","97"
"98","Terminée","98"
"99","Terminée","99"
"100","Terminée","100"
"101","Terminée","101"
"102","Terminée","102"
"103","Terminée","103"
"104","Terminée","104"
"105","Terminée","105"
"106","Terminée","106"
"107","Terminée","107"
"108","Terminée","108"
"109","Terminée","109"
"110","Terminée","110"
"111","Terminée","111"
"112","Annulée","112"
"113","Terminée","113"
"114","Terminée","114"
"115","Terminée","115"
"116","Terminée","116"
"117","Terminée","117"
"118","Terminée","118"
"119","Terminée","119"
"120","Terminée","120"
"121","Terminée","121"
"122","Terminée","122"
"123","Terminée","123"
"124","Terminée","124"
"125","Terminée","125"
"126","En cours","126"
"127","Terminée","127"
"128","Terminée","128"
"129","Terminée","129"
"130","Terminée","130"
"131","Terminée","131"
"132","Terminée","132"
"133","En cours","133"
"134","Terminée","134"
"135","Terminée","135"
"136","Terminée","136"
"137","Terminée","137"
"138","Terminée","138"
"139","Terminée","139"
"140","Terminée","140"
"141","Terminée","141"
"142","Terminée","142"
"143","Terminée","143"
"144","Terminée","144"
"145","Terminée","145"
"146","Terminée","146"
"147","Terminée","147"
"148","Terminée","148"
"149","Terminée","149"
"150","Terminée","150"
