"SerieID","id_allocine","titre_fr","titre_vo","poster","synopsis"
"1","1","According to Jim","According to Jim","http://fr.web.img4.acsta.net/medias/nmedia/18/35/63/61/18424301.jpg","Jim a tout pour être heureux : une femme superbe, trois enfants adorables et une belle maison. Mais il est aussi un partisan du moindre effort, ce qui le met dans des situations des plus délicates."
"2","2","Becker","Becker","http://fr.web.img4.acsta.net/medias/nmedia/18/35/63/63/18415257.jpg","Le Dr John Becker est un personnage des plus étranges. Attentionné et dévoué à l'égard de ses patients, il n'en est pas moins odieux et asocial avec les autres. Mais ceux qui le connaissent savent que derrière ses remarques acerbes se cache un coeur en or."
"3","3","That '70s Show","That '70s Show","http://fr.web.img5.acsta.net/medias/nmedia/18/86/51/41/19845332.jpg","Eric, Donna, Michael et le reste de la bande vivent les joies et les peines de leur adolescence dans le contexte assez kitsch des années 70."
"4","4","Six Feet Under","Six Feet Under","http://fr.web.img6.acsta.net/medias/nmedia/18/35/63/64/18415258.jpg","La vie des membres de la famille Fisher bascule lorsque le père meurt dans un accident, laissant ainsi la direction de la société de pompes funèbres qu'il a fondée à ses deux fils."
"5","5","For the People","For the People","http://fr.web.img2.acsta.net/medias/nmedia/18/35/63/65/18415259.jpg","Coup d'oeil dans les vies professionnelles et personnelles chaotiques de femmes fortes et passionnées qui partagent le même but : la justice."
"6","6","Preuve à l'appui","Crossing Jordan","http://fr.web.img1.acsta.net/medias/nmedia/18/35/63/66/18415260.jpg","Après avoir passé quelques années à Los Angeles, le Dr Jordan Cavanaugh revient à Boston, sa ville natale pour reprendre son ancien job au département de médecine légale de la police. Obstinée et forte tête, Jordan suit son intuition et mène sa propre enquête pour démontrer sa théorie..."
"7","7","En quête de justice","Just Cause","http://fr.web.img3.acsta.net/medias/nmedia/18/35/63/67/18415261.jpg","Libérée après 5 années de prison pour escroquerie (elle fut condamnée à la place de son époux corrompu), Alex tente de reprendre goût à la vie. Victime du système, elle a appris le droit durant son incarcération et travaille..."
"8","8","Farscape","Farscape","http://fr.web.img5.acsta.net/medias/nmedia/18/35/63/68/18415262.jpg","John Crichton est astronaute. Le jour où il part dans l'espace pour vérifier l'une de ses théories, son module est aspiré par un vortex et il se retrouve projeté dans une zone inconnue de l'univers où personne n'a jamais entendu parler ni de la terre ni des humains.
Il est recueilli par un Léviathan..."
"9","9","Queer as Folk (US)","Queer as Folk (US)","http://fr.web.img5.acsta.net/medias/nmedia/18/72/46/12/19653101.jpg","Sexe, amitié, amour, maladie, droits des homosexuels, carrière... Cinq amis homosexuels, Brian, Michael, Justin, Emmett et Ted, traversent les épreuves de la vie chacun à leur manière.Basée sur la série anglaise du même nom"
"10","10","Mutant X","Mutant X","http://fr.web.img2.acsta.net/medias/nmedia/18/74/18/55/19242630.jpg","Un groupe de mutants aux pouvoirs les plus divers s'allie dans le but de secourir les personnes qui, comme eux, ont subi des manipulations génétiques."
